,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,1,0
1,Feb 16$ 2020,1,0
2,Feb 17$ 2020,1,0
3,Feb 18$ 2020,1,0
4,Feb 19$ 2020,1,0
5,Feb 20$ 2020,1,0
6,Feb 21$ 2020,1,0
7,Feb 22$ 2020,1,0
8,Feb 23$ 2020,1,0
9,Feb 24$ 2020,1,0
10,Feb 25$ 2020,1,0
11,Feb 26$ 2020,1,0
12,Feb 27$ 2020,1,0
13,Feb 28$ 2020,1,0
14,Feb 29$ 2020,1,0
15,Mar 01$ 2020,2,0
16,Mar 02$ 2020,8,0
17,Mar 03$ 2020,15,0
18,Mar 04$ 2020,23,0
19,Mar 05$ 2020,50,0
20,Mar 06$ 2020,109,0
21,Mar 07$ 2020,169,0
22,Mar 08$ 2020,200,0
23,Mar 09$ 2020,239,0
24,Mar 10$ 2020,267,0
25,Mar 11$ 2020,314,1
26,Mar 12$ 2020,399,4
27,Mar 13$ 2020,559,5
28,Mar 14$ 2020,689,8
29,Mar 15$ 2020,886,13
30,Mar 16$ 2020,1058,19
31,Mar 17$ 2020,1243,30
32,Mar 18$ 2020,1486,40
33,Mar 19$ 2020,1795,62
34,Mar 20$ 2020,2257,95
35,Mar 21$ 2020,2815,131
36,Mar 22$ 2020,3401,171
37,Mar 23$ 2020,3743,218
38,Mar 24$ 2020,4269,296
39,Mar 25$ 2020,4937,372
40,Mar 26$ 2020,6235,479
41,Mar 27$ 2020,7284,581
42,Mar 28$ 2020,9134,709
43,Mar 29$ 2020,10836,850
44,Mar 30$ 2020,11899,999
45,Mar 31$ 2020,12775,1169
46,Apr 01$ 2020,13964,1377
47,Apr 02$ 2020,15348,1609
48,Apr 03$ 2020,16770,1828
49,Apr 04$ 2020,18431,2064
50,Apr 05$ 2020,19691,2334
51,Apr 06$ 2020,20814,2580
52,Apr 07$ 2020,22194,2837
53,Apr 08$ 2020,23403,3114
54,Apr 09$ 2020,24983,3435
55,Apr 10$ 2020,26667,3706
56,Apr 11$ 2020,28018,4008
57,Apr 12$ 2020,29647,4293
58,Apr 13$ 2020,30589,4558
59,Apr 14$ 2020,31119,4835
60,Apr 15$ 2020,33573,5096
61,Apr 16$ 2020,34809,5376
62,Apr 17$ 2020,36138,5622
63,Apr 18$ 2020,37183,5827
64,Apr 19$ 2020,38496,6035
65,Apr 20$ 2020,39983,6225
66,Apr 21$ 2020,40956,6431
67,Apr 22$ 2020,41889,6634
68,Apr 23$ 2020,42797,6815
69,Apr 24$ 2020,44293,6973
70,Apr 25$ 2020,45325,7130
71,Apr 26$ 2020,46134,7273
72,Apr 27$ 2020,46687,7427
73,Apr 28$ 2020,47334,7562
74,Apr 29$ 2020,47859,7672
75,Apr 30$ 2020,48519,7779
76,May 01$ 2020,49032,7866
77,May 02$ 2020,49517,7960
78,May 03$ 2020,49906,8035
79,May 04$ 2020,50267,8129
80,May 05$ 2020,50509,8224
81,May 06$ 2020,50781,8306
82,May 07$ 2020,51420,8382
83,May 08$ 2020,52011,8453
84,May 09$ 2020,52596,8527
85,May 10$ 2020,53081,8598
86,May 11$ 2020,53449,8670
87,May 12$ 2020,53779,8735
88,May 13$ 2020,53981,8780
89,May 14$ 2020,54288,8836
90,May 15$ 2020,54644,8879
91,May 16$ 2020,54989,8924
92,May 17$ 2020,55280,8954
93,May 18$ 2020,55559,8985
94,May 19$ 2020,55791,9022
95,May 20$ 2020,55983,9055
96,May 21$ 2020,56235,9085
97,May 22$ 2020,56511,9119
98,May 23$ 2020,56810,9160
99,May 24$ 2020,57092,9185
100,May 25$ 2020,57342,9218
101,May 26$ 2020,57455,9244
102,May 27$ 2020,57592,9268
103,May 28$ 2020,57849,9293
104,May 29$ 2020,58061,9319
105,May 30$ 2020,58186,9335
106,May 31$ 2020,58381,9358
107,Jun 01$ 2020,58517,9380
108,Jun 02$ 2020,58615,9401
109,Jun 03$ 2020,58685,9424
110,Jun 04$ 2020,58767,9444
111,Jun 05$ 2020,58907,9458
112,Jun 06$ 2020,59072,9470
113,Jun 07$ 2020,59226,9481
114,Jun 08$ 2020,59348,9493
115,Jun 09$ 2020,59437,9502
116,Jun 10$ 2020,59569,9514
117,Jun 11$ 2020,59711,9526
118,Jun 12$ 2020,59819,9533
119,Jun 13$ 2020,59918,9543
120,Jun 14$ 2020,60029,9548
121,Jun 15$ 2020,60100,9551
122,Jun 16$ 2020,60155,9559
123,Jun 17$ 2020,60244,9566
124,Jun 18$ 2020,60348,9573
125,Jun 19$ 2020,60476,9578
126,Jun 20$ 2020,60550,9582
127,Jun 21$ 2020,60550,9585
128,Jun 22$ 2020,60550,9594
129,Jun 23$ 2020,60810,9606
130,Jun 24$ 2020,60898,9610
131,Jun 25$ 2020,61007,9613
132,Jun 26$ 2020,61106,9618
133,Jun 27$ 2020,61209,9620
134,Jun 28$ 2020,61295,9628
135,Jun 29$ 2020,61361,9633
136,Jun 30$ 2020,61427,9636
137,Jul 01$ 2020,61509,9644
138,Jul 02$ 2020,61598,9646
139,Jul 03$ 2020,61727,9651
140,Jul 04$ 2020,61838,9653
141,Jul 05$ 2020,61909,9656
142,Jul 06$ 2020,62016,9658
143,Jul 07$ 2020,62058,9659
144,Jul 08$ 2020,62123,9662
145,Jul 09$ 2020,62210,9663
146,Jul 10$ 2020,62357,9665
147,Jul 11$ 2020,62469,9665
148,Jul 12$ 2020,62606,9667
149,Jul 13$ 2020,62707,9671
150,Jul 14$ 2020,62781,9671
151,Jul 15$ 2020,62872,9674
152,Jul 16$ 2020,63039,9679
153,Jul 17$ 2020,63238,9684
154,Jul 18$ 2020,63499,9686
