,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,0,0
18,Mar 04$ 2020,0,0
19,Mar 05$ 2020,0,0
20,Mar 06$ 2020,0,0
21,Mar 07$ 2020,0,0
22,Mar 08$ 2020,0,0
23,Mar 09$ 2020,0,0
24,Mar 10$ 2020,0,0
25,Mar 11$ 2020,0,0
26,Mar 12$ 2020,0,0
27,Mar 13$ 2020,0,0
28,Mar 14$ 2020,0,0
29,Mar 15$ 2020,0,0
30,Mar 16$ 2020,0,0
31,Mar 17$ 2020,0,0
32,Mar 18$ 2020,0,0
33,Mar 19$ 2020,0,0
34,Mar 20$ 2020,0,0
35,Mar 21$ 2020,1,0
36,Mar 22$ 2020,2,0
37,Mar 23$ 2020,2,0
38,Mar 24$ 2020,2,0
39,Mar 25$ 2020,2,0
40,Mar 26$ 2020,5,0
41,Mar 27$ 2020, ,0
42,Mar 28$ 2020,10,0
43,Mar 29$ 2020,12,0
44,Mar 30$ 2020,12,0
45,Mar 31$ 2020,12,0
46,Apr 01$ 2020,15,0
47,Apr 02$ 2020,17,0
48,Apr 03$ 2020,21,0
49,Apr 04$ 2020,25,0
50,Apr 05$ 2020,31,0
51,Apr 06$ 2020,32,0
52,Apr 07$ 2020, ,0
53,Apr 08$ 2020,45,0
54,Apr 09$ 2020,61,0
55,Apr 10$ 2020,68,0
56,Apr 11$ 2020,69,0
57,Apr 12$ 2020,88,0
58,Apr 13$ 2020,104,0
59,Apr 14$ 2020,174,0
60,Apr 15$ 2020,199,0
61,Apr 16$ 2020,220,4
62,Apr 17$ 2020,246,4
63,Apr 18$ 2020,270,4
64,Apr 19$ 2020,293,4
65,Apr 20$ 2020,310,5
66,Apr 21$ 2020,345,5
67,Apr 22$ 2020,377,5
68,Apr 23$ 2020,417,6
69,Apr 24$ 2020,480,6
70,Apr 25$ 2020,488,10
71,Apr 26$ 2020,535,10
72,Apr 27$ 2020,588,10
73,Apr 28$ 2020,616,10
74,Apr 29$ 2020,630,11
75,Apr 30$ 2020,647,11
76,May 01$ 2020,691,11
77,May 02$ 2020,732,13
78,May 03$ 2020,774,17
79,May 04$ 2020,814,17
80,May 05$ 2020,838,18
81,May 06$ 2020,849,18
82,May 07$ 2020,929,18
83,May 08$ 2020,989,21
84,May 09$ 2020,1078,21
85,May 10$ 2020,1218,22
86,May 11$ 2020,1356,24
87,May 12$ 2020,1504,24
88,May 13$ 2020,1534,24
89,May 14$ 2020,11569,31
90,May 15$ 2020,1662,31
91,May 16$ 2020,1812,32
92,May 17$ 2020,1936,35
93,May 18$ 2020,2052,39
94,May 19$ 2020,2135,41
95,May 20$ 2020,2215,45
96,May 21$ 2020,2324,50
97,May 22$ 2020,2459,53
98,May 23$ 2020,2569,58
99,May 24$ 2020,2690,59
100,May 25$ 2020,2748,61
101,May 26$ 2020,2864,70
102,May 27$ 2020,3047,70
103,May 28$ 2020,3306,77
104,May 29$ 2020,3583,80
105,May 30$ 2020,3759,82
106,May 31$ 2020,3927,82
107,Jun 01$ 2020,4111,82
108,Jun 02$ 2020,4526,88
109,Jun 03$ 2020,4526,95
110,Jun 04$ 2020,4936,95
111,Jun 05$ 2020,5240,95
112,Jun 06$ 2020,5629,101
113,Jun 07$ 2020,5974,101
114,Jun 08$ 2020,6341,127
115,Jun 09$ 2020,6760,138
116,Jun 10$ 2020,7154,147
117,Jun 11$ 2020,7868,178
118,Jun 12$ 2020,8615,208
119,Jun 13$ 2020,9250,217
120,Jun 14$ 2020,10027,227
121,Jun 15$ 2020,10597,236
122,Jun 16$ 2020,11039,245
123,Jun 17$ 2020,11919,251
124,Jun 18$ 2020,12639,257
125,Jun 19$ 2020,13506,257
126,Jun 20$ 2020,14721,268
127,Jun 21$ 2020,15751,285
128,Jun 22$ 2020,16895,303
129,Jun 23$ 2020,18108,331
130,Jun 24$ 2020,19214,346
131,Jun 25$ 2020,20487,363
132,Jun 26$ 2020,21938,371
133,Jun 27$ 2020,23658,384
134,Jun 28$ 2020,25099,387
135,Jun 29$ 2020,26195,397
136,Jun 30$ 2020,27686,422
137,Jul 01$ 2020,29340,439
138,Jul 02$ 2020,30603,451
139,Jul 03$ 2020,32157,459
140,Jul 04$ 2020,34161,490
141,Jul 05$ 2020,35648,519
142,Jul 06$ 2020,380811,528
143,Jul 07$ 2020,40401,564
144,Jul 08$ 2020,42357,582
145,Jul 09$ 2020,44432,610
146,Jul 10$ 2020,46284,634
147,Jul 11$ 2020,48232,664
148,Jul 12$ 2020,50300,686
149,Jul 13$ 2020,52058,709
150,Jul 14$ 2020,53959,726
151,Jul 15$ 2020,55584,738
152,Jul 16$ 2020,57186,763
153,Jul 17$ 2020,58860,772
154,Jul 18$ 2020,60976,811
155,Jul 19$ 2020,63181,825
156,Jul 20$ 2020,65316,871
157,Jul 21$ 2020,66759,945
158,Jul 22$ 2020,67818,1345
159,Jul 23$ 2020,69445,1393
160,Jul 24$ 2020,71338,1406
161,Jul 25$ 2020,72772,1450
162,Jul 26$ 2020,73585,1457
163,Jul 27$ 2020,74231,1534
164,Jul 28$ 2020,75067,1545
165,Jul 29$ 2020,75872,1579
166,Jul 30$ 2020,77055,1700
167,Jul 31$ 2020,77938,1708
168,Aug 01$ 2020,78782,1744
169,Aug 02$ 2020,79410,1769
170,Aug 03$ 2020,79674,1789
171,Aug 04$ 2020,79844,1832
172,Aug 05$ 2020,80400,1967
173,Aug 06$ 2020,81014,2033
174,Aug 07$ 2020,81615,2090
175,Aug 08$ 2020,82074,2129
176,Aug 09$ 2020,82401,2209
177,Aug 10$ 2020,82857,2266
178,Aug 11$ 2020,82715,2286
179,Aug 12$ 2020,82779,2332
180,Aug 13$ 2020,83002,2400
181,Aug 14$ 2020,83372,2442
182,Aug 15$ 2020,83671,2447
183,Aug 16$ 2020,84006,2517
184,Aug 17$ 2020,84092,2567
185,Aug 18$ 2020,84144,2633
186,Aug 19$ 2020,84362,2670
187,Aug 20$ 2020,84586,2696
188,Aug 21$ 2020,84787,2753
189,Aug 22$ 2020,85039,2778
190,Aug 23$ 2020,85303,2789
191,Aug 24$ 2020,85240,2800
192,Aug 25$ 2020,85311,2816
193,Aug 26$ 2020,85472,2828
194,Aug 27$ 2020,85625,2853
195,Aug 28$ 2020,85701,2863
196,Aug 29$ 2020,85899,2869
197,Aug 30$ 2020,86060,2876
198,Aug 31$ 2020,86163,2896
199,Sep 01$ 2020,86217,2903
200,Sep 02$ 2020,86322,2932
201,Sep 03$ 2020,86489,2956
202,Sep 04$ 2020,86635,2968
203,Sep 05$ 2020,86755,2979
204,Sep 06$ 2020,86849,2986
205,Sep 07$ 2020,86868,2998
206,Sep 08$ 2020,86926,3007
207,Sep 09$ 2020,87040,3012
208,Sep 10$ 2020,87128,3012
209,Sep 11$ 2020,87222,3019
210,Sep 12$ 2020,87323,3035
211,Sep 13$ 2020,87415,3047
212,Sep 14$ 2020,87456,3051
213,Sep 15$ 2020,87513,3055
214,Sep 16$ 2020,87663,3055
215,Sep 17$ 2020,87776,3058
216,Sep 18$ 2020,87894,3063
217,Sep 19$ 2020,88034,3067
218,Sep 20$ 2020,88164,3070
219,Sep 21$ 2020,88205,3079
220,Sep 22$ 2020,88319,3084
221,Sep 23$ 2020,88420,3086
222,Sep 24$ 2020,88569,3093
223,Sep 25$ 2020,88680,3098
224,Sep 26$ 2020,88776,3103
225,Sep 27$ 2020,88892,3110
226,Sep 28$ 2020,88975,3113
227,Sep 29$ 2020,89076,3121
228,Sep 30$ 2020,89204,3124
229,Oct 01$ 2020,89359,3124
230,Oct 02$ 2020,89552,3127
231,Oct 03$ 2020,89693,3128
232,Oct 04$ 2020,89853,3128
233,Oct 05$ 2020,89964,3140
234,Oct 06$ 2020,89991,3144
235,Oct 07$ 2020,90165,3145
236,Oct 08$ 2020,90339,3163
237,Oct 09$ 2020,90479,3186
238,Oct 10$ 2020,90686,3225
239,Oct 11$ 2020,90867,3283
240,Oct 12$ 2020,90977,3300
241,Oct 13$ 2020,91049,3331
242,Oct 14$ 2020,91219,3375
243,Oct 15$ 2020,91373,3397
244,Oct 16$ 2020,91526,3411
245,Oct 17$ 2020,91821,3421
246,Oct 18$ 2020,92006,3430
247,Oct 19$ 2020,92122,3451
248,Oct 20$ 2020,92246,3497
249,Oct 21$ 2020,92566,3508
250,Oct 22$ 2020,92936,3513
251,Oct 23$ 2020,93203,3524
252,Oct 24$ 2020,93568,3536
253,Oct 25$ 2020,93986,3552
254,Oct 26$ 2020,94182,3560
255,Oct 27$ 2020,94497,3570
256,Oct 28$ 2020,95050,3588
257,Oct 29$ 2020,95559,3625
258,Oct 30$ 2020,96093,3646
259,Oct 31$ 2020,96675,3681
260,Nov 01$ 2020,97021,3703
261,Nov 02$ 2020,97326,3727
262,Nov 03$ 2020,97997,3762
263,Nov 04$ 2020,98622,3786
264,Nov 05$ 2020,99380,3813
265,Nov 06$ 2020,100064,3838
266,Nov 07$ 2020,100710,3859
267,Nov 08$ 2020,101336,3878
268,Nov 09$ 2020,102057,3886
269,Nov 10$ 2020,1031804,3910
270,Nov 11$ 2020,104125,3934
271,Nov 12$ 2020,105267,3971
272,Nov 13$ 2020,106334,4000
273,Nov 14$ 2020,107515,4034
274,Nov 15$ 2020,108313,4054
275,Nov 16$ 2020,108993,4086
276,Nov 17$ 2020,110312,4122
277,Nov 18$ 2020,112018,4157
278,Nov 19$ 2020,113139,4200
279,Nov 20$ 2020,114830,4267
280,Nov 21$ 2020,116175,4325
281,Nov 22$ 2020,117374,4353
282,Nov 23$ 2020,118688,4379
283,Nov 24$ 2020,120052,4424
284,Nov 25$ 2020,121329,4475
285,Nov 26$ 2020,122587,4508
286,Nov 27$ 2020,124067,4563
287,Nov 28$ 2020,125480,4589
288,Nov 29$ 2020,126520,4606
289,Nov 30$ 2020,127737,4638
290,Dec 01$ 2020,128889,4674
291,Dec 02$ 2020,130430,4678
292,Dec 03$ 2020,132149,4720
293,Dec 04$ 2020,134021,4789
294,Dec 05$ 2020,135468,4854
295,Dec 06$ 2020,136772,4978
296,Dec 07$ 2020,138020,4978
297,Dec 08$ 2020,139055,5060
298,Dec 09$ 2020,140647,5116
299,Dec 10$ 2020,142834,5206
300,Dec 11$ 2020,144830,5302
301,Dec 12$ 2020,146707,5399
302,Dec 13$ 2020,148528,5493
303,Dec 14$ 2020,149510,5586
304,Dec 15$ 2020,151466,5681
305,Dec 16$ 2020,153085,5770
306,Dec 17$ 2020,154743,5873
307,Dec 18$ 2020,155873,5965
308,Dec 19$ 2020,157209,6050
309,Dec 20$ 2020,158484,6155
310,Dec 21$ 2020,159767,6252
311,Dec 22$ 2020,161186,6359
312,Dec 23$ 2020,162452,6460
313,Dec 24$ 2020,163806,6589
314,Dec 25$ 2020,165022,6684
315,Dec 26$ 2020,165988,6802
316,Dec 27$ 2020,166849,6925
317,Dec 28$ 2020,167239,7034
318,Dec 29$ 2020,168090,7171
319,Dec 30$ 2020,169363,7259
320,Dec 31$ 2020,170687,7316
321,Jan 01$ 2021,171921,7382
322,Jan 02$ 2021,172917,7474
323,Jan 03$ 2021,173592,7583
