,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,2,0
14,Feb 29$ 2020,4,0
15,Mar 01$ 2020,5,0
16,Mar 02$ 2020,6,0
17,Mar 03$ 2020,6,0
18,Mar 04$ 2020,6,0
19,Mar 05$ 2020,6,0
20,Mar 06$ 2020,6,0
21,Mar 07$ 2020,6,0
22,Mar 08$ 2020,7,0
23,Mar 09$ 2020,7,0
24,Mar 10$ 2020,7,0
25,Mar 11$ 2020,11,0
26,Mar 12$ 2020,12,0
27,Mar 13$ 2020,15,0
28,Mar 14$ 2020,26,0
29,Mar 15$ 2020,44,0
30,Mar 16$ 2020,54,0
31,Mar 17$ 2020,84,0
32,Mar 18$ 2020,95,0
33,Mar 19$ 2020,121,1
34,Mar 20$ 2020,168,1
35,Mar 21$ 2020,208,2
36,Mar 22$ 2020,258,2
37,Mar 23$ 2020,325,3
38,Mar 24$ 2020,378,4
39,Mar 25$ 2020,417,5
40,Mar 26$ 2020,489,6
41,Mar 27$ 2020,603,8
42,Mar 28$ 2020,739,12
43,Mar 29$ 2020,874,16
44,Mar 30$ 2020,1024,20
45,Mar 31$ 2020,1128,28
46,Apr 01$ 2020,1253,29
47,Apr 02$ 2020,1421,37
48,Apr 03$ 2020,1557,50
49,Apr 04$ 2020,1741,60
50,Apr 05$ 2020,1950,80
51,Apr 06$ 2020,2211,95
52,Apr 07$ 2020,2517,127
53,Apr 08$ 2020,2874,144
54,Apr 09$ 2020,3283,178
55,Apr 10$ 2020,3551,199
56,Apr 11$ 2020,3967,239
57,Apr 12$ 2020,4354,280
58,Apr 13$ 2020,4810,304
59,Apr 14$ 2020,5174,341
60,Apr 15$ 2020,5571,417
61,Apr 16$ 2020,6034,461
62,Apr 17$ 2020,6499,499
63,Apr 18$ 2020,7096,561
64,Apr 19$ 2020,7738,668
65,Apr 20$ 2020,8527,705
66,Apr 21$ 2020,9055,732
67,Apr 22$ 2020,9808,882
68,Apr 23$ 2020,10885,999
69,Apr 24$ 2020,12009,1101
70,Apr 25$ 2020,13288,1258
71,Apr 26$ 2020,14289,1345
72,Apr 27$ 2020,15151,1393
73,Apr 28$ 2020,16031,1479
74,Apr 29$ 2020,17294,1618
75,Apr 30$ 2020,18375,1786
76,May 01$ 2020,19846,1917
77,May 02$ 2020,21410,2034
78,May 03$ 2020,22803,2126
79,May 04$ 2020,24231,2222
80,May 05$ 2020,25711,2343
81,May 06$ 2020,26867,2587
82,May 07$ 2020,28528,2791
83,May 08$ 2020,30574,3056
84,May 09$ 2020,32542,3262
85,May 10$ 2020,34543,3461
86,May 11$ 2020,36156,3577
87,May 12$ 2020,37503,3689
88,May 13$ 2020,39565,4054
89,May 14$ 2020,41487,4358
90,May 15$ 2020,43974,4623
91,May 16$ 2020,46490,4923
92,May 17$ 2020,48670,5210
93,May 18$ 2020,50812,5346
94,May 19$ 2020,53304,5506
95,May 20$ 2020,56105,5851
96,May 21$ 2020,58426,6289
97,May 22$ 2020,61495,6723
98,May 23$ 2020,64551,7218
99,May 24$ 2020,67988,7414
100,May 25$ 2020,70842,7636
101,May 26$ 2020,73408,7883
102,May 27$ 2020,76975,8401
103,May 28$ 2020,80550,8879
104,May 29$ 2020,84037,9341
105,May 30$ 2020,87369,9724
106,May 31$ 2020,90348,10100
107,Jun 01$ 2020,93602,10256
108,Jun 02$ 2020,96463,10501
109,Jun 03$ 2020,100480,10987
110,Jun 04$ 2020,104519,12115
111,Jun 05$ 2020,109105,12958
112,Jun 06$ 2020,113592,13604
113,Jun 07$ 2020,117302,13956
114,Jun 08$ 2020,120899,14150
115,Jun 09$ 2020,123995,14516
116,Jun 10$ 2020,128330,15132
117,Jun 11$ 2020,133371,15863
118,Jun 12$ 2020,138316,16469
119,Jun 13$ 2020,143707,16990
120,Jun 14$ 2020,147314,17428
121,Jun 15$ 2020,151595,17706
122,Jun 16$ 2020,155133,18159
123,Jun 17$ 2020,159881,18913
124,Jun 18$ 2020,164971,19708
125,Jun 19$ 2020,170817,20397
126,Jun 20$ 2020,176010,21065
127,Jun 21$ 2020,180880,21465
128,Jun 22$ 2020,186396,22543
129,Jun 23$ 2020,191121,23327
130,Jun 24$ 2020,197613,24146
131,Jun 25$ 2020,203226,25124
132,Jun 26$ 2020,209528,25884
133,Jun 27$ 2020,215145,26627
134,Jun 28$ 2020,219698,27249
135,Jun 29$ 2020,223879,27525
136,Jun 30$ 2020,227807,28014
137,Jul 01$ 2020,233415,28683
138,Jul 02$ 2020,239280,29448
139,Jul 03$ 2020,246240,30149
140,Jul 04$ 2020,253199,30825
141,Jul 05$ 2020,260337,31365
142,Jul 06$ 2020,265172,31647
143,Jul 07$ 2020,270233,32143
144,Jul 08$ 2020,276694,33068
145,Jul 09$ 2020,283916,33876
146,Jul 10$ 2020,291432,34630
147,Jul 11$ 2020,298546,35317
148,Jul 12$ 2020,304838,35874
149,Jul 13$ 2020,309465,36159
150,Jul 14$ 2020,314302,36660
151,Jul 15$ 2020,321582,37524
152,Jul 16$ 2020,327930,38122
153,Jul 17$ 2020,334544,38812
154,Jul 18$ 2020,342036,39572
155,Jul 19$ 2020,349898,40169
156,Jul 20$ 2020,355381,40475
157,Jul 21$ 2020,360721,40786
158,Jul 22$ 2020,367802,41731
159,Jul 23$ 2020,374016,42547
160,Jul 24$ 2020,382728,43289
161,Jul 25$ 2020,390547,44050
162,Jul 26$ 2020,397517,44803
163,Jul 27$ 2020,403175,45119
164,Jul 28$ 2020,408309,45472
165,Jul 29$ 2020,415751,46354
166,Jul 30$ 2020,421690,46855
167,Jul 31$ 2020,429671,47515
168,Aug 01$ 2020,438403,48226
169,Aug 02$ 2020,448269,49036
170,Aug 03$ 2020,453279,49319
171,Aug 04$ 2020,458201,49594
172,Aug 05$ 2020,464548,50479
173,Aug 06$ 2020,470886,51335
174,Aug 07$ 2020,477690,52181
175,Aug 08$ 2020,484625,53001
176,Aug 09$ 2020,491331,53719
177,Aug 10$ 2020,495849,54021
178,Aug 11$ 2020,501587,54749
179,Aug 12$ 2020,508490,55706
180,Aug 13$ 2020,514538,56467
181,Aug 14$ 2020,522148,57115
182,Aug 15$ 2020,527948,57750
183,Aug 16$ 2020,534499,58406
184,Aug 17$ 2020,539091,58627
185,Aug 18$ 2020,542778,58902
186,Aug 19$ 2020,548463,59678
187,Aug 20$ 2020,554443,60408
188,Aug 21$ 2020,561438,61054
189,Aug 22$ 2020,567558,61575
190,Aug 23$ 2020,574250,62240
191,Aug 24$ 2020,578326,62473
192,Aug 25$ 2020,581982,62804
193,Aug 26$ 2020,587057,63475
194,Aug 27$ 2020,592495,64122
195,Aug 28$ 2020,598716,64657
196,Aug 29$ 2020,604729,65227
197,Aug 30$ 2020,610897,65922
198,Aug 31$ 2020,615160,66272
199,Sep 01$ 2020,619000,66536
200,Sep 02$ 2020,625686,67390
201,Sep 03$ 2020,630767,67984
202,Sep 04$ 2020,636897,68514
203,Sep 05$ 2020,643294,69053
204,Sep 06$ 2020,649818,69544
205,Sep 07$ 2020,654582,69784
206,Sep 08$ 2020,658181,70014
207,Sep 09$ 2020,663706,70740
208,Sep 10$ 2020,668504,71371
209,Sep 11$ 2020,673518,71943
210,Sep 12$ 2020,679645,72495
211,Sep 13$ 2020,685503,72930
212,Sep 14$ 2020,690054,73154
213,Sep 15$ 2020,693497,73390
214,Sep 16$ 2020,698423,74040
215,Sep 17$ 2020,703011,74350
216,Sep 18$ 2020,706296,74558
217,Sep 19$ 2020,711294,75203
218,Sep 20$ 2020,716629,75673
219,Sep 21$ 2020,720286,75916
220,Sep 22$ 2020,723298,76127
221,Sep 23$ 2020,728133,76800
222,Sep 24$ 2020,733074,77421
223,Sep 25$ 2020,738657,77927
224,Sep 26$ 2020,744233,78345
225,Sep 27$ 2020,749987,78757
226,Sep 28$ 2020,753999,78950
227,Sep 29$ 2020,757509,79129
228,Sep 30$ 2020,762099,79707
229,Oct 01$ 2020,767316,80206
230,Oct 02$ 2020,772580,80652
231,Oct 03$ 2020,777510,81080
232,Oct 04$ 2020,782531,81481
233,Oct 05$ 2020,786363,81697
234,Oct 06$ 2020,789780,81877
235,Oct 07$ 2020,794608,82348
236,Oct 08$ 2020,799188,82726
237,Oct 09$ 2020,804488,83096
238,Oct 10$ 2020,809751,83507
239,Oct 11$ 2020,814328,83642
240,Oct 12$ 2020,817503,83781
241,Oct 13$ 2020,821045,83945
242,Oct 14$ 2020,825340,84420
243,Oct 15$ 2020,829396,84898
244,Oct 16$ 2020,834910,85285
245,Oct 17$ 2020,841661,85704
246,Oct 18$ 2020,847108,86059
247,Oct 19$ 2020,851227,86167
248,Oct 20$ 2020,854926,86338
249,Oct 21$ 2020,860714,86893
250,Oct 22$ 2020,867559,87415
251,Oct 23$ 2020,874171,87894
252,Oct 24$ 2020,880775,88312
253,Oct 25$ 2020,886800,88743
254,Oct 26$ 2020,891160,88924
255,Oct 27$ 2020,895326,89171
256,Oct 28$ 2020,901268,89814
257,Oct 29$ 2020,906863,90309
258,Oct 30$ 2020,912811,90773
259,Oct 31$ 2020,918811,91289
260,Nov 01$ 2020,924962,91753
261,Nov 02$ 2020,929392,91895
262,Nov 03$ 2020,933155,92100
263,Nov 04$ 2020,938405,92593
264,Nov 05$ 2020,943630,93228
265,Nov 06$ 2020,949197,93772
266,Nov 07$ 2020,955128,94323
267,Nov 08$ 2020,961938,94808
268,Nov 09$ 2020,967825,95027
269,Nov 10$ 2020,972785,95225
270,Nov 11$ 2020,978531,95842
271,Nov 12$ 2020,986177,96430
272,Nov 13$ 2020,991835,97056
273,Nov 14$ 2020,997393,97624
274,Nov 15$ 2020,1003253,98259
275,Nov 16$ 2020,1006522,98542
276,Nov 17$ 2020,1009396,98861
277,Nov 18$ 2020,1011153,99026
278,Nov 19$ 2020,1015071,99528
279,Nov 20$ 2020,1019543,100104
280,Nov 21$ 2020,1025969,100823
281,Nov 22$ 2020,1032688,101373
282,Nov 23$ 2020,1041875,101676
283,Nov 24$ 2020,1049358,101926
284,Nov 25$ 2020,1060152,102739
285,Nov 26$ 2020,1070487,103597
286,Nov 27$ 2020,1078594,104242
287,Nov 28$ 2020,1090675,104873
288,Nov 29$ 2020,1100683,105459
289,Nov 30$ 2020,1107071,105655
290,Dec 01$ 2020,1113543,105940
291,Dec 02$ 2020,1122362,106765
292,Dec 03$ 2020,1133613,107565
293,Dec 04$ 2020,1144643,108173
294,Dec 05$ 2020,1156770,108863
295,Dec 06$ 2020,1168395,109456
296,Dec 07$ 2020,1175850,109717
297,Dec 08$ 2020,1182249,110074
298,Dec 09$ 2020,1193255,110874
299,Dec 10$ 2020,1205229,111655
300,Dec 11$ 2020,1217126,112326
301,Dec 12$ 2020,1229379,113019
302,Dec 13$ 2020,1241436,113704
303,Dec 14$ 2020,1250044,113953
304,Dec 15$ 2020,1255974,114298
305,Dec 16$ 2020,1267202,115099
306,Dec 17$ 2020,1277499,115769
307,Dec 18$ 2020,1289298,116487
308,Dec 19$ 2020,1301546,117249
309,Dec 20$ 2020,1313675,117876
310,Dec 21$ 2020,1320545,118202
311,Dec 22$ 2020,1325915,118598
312,Dec 23$ 2020,1338426,119495
313,Dec 24$ 2020,1350079,120311
314,Dec 25$ 2020,1362564,121172
