,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,1,0
17,Mar 03$ 2020,1,0
18,Mar 04$ 2020,2,0
19,Mar 05$ 2020,5,0
20,Mar 06$ 2020,5,0
21,Mar 07$ 2020,7,0
22,Mar 08$ 2020,11,0
23,Mar 09$ 2020,20,0
24,Mar 10$ 2020,20,0
25,Mar 11$ 2020,45,0
26,Mar 12$ 2020,45,0
27,Mar 13$ 2020,86,0
28,Mar 14$ 2020,103,0
29,Mar 15$ 2020,118,0
30,Mar 16$ 2020,133,0
31,Mar 17$ 2020,171,0
32,Mar 18$ 2020,238,0
33,Mar 19$ 2020,274,0
34,Mar 20$ 2020,344,0
35,Mar 21$ 2020,392,0
36,Mar 22$ 2020,511,0
37,Mar 23$ 2020,562,0
38,Mar 24$ 2020,767,1
39,Mar 25$ 2020,900,2
40,Mar 26$ 2020,1012,3
41,Mar 27$ 2020,1104,3
42,Mar 28$ 2020,1203,4
43,Mar 29$ 2020,1299,8
44,Mar 30$ 2020,1453,8
45,Mar 31$ 2020,1563,10
46,Apr 01$ 2020,1720,16
47,Apr 02$ 2020,1885,21
48,Apr 03$ 2020,2039,25
49,Apr 04$ 2020,2179,29
50,Apr 05$ 2020,2402,34
51,Apr 06$ 2020,2605,38
52,Apr 07$ 2020,2795,41
53,Apr 08$ 2020,2932,41
54,Apr 09$ 2020,3287,44
55,Apr 10$ 2020,3651,47
56,Apr 11$ 2020,4033,52
57,Apr 12$ 2020,4462,59
58,Apr 13$ 2020,4934,65
59,Apr 14$ 2020,5369,73
60,Apr 15$ 2020,5862,79
61,Apr 16$ 2020,6380,83
62,Apr 17$ 2020,7142,87
63,Apr 18$ 2020,8274,92
64,Apr 19$ 2020,9362,97
65,Apr 20$ 2020,10484,103
66,Apr 21$ 2020,11631,109
67,Apr 22$ 2020,12772,114
68,Apr 23$ 2020,13930,121
69,Apr 24$ 2020,15102,127
70,Apr 25$ 2020,16299,136
71,Apr 26$ 2020,17522,139
72,Apr 27$ 2020,18811,144
73,Apr 28$ 2020,20077,152
74,Apr 29$ 2020,21402,157
75,Apr 30$ 2020,22753,162
76,May 01$ 2020,24097,169
77,May 02$ 2020,25459,176
78,May 03$ 2020,27011,184
79,May 04$ 2020,28656,191
80,May 05$ 2020,30251,200
81,May 06$ 2020,31938,209
82,May 07$ 2020,33731,219
83,May 08$ 2020,35432,229
84,May 09$ 2020,37136,239
85,May 10$ 2020,39048,246
86,May 11$ 2020,41014,255
87,May 12$ 2020,42925,264
88,May 13$ 2020,44830,273
89,May 14$ 2020,46869,283
90,May 15$ 2020,49176,292
91,May 16$ 2020,52016,302
92,May 17$ 2020,54752,312
93,May 18$ 2020,57345,320
94,May 19$ 2020,59854,329
95,May 20$ 2020,62545,339
96,May 21$ 2020,65077,351
97,May 22$ 2020,67719,364
98,May 23$ 2020,70161,379
99,May 24$ 2020,72560,390
100,May 25$ 2020,74795,399
101,May 26$ 2020,76726,411
102,May 27$ 2020,78541,425
103,May 28$ 2020,80185,441
104,May 29$ 2020,81766,458
105,May 30$ 2020,83384,480
106,May 31$ 2020,85261,503
107,Jun 01$ 2020,87142,525
108,Jun 02$ 2020,89011,549
109,Jun 03$ 2020,91182,579
110,Jun 04$ 2020,93157,611
111,Jun 05$ 2020,95748,642
112,Jun 06$ 2020,98869,676
113,Jun 07$ 2020,101914,712
114,Jun 08$ 2020,105283,746
115,Jun 09$ 2020,108571,783
116,Jun 10$ 2020,112288,819
117,Jun 11$ 2020,116021,857
118,Jun 12$ 2020,119942,893
119,Jun 13$ 2020,123308,932
120,Jun 14$ 2020,127541,972
121,Jun 15$ 2020,132048,1011
122,Jun 16$ 2020,136315,1052
123,Jun 17$ 2020,141234,1091
124,Jun 18$ 2020,145991,1139
125,Jun 19$ 2020,150292,1184
126,Jun 20$ 2020,154233,1230
127,Jun 21$ 2020,157612,1267
128,Jun 22$ 2020,161005,1307
129,Jun 23$ 2020,164144,1346
130,Jun 24$ 2020,167267,1387
131,Jun 25$ 2020,170639,1428
132,Jun 26$ 2020,174577,1474
133,Jun 27$ 2020,178504,1511
134,Jun 28$ 2020,182493,1551
135,Jun 29$ 2020,186436,1599
136,Jun 30$ 2020,190823,1649
137,Jul 01$ 2020,194225,1698
138,Jul 02$ 2020,197608,1752
139,Jul 03$ 2020,201801,1802
140,Jul 04$ 2020,205929,1858
141,Jul 05$ 2020,209509,1916
142,Jul 06$ 2020,213716,1968
143,Jul 07$ 2020,217108,2017
144,Jul 08$ 2020,220144,2059
145,Jul 09$ 2020,223327,2100
146,Jul 10$ 2020,226486,2151
147,Jul 11$ 2020,229480,2181
148,Jul 12$ 2020,232259,2223
149,Jul 13$ 2020,235111,2243
150,Jul 14$ 2020,237803,2283
151,Jul 15$ 2020,240474,2325
152,Jul 16$ 2020,243238,2370
153,Jul 17$ 2020,245851,2407
154,Jul 18$ 2020,248416,2447
155,Jul 19$ 2020,250920,2486
156,Jul 20$ 2020,253349,2523
157,Jul 21$ 2020,255825,2557
158,Jul 22$ 2020,258156,2601
159,Jul 23$ 2020,260394,2635
160,Jul 24$ 2020,262772,2672
161,Jul 25$ 2020,264973,2703
162,Jul 26$ 2020,266941,2733
163,Jul 27$ 2020,268934,2760
164,Jul 28$ 2020,270831,2789
165,Jul 29$ 2020,272590,2816
166,Jul 30$ 2020,274219,2842
167,Jul 31$ 2020,275905,2866
168,Aug 01$ 2020,277478,2887
169,Aug 02$ 2020,278835,2917
170,Aug 03$ 2020,280093,2949
171,Aug 04$ 2020,281435,2984
172,Aug 05$ 2020,282824,3020
173,Aug 06$ 2020,284226,3055
174,Aug 07$ 2020,285793,3093
175,Aug 08$ 2020,287262,3130
176,Aug 09$ 2020,288690,3167
177,Aug 10$ 2020,289947,3199
178,Aug 11$ 2020,291468,3233
179,Aug 12$ 2020,293037,3269
180,Aug 13$ 2020,294519,3303
181,Aug 14$ 2020,295902,3338
182,Aug 15$ 2020,297315,3369
183,Aug 16$ 2020,298542,3408
184,Aug 17$ 2020,299914,3436
185,Aug 18$ 2020,301323,3470
186,Aug 19$ 2020,302686,3506
187,Aug 20$ 2020,303973,3548
188,Aug 21$ 2020,305186,3580
189,Aug 22$ 2020,306370,3619
190,Aug 23$ 2020,307479,3649
191,Aug 24$ 2020,308654,3691
192,Aug 25$ 2020,309768,3722
193,Aug 26$ 2020,310836,3755
194,Aug 27$ 2020,311855,3785
195,Aug 28$ 2020,312924,3813
196,Aug 29$ 2020,313911,3840
197,Aug 30$ 2020,314821,3870
198,Aug 31$ 2020,315772,3897
199,Sep 01$ 2020,316670,3929
200,Sep 02$ 2020,317486,3956
201,Sep 03$ 2020,318319,3982
202,Sep 04$ 2020,319141,4015
203,Sep 05$ 2020,319932,4049
204,Sep 06$ 2020,320688,4081
205,Sep 07$ 2020,321456,4107
206,Sep 08$ 2020,322237,4137
207,Sep 09$ 2020,323012,4165
208,Sep 10$ 2020,323720,4189
209,Sep 11$ 2020,324407,4213
210,Sep 12$ 2020,325050,4240
211,Sep 13$ 2020,325651,4268
212,Sep 14$ 2020,326258,4305
213,Sep 15$ 2020,326930,4338
214,Sep 16$ 2020,327551,4369
215,Sep 17$ 2020,328144,4399
216,Sep 18$ 2020,328720,4430
217,Sep 19$ 2020,329271,4458
218,Sep 20$ 2020,329754,4485
219,Sep 21$ 2020,330246,4512
220,Sep 22$ 2020,330798,4542
221,Sep 23$ 2020,331359,4569
222,Sep 24$ 2020,331857,4599
223,Sep 25$ 2020,332329,4625
224,Sep 26$ 2020,332790,4655
225,Sep 27$ 2020,333193,4683
226,Sep 28$ 2020,333648,4712
227,Sep 29$ 2020,334187,4739
228,Sep 30$ 2020,334605,4768
229,Oct 01$ 2020,335097,4794
230,Oct 02$ 2020,335578,4823
231,Oct 03$ 2020,335997,4850
232,Oct 04$ 2020,336387,4875
233,Oct 05$ 2020,336766,4898
234,Oct 06$ 2020,337243,4923
235,Oct 07$ 2020,337711,4947
236,Oct 08$ 2020,338132,4972
237,Oct 09$ 2020,338539,4996
238,Oct 10$ 2020,338944,5018
239,Oct 11$ 2020,339267,5043
240,Oct 12$ 2020,339615,5068
241,Oct 13$ 2020,340089,5087
242,Oct 14$ 2020,340590,5108
243,Oct 15$ 2020,341062,5127
244,Oct 16$ 2020,341495,5144
245,Oct 17$ 2020,341854,5165
246,Oct 18$ 2020,342202,5185
247,Oct 19$ 2020,342583,5201
248,Oct 20$ 2020,342968,5217
249,Oct 21$ 2020,343373,5235
250,Oct 22$ 2020,343774,5250
251,Oct 23$ 2020,344157,5264
252,Oct 24$ 2020,344552,5281
253,Oct 25$ 2020,344875,5296
254,Oct 26$ 2020,345232,5313
255,Oct 27$ 2020,345631,5329
256,Oct 28$ 2020,346047,5348
257,Oct 29$ 2020,346482,5363
258,Oct 30$ 2020,346880,5383
259,Oct 31$ 2020,347282,5402
260,Nov 01$ 2020,347656,5420
261,Nov 02$ 2020,348037,5437
262,Nov 03$ 2020,348510,5456
263,Nov 04$ 2020,348936,5471
264,Nov 05$ 2020,349386,5489
265,Nov 06$ 2020,349822,5506
266,Nov 07$ 2020,350229,5525
267,Nov 08$ 2020,350592,5540
268,Nov 09$ 2020,350984,5559
269,Nov 10$ 2020,351455,5576
270,Nov 11$ 2020,351849,5590
271,Nov 12$ 2020,352160,5605
272,Nov 13$ 2020,352601,5625
273,Nov 14$ 2020,352950,5641
274,Nov 15$ 2020,353255,5657
275,Nov 16$ 2020,353556,5676
276,Nov 17$ 2020,353918,5692
277,Nov 18$ 2020,354208,5710
278,Nov 19$ 2020,354527,5729
279,Nov 20$ 2020,354813,5745
280,Nov 21$ 2020,355034,5761
281,Nov 22$ 2020,355258,5780
282,Nov 23$ 2020,355489,5796
283,Nov 24$ 2020,355741,5811
284,Nov 25$ 2020,356067,5825
285,Nov 26$ 2020,356389,5840
286,Nov 27$ 2020,356691,5857
287,Nov 28$ 2020,356911,5870
288,Nov 29$ 2020,357128,5884
289,Nov 30$ 2020,357360,5896
290,Dec 01$ 2020,357623,5907
291,Dec 02$ 2020,357872,5919
292,Dec 03$ 2020,358102,5930
293,Dec 04$ 2020,358336,5940
294,Dec 05$ 2020,358526,5954
295,Dec 06$ 2020,358713,5965
296,Dec 07$ 2020,358922,5977
297,Dec 08$ 2020,359115,5989
298,Dec 09$ 2020,359274,6002
299,Dec 10$ 2020,359415,6012
300,Dec 11$ 2020,359583,6023
301,Dec 12$ 2020,359749,6036
302,Dec 13$ 2020,359888,6048
303,Dec 14$ 2020,360013,6059
304,Dec 15$ 2020,360155,6069
305,Dec 16$ 2020,360335,6080
306,Dec 17$ 2020,360516,6091
307,Dec 18$ 2020,360690,6101
308,Dec 19$ 2020,360848,6112
309,Dec 20$ 2020,361010,6122
310,Dec 21$ 2020,361178,6131
311,Dec 22$ 2020,361359,6139
312,Dec 23$ 2020,361536,6148
313,Dec 24$ 2020,361725,6159
314,Dec 25$ 2020,361903,6168
315,Dec 26$ 2020,362066,6176
316,Dec 27$ 2020,362220,6185
317,Dec 28$ 2020,362339,6196
318,Dec 29$ 2020,362488,6204
319,Dec 30$ 2020,362601,6214
