,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,1,0
8,Feb 23$ 2020,1,0
9,Feb 24$ 2020,1,0
10,Feb 25$ 2020,5,0
11,Feb 26$ 2020,5,0
12,Feb 27$ 2020,7,0
13,Feb 28$ 2020,8,0
14,Feb 29$ 2020,13,0
15,Mar 01$ 2020,19,0
16,Mar 02$ 2020,27,0
17,Mar 03$ 2020,32,0
18,Mar 04$ 2020,37,2
19,Mar 05$ 2020,40,3
20,Mar 06$ 2020,46,4
21,Mar 07$ 2020,54,4
22,Mar 08$ 2020,65,6
23,Mar 09$ 2020,71,7
24,Mar 10$ 2020,71,7
25,Mar 11$ 2020,71,7
26,Mar 12$ 2020,83,8
27,Mar 13$ 2020,101,9
28,Mar 14$ 2020,110,10
29,Mar 15$ 2020,124,10
30,Mar 16$ 2020,133,10
31,Mar 17$ 2020,154,11
32,Mar 18$ 2020,164,12
33,Mar 19$ 2020,192,13
34,Mar 20$ 2020,208,17
35,Mar 21$ 2020,214,17
36,Mar 22$ 2020,233,20
37,Mar 23$ 2020,266,23
38,Mar 24$ 2020,316,27
39,Mar 25$ 2020,346,29
40,Mar 26$ 2020,382,36
41,Mar 27$ 2020,458,40
42,Mar 28$ 2020,506,42
43,Mar 29$ 2020,547,42
44,Mar 30$ 2020,630,46
45,Mar 31$ 2020,694,50
46,Apr 01$ 2020,728,52
47,Apr 02$ 2020,772,54
48,Apr 03$ 2020,820,54
49,Apr 04$ 2020,878,56
50,Apr 05$ 2020,961,61
51,Apr 06$ 2020,1031,64
52,Apr 07$ 2020,1122,65
53,Apr 08$ 2020,1202,69
54,Apr 09$ 2020,1232,69
55,Apr 10$ 2020,1279,70
56,Apr 11$ 2020,1318,72
57,Apr 12$ 2020,1352,76
58,Apr 13$ 2020,1378,78
59,Apr 14$ 2020,1400,78
60,Apr 15$ 2020,1415,79
61,Apr 16$ 2020,1434,80
62,Apr 17$ 2020,1482,81
63,Apr 18$ 2020,1513,82
64,Apr 19$ 2020,1539,82
65,Apr 20$ 2020,1574,82
66,Apr 21$ 2020,1602,83
67,Apr 22$ 2020,1631,83
68,Apr 23$ 2020,1677,83
69,Apr 24$ 2020,1708,86
70,Apr 25$ 2020,1763,86
71,Apr 26$ 2020,1820,87
72,Apr 27$ 2020,1847,88
73,Apr 28$ 2020,1928,90
74,Apr 29$ 2020,2003,92
75,Apr 30$ 2020,2085,93
76,May 01$ 2020,2153,94
77,May 02$ 2020,2219,95
78,May 03$ 2020,2296,97
79,May 04$ 2020,2346,98
80,May 05$ 2020,2431,102
81,May 06$ 2020,2480,102
82,May 07$ 2020,2543,102
83,May 08$ 2020,2603,104
84,May 09$ 2020,2679,107
85,May 10$ 2020,2767,109
86,May 11$ 2020,2818,110
87,May 12$ 2020,2913,112
88,May 13$ 2020,3032,115
89,May 14$ 2020,3143,115
90,May 15$ 2020,3193,117
91,May 16$ 2020,3260,121
92,May 17$ 2020,3404,123
93,May 18$ 2020,3554,127
94,May 19$ 2020,3611,131
95,May 20$ 2020,3724,134
96,May 21$ 2020,3877,140
97,May 22$ 2020,3964,147
98,May 23$ 2020,4272,152
99,May 24$ 2020,4469,160
100,May 25$ 2020,4632,163
101,May 26$ 2020,4848,169
102,May 27$ 2020,5135,175
103,May 28$ 2020,5457,179
104,May 29$ 2020,5873,185
105,May 30$ 2020,6179,195
106,May 31$ 2020,6439,205
107,Jun 01$ 2020,6868,215
108,Jun 02$ 2020,7387,235
109,Jun 03$ 2020,8168,256
110,Jun 04$ 2020,8840,271
111,Jun 05$ 2020,9846,285
112,Jun 06$ 2020,11098,318
113,Jun 07$ 2020,12366,346
114,Jun 08$ 2020,13481,370
115,Jun 09$ 2020,14268,392
116,Jun 10$ 2020,15414,426
117,Jun 11$ 2020,16675,457
118,Jun 12$ 2020,17770,496
119,Jun 13$ 2020,18950,549
120,Jun 14$ 2020,20209,607
121,Jun 15$ 2020,21315,652
122,Jun 16$ 2020,22700,712
123,Jun 17$ 2020,24254,773
124,Jun 18$ 2020,25717,856
125,Jun 19$ 2020,27352,925
126,Jun 20$ 2020,29222,1013
127,Jun 21$ 2020,30868,1100
128,Jun 22$ 2020,32676,1167
129,Jun 23$ 2020,34502,1251
130,Jun 24$ 2020,36702,1330
131,Jun 25$ 2020,39139,1437
132,Jun 26$ 2020,41193,1559
133,Jun 27$ 2020,43262,1660
134,Jun 28$ 2020,45402,1756
135,Jun 29$ 2020,47151,1839
136,Jun 30$ 2020,49109,1943
137,Jul 01$ 2020,51524,2050
138,Jul 02$ 2020,53708,2160
139,Jul 03$ 2020,56020,2262
140,Jul 04$ 2020,58354,2368
141,Jul 05$ 2020,60479,2473
142,Jul 06$ 2020,62275,2567
143,Jul 07$ 2020,64701,2685
144,Jul 08$ 2020,67442,2779
145,Jul 09$ 2020,69612,2882
146,Jul 10$ 2020,72460,2960
147,Jul 11$ 2020,75194,3055
148,Jul 12$ 2020,77506,3150
149,Jul 13$ 2020,79735,3250
150,Jul 14$ 2020,81757,3345
151,Jul 15$ 2020,83867,3432
152,Jul 16$ 2020,86148,3522
153,Jul 17$ 2020,88171,3616
154,Jul 18$ 2020,90220,3691
155,Jul 19$ 2020,92530,3781
156,Jul 20$ 2020,94693,3869
157,Jul 21$ 2020,97159,3950
158,Jul 22$ 2020,99865,4042
159,Jul 23$ 2020,102226,4122
160,Jul 24$ 2020,104711,4212
161,Jul 25$ 2020,107573,4284
162,Jul 26$ 2020,110032,4362
163,Jul 27$ 2020,112585,4458
164,Jul 28$ 2020,115332,4535
165,Jul 29$ 2020,118300,4603
166,Jul 30$ 2020,121263,4671
167,Jul 31$ 2020,124609,4741
168,Aug 01$ 2020,126704,4805
169,Aug 02$ 2020,129151,4868
170,Aug 03$ 2020,131886,4934
171,Aug 04$ 2020,134722,5017
172,Aug 05$ 2020,137556,5094
173,Aug 06$ 2020,140603,5161
174,Aug 07$ 2020,144064,5236
175,Aug 08$ 2020,147389,5310
176,Aug 09$ 2020,150115,5392
177,Aug 10$ 2020,153599,5464
178,Aug 11$ 2020,156995,5531
179,Aug 12$ 2020,160436,5588
180,Aug 13$ 2020,164277,5641
181,Aug 14$ 2020,168290,5709
182,Aug 15$ 2020,172583,5785
183,Aug 16$ 2020,176931,5860
184,Aug 17$ 2020,180133,5954
185,Aug 18$ 2020,184709,6036
186,Aug 19$ 2020,188802,6121
187,Aug 20$ 2020,192797,6208
188,Aug 21$ 2020,197085,6283
189,Aug 22$ 2020,201050,6353
190,Aug 23$ 2020,204341,6428
191,Aug 24$ 2020,207985,6519
192,Aug 25$ 2020,211947,6596
193,Aug 26$ 2020,215784,6668
194,Aug 27$ 2020,219435,6740
195,Aug 28$ 2020,223612,6814
196,Aug 29$ 2020,227446,6891
197,Aug 30$ 2020,231177,6959
198,Aug 31$ 2020,234934,7042
199,Sep 01$ 2020,238338,7123
200,Sep 02$ 2020,242284,7201
201,Sep 03$ 2020,247039,7275
202,Sep 04$ 2020,252075,7359
203,Sep 05$ 2020,256719,7422
204,Sep 06$ 2020,260370,7512
205,Sep 07$ 2020,264684,7589
206,Sep 08$ 2020,269578,7657
207,Sep 09$ 2020,273821,7732
208,Sep 10$ 2020,278418,7814
209,Sep 11$ 2020,282672,7881
210,Sep 12$ 2020,286778,7941
211,Sep 13$ 2020,290309,8014
212,Sep 14$ 2020,294478,8086
213,Sep 15$ 2020,298702,8166
214,Sep 16$ 2020,303059,8248
215,Sep 17$ 2020,307385,8332
216,Sep 18$ 2020,311690,8408
217,Sep 19$ 2020,315597,8491
218,Sep 20$ 2020,319035,8555
219,Sep 21$ 2020,322856,8625
220,Sep 22$ 2020,327580,8682
221,Sep 23$ 2020,332635,8754
222,Sep 24$ 2020,337106,8799
223,Sep 25$ 2020,341699,8867
224,Sep 26$ 2020,345969,8935
225,Sep 27$ 2020,349450,8990
226,Sep 28$ 2020,353566,9052
227,Sep 29$ 2020,358290,9122
228,Sep 30$ 2020,362981,9181
229,Oct 01$ 2020,367474,9231
230,Oct 02$ 2020,372259,9298
231,Oct 03$ 2020,375931,9347
232,Oct 04$ 2020,379141,9399
233,Oct 05$ 2020,382949,9464
234,Oct 06$ 2020,387121,9531
235,Oct 07$ 2020,391044,9604
236,Oct 08$ 2020,394566,9683
237,Oct 09$ 2020,397780,9735
238,Oct 10$ 2020,400124,9790
239,Oct 11$ 2020,402330,9852
240,Oct 12$ 2020,405437,9912
241,Oct 13$ 2020,409358,9970
242,Oct 14$ 2020,413215,10021
243,Oct 15$ 2020,416802,10086
244,Oct 16$ 2020,420303,10142
245,Oct 17$ 2020,423524,10198
246,Oct 18$ 2020,426634,10254
247,Oct 19$ 2020,430678,10317
248,Oct 20$ 2020,434598,10366
249,Oct 21$ 2020,438265,10418
250,Oct 22$ 2020,442164,10465
251,Oct 23$ 2020,445949,10513
252,Oct 24$ 2020,449153,10568
253,Oct 25$ 2020,451707,10623
254,Oct 26$ 2020,455398,10671
255,Oct 27$ 2020,459908,10724
256,Oct 28$ 2020,463951,10770
257,Oct 29$ 2020,467755,10815
258,Oct 30$ 2020,470633,10862
259,Oct 31$ 2020,472630,10910
260,Nov 01$ 2020,475288,10966
261,Nov 02$ 2020,478701,11017
262,Nov 03$ 2020,482296,11068
263,Nov 04$ 2020,485870,11128
264,Nov 05$ 2020,489571,11175
265,Nov 06$ 2020,493139,11244
266,Nov 07$ 2020,496019,11283
267,Nov 08$ 2020,498549,11327
268,Nov 09$ 2020,501733,11380
269,Nov 10$ 2020,505310,11432
270,Nov 11$ 2020,508508,11482
271,Nov 12$ 2020,511806,11532
272,Nov 13$ 2020,514496,11580
273,Nov 14$ 2020,516915,11623
274,Nov 15$ 2020,519152,11670
275,Nov 16$ 2020,521542,11712
276,Nov 17$ 2020,524503,11752
277,Nov 18$ 2020,526852,11795
278,Nov 19$ 2020,529226,11834
279,Nov 20$ 2020,531769,11883
280,Nov 21$ 2020,533555,11925
281,Nov 22$ 2020,535321,11958
282,Nov 23$ 2020,537457,11996
283,Nov 24$ 2020,539749,12031
284,Nov 25$ 2020,542187,12086
285,Nov 26$ 2020,544670,12125
286,Nov 27$ 2020,547215,12167
287,Nov 28$ 2020,548821,12200
288,Nov 29$ 2020,550435,12224
289,Nov 30$ 2020,552549,12258
290,Dec 01$ 2020,554767,12306
291,Dec 02$ 2020,556728,12340
292,Dec 03$ 2020,558767,12361
293,Dec 04$ 2020,560622,12387
294,Dec 05$ 2020,562520,12411
295,Dec 06$ 2020,564200,12432
296,Dec 07$ 2020,566015,12460
297,Dec 08$ 2020,568138,12477
298,Dec 09$ 2020,569873,12501
299,Dec 10$ 2020,571253,12526
300,Dec 11$ 2020,572600,12549
301,Dec 12$ 2020,573622,12565
302,Dec 13$ 2020,574634,12579
303,Dec 14$ 2020,575972,12603
304,Dec 15$ 2020,577363,12614
305,Dec 16$ 2020,578916,12636
306,Dec 17$ 2020,580449,12650
307,Dec 18$ 2020,581811,12670
308,Dec 19$ 2020,583118,12680
309,Dec 20$ 2020,584145,12697
310,Dec 21$ 2020,585345,12710
311,Dec 22$ 2020,586503,12725
312,Dec 23$ 2020,587676,12737
313,Dec 24$ 2020,588803,12744
314,Dec 25$ 2020,589943,12755
315,Dec 26$ 2020,590779,12767
316,Dec 27$ 2020,591597,12780
317,Dec 28$ 2020,592528,12791
318,Dec 29$ 2020,593541,12800
319,Dec 30$ 2020,594442,12808
320,Dec 31$ 2020,595291,12813
