,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,0,0
18,Mar 04$ 2020,0,0
19,Mar 05$ 2020,0,0
20,Mar 06$ 2020,1,0
21,Mar 07$ 2020,6,0
22,Mar 08$ 2020,7,0
23,Mar 09$ 2020,9,0
24,Mar 10$ 2020,11,0
25,Mar 11$ 2020,17,0
26,Mar 12$ 2020,22,0
27,Mar 13$ 2020,38,0
28,Mar 14$ 2020,43,0
29,Mar 15$ 2020,71,0
30,Mar 16$ 2020,86,0
31,Mar 17$ 2020,117,0
32,Mar 18$ 2020,145,0
33,Mar 19$ 2020,234,1
34,Mar 20$ 2020,263,1
35,Mar 21$ 2020,318,4
36,Mar 22$ 2020,363,6
37,Mar 23$ 2020,395,7
38,Mar 24$ 2020,416,9
39,Mar 25$ 2020,480,10
40,Mar 26$ 2020,580,14
41,Mar 27$ 2020,635,20
42,Mar 28$ 2020,671,28
43,Mar 29$ 2020,852,32
44,Mar 30$ 2020,950,44
45,Mar 31$ 2020,1065,57
46,Apr 01$ 2020,1323,77
47,Apr 02$ 2020,1414,90
48,Apr 03$ 2020,1595,105
49,Apr 04$ 2020,1746,138
50,Apr 05$ 2020,2281,183
51,Apr 06$ 2020,2561,199
52,Apr 07$ 2020,2954,229
53,Apr 08$ 2020,4342,258
54,Apr 09$ 2020,5256,315
55,Apr 10$ 2020,5897,366
56,Apr 11$ 2020,6848,419
57,Apr 12$ 2020,7519,464
58,Apr 13$ 2020,9784,531
59,Apr 14$ 2020,10303,597
60,Apr 15$ 2020,11475,684
61,Apr 16$ 2020,12491,776
62,Apr 17$ 2020,13489,875
63,Apr 18$ 2020,14420,973
64,Apr 19$ 2020,15628,1078
65,Apr 20$ 2020,16325,1192
66,Apr 21$ 2020,17837,1308
67,Apr 22$ 2020,19250,1422
68,Apr 23$ 2020,20914,1559
69,Apr 24$ 2020,21648,1696
70,Apr 25$ 2020,25331,1843
71,Apr 26$ 2020,27517,1983
72,Apr 27$ 2020,28699,2145
73,Apr 28$ 2020,31190,2312
74,Apr 29$ 2020,33931,2486
75,Apr 30$ 2020,36976,2648
76,May 01$ 2020,40459,2833
77,May 02$ 2020,42534,3048
78,May 03$ 2020,45928,3251
79,May 04$ 2020,47372,3476
80,May 05$ 2020,51189,3678
81,May 06$ 2020,54817,3906
82,May 07$ 2020,58526,4145
83,May 08$ 2020,61847,4352
84,May 09$ 2020,65015,4575
85,May 10$ 2020,67307,4815
86,May 11$ 2020,68822,5045
87,May 12$ 2020,72059,5304
88,May 13$ 2020,76306,5494
89,May 14$ 2020,80604,5690
90,May 15$ 2020,84495,5924
91,May 16$ 2020,88541,6119
92,May 17$ 2020,92273,6329
93,May 18$ 2020,94933,6544
94,May 19$ 2020,99483,6815
95,May 20$ 2020,104020,7038
96,May 21$ 2020,108769,7307
97,May 22$ 2020,111698,7538
98,May 23$ 2020,115754,7783
99,May 24$ 2020,119959,8013
100,May 25$ 2020,123979,8293
101,May 26$ 2020,129751,8537
102,May 27$ 2020,135905,8697
103,May 28$ 2020,141779,8916
104,May 29$ 2020,148285,9137
105,May 30$ 2020,155671,9385
106,May 31$ 2020,164476,9638
107,Jun 01$ 2020,170039,9867
108,Jun 02$ 2020,174884,10111
109,Jun 03$ 2020,178914,10330
110,Jun 04$ 2020,183198,10577
111,Jun 05$ 2020,187400,10825
112,Jun 06$ 2020,191758,11059
113,Jun 07$ 2020,196515,11319
114,Jun 08$ 2020,199696,11530
115,Jun 09$ 2020,203736,11805
116,Jun 10$ 2020,208823,12073
117,Jun 11$ 2020,214788,12373
118,Jun 12$ 2020,220749,12651
119,Jun 13$ 2020,225132,12929
120,Jun 14$ 2020,229736,13219
121,Jun 15$ 2020,232992,13490
122,Jun 16$ 2020,237156,13793
123,Jun 17$ 2020,240908,14095
124,Jun 18$ 2020,244388,14391
125,Jun 19$ 2020,247925,14655
126,Jun 20$ 2020,251338,14941
127,Jun 21$ 2020,254936,15230
128,Jun 22$ 2020,257447,15488
129,Jun 23$ 2020,260810,15750
130,Jun 24$ 2020,264689,16018
131,Jun 25$ 2020,268602,16281
132,Jun 26$ 2020,272364,16540
133,Jun 27$ 2020,275989,16817
134,Jun 28$ 2020,279419,17086
135,Jun 29$ 2020,282365,17375
136,Jun 30$ 2020,285213,17619
137,Jul 01$ 2020,288477,17878
138,Jul 02$ 2020,292004,18088
139,Jul 03$ 2020,295599,18278
140,Jul 04$ 2020,299080,18468
141,Jul 05$ 2020,302718,18631
142,Jul 06$ 2020,305703,18817
143,Jul 07$ 2020,309278,18984
144,Jul 08$ 2020,312911,19155
145,Jul 09$ 2020,316448,19359
146,Jul 10$ 2020,319646,19534
147,Jul 11$ 2020,322710,19727
148,Jul 12$ 2020,326326,19931
149,Jul 13$ 2020,330123,20129
150,Jul 14$ 2020,333867,20316
151,Jul 15$ 2020,337724,20517
152,Jul 16$ 2020,341586,20726
153,Jul 17$ 2020,345537,20925
154,Jul 18$ 2020,349500,21128
155,Jul 19$ 2020,353590,21322
156,Jul 20$ 2020,357681,21519
157,Jul 21$ 2020,362087,21689
158,Jul 22$ 2020,366550,21855
159,Jul 23$ 2020,371096,22064
160,Jul 24$ 2020,375961,22258
161,Jul 25$ 2020,379884,22433
162,Jul 26$ 2020,384797,22596
163,Jul 27$ 2020,389717,22734
164,Jul 28$ 2020,395005,22871
165,Jul 29$ 2020,400683,23016
166,Jul 30$ 2020,407492,23158
167,Jul 31$ 2020,414735,23317
168,Aug 01$ 2020,422183,23479
169,Aug 02$ 2020,428850,23680
170,Aug 03$ 2020,433100,23845
171,Aug 04$ 2020,439890,23910
172,Aug 05$ 2020,447624,24135
173,Aug 06$ 2020,455409,24306
174,Aug 07$ 2020,463875,24532
175,Aug 08$ 2020,471012,24714
176,Aug 09$ 2020,478024,24942
177,Aug 10$ 2020,483133,25095
178,Aug 11$ 2020,489680,25323
179,Aug 12$ 2020,498555,25480
180,Aug 13$ 2020,507996,25648
181,Aug 14$ 2020,516296,25856
182,Aug 15$ 2020,525803,26075
183,Aug 16$ 2020,535946,26281
184,Aug 17$ 2020,541493,26481
185,Aug 18$ 2020,549321,26658
186,Aug 19$ 2020,558420,26834
187,Aug 20$ 2020,567059,27034
188,Aug 21$ 2020,576067,27245
189,Aug 22$ 2020,585236,27453
190,Aug 23$ 2020,594326,27663
191,Aug 24$ 2020,600438,27813
192,Aug 25$ 2020,607382,28001
193,Aug 26$ 2020,613378,28124
194,Aug 27$ 2020,621997,28277
195,Aug 28$ 2020,629961,28471
196,Aug 29$ 2020,639435,28607
197,Aug 30$ 2020,647166,28788
198,Aug 31$ 2020,652037,28944
199,Sep 01$ 2020,657129,29068
200,Sep 02$ 2020,663437,29259
201,Sep 03$ 2020,670145,29405
202,Sep 04$ 2020,676848,29554
203,Sep 05$ 2020,683702,29687
204,Sep 06$ 2020,689977,29838
205,Sep 07$ 2020,691575,29976
206,Sep 08$ 2020,696190,30123
207,Sep 09$ 2020,702776,30236
208,Sep 10$ 2020,710067,30344
209,Sep 11$ 2020,716670,30470
210,Sep 12$ 2020,722832,30593
211,Sep 13$ 2020,729619,30710
212,Sep 14$ 2020,733860,30812
213,Sep 15$ 2020,738020,30927
214,Sep 16$ 2020,744400,31051
215,Sep 17$ 2020,750098,31146
216,Sep 18$ 2020,756412,31283
217,Sep 19$ 2020,762865,31369
218,Sep 20$ 2020,768895,31555
219,Sep 21$ 2020,772896,31660
220,Sep 22$ 2020,776546,31772
221,Sep 23$ 2020,782695,31870
222,Sep 24$ 2020,788930,31938
223,Sep 25$ 2020,794584,32037
224,Sep 26$ 2020,800142,32142
225,Sep 27$ 2020,805302,32262
226,Sep 28$ 2020,808714,32324
227,Sep 29$ 2020,811768,32396
228,Sep 30$ 2020,814829,32463
229,Oct 01$ 2020,818297,32535
230,Oct 02$ 2020,821564,32609
231,Oct 03$ 2020,824985,32665
232,Oct 04$ 2020,828169,32742
233,Oct 05$ 2020,829999,32834
234,Oct 06$ 2020,832929,32914
235,Oct 07$ 2020,835662,33009
236,Oct 08$ 2020,838614,33098
237,Oct 09$ 2020,843355,33158
238,Oct 10$ 2020,846088,33223
239,Oct 11$ 2020,849371,33305
240,Oct 12$ 2020,851171,33357
241,Oct 13$ 2020,853974,33419
242,Oct 14$ 2020,856951,33512
243,Oct 15$ 2020,859740,33577
244,Oct 16$ 2020,862417,33648
245,Oct 17$ 2020,865549,33702
246,Oct 18$ 2020,868675,33759
247,Oct 19$ 2020,870876,33820
248,Oct 20$ 2020,874118,33875
249,Oct 21$ 2020,876885,33937
250,Oct 22$ 2020,879876,33984
251,Oct 23$ 2020,883116,34033
252,Oct 24$ 2020,886214,34095
253,Oct 25$ 2020,888715,34149
254,Oct 26$ 2020,890574,34197
255,Oct 27$ 2020,892497,34257
256,Oct 28$ 2020,894928,34315
257,Oct 29$ 2020,897594,34362
258,Oct 30$ 2020,900180,34411
259,Oct 31$ 2020,902503,34476
260,Nov 01$ 2020,904911,34529
261,Nov 02$ 2020,906545,34585
262,Nov 03$ 2020,908902,34623
263,Nov 04$ 2020,911787,34671
264,Nov 05$ 2020,914722,34730
265,Nov 06$ 2020,917503,34783
266,Nov 07$ 2020,920010,34840
267,Nov 08$ 2020,922333,34879
268,Nov 09$ 2020,923527,34943
269,Nov 10$ 2020,925431,34992
270,Nov 11$ 2020,928006,35031
271,Nov 12$ 2020,930237,35067
272,Nov 13$ 2020,932650,35106
273,Nov 14$ 2020,934899,35177
274,Nov 15$ 2020,937011,35231
275,Nov 16$ 2020,938268,35271
276,Nov 17$ 2020,939931,35317
277,Nov 18$ 2020,941951,35402
278,Nov 19$ 2020,943917,35446
279,Nov 20$ 2020,946087,35484
280,Nov 21$ 2020,948081,35549
281,Nov 22$ 2020,949670,35595
282,Nov 23$ 2020,950557,35641
283,Nov 24$ 2020,952439,35685
284,Nov 25$ 2020,954459,35727
285,Nov 26$ 2020,956347,35785
286,Nov 27$ 2020,958324,35839
287,Nov 28$ 2020,960368,35879
288,Nov 29$ 2020,962530,35923
289,Nov 30$ 2020,963605,35966
290,Dec 01$ 2020,965228,36031
291,Dec 02$ 2020,967075,36076
292,Dec 03$ 2020,968846,36104
293,Dec 04$ 2020,970860,36195
294,Dec 05$ 2020,972688,36231
295,Dec 06$ 2020,973912,36274
296,Dec 07$ 2020,975116,36324
297,Dec 08$ 2020,976621,36401
298,Dec 09$ 2020,977312,36455
299,Dec 10$ 2020,979111,36499
300,Dec 11$ 2020,980943,36544
301,Dec 12$ 2020,983045,36609
302,Dec 13$ 2020,984973,36677
303,Dec 14$ 2020,986130,36754
304,Dec 15$ 2020,987675,36817
305,Dec 16$ 2020,989457,36858
306,Dec 17$ 2020,991518,36901
307,Dec 18$ 2020,993760,36969
308,Dec 19$ 2020,995899,37034
309,Dec 20$ 2020,997517,37103
310,Dec 21$ 2020,998475,37173
311,Dec 22$ 2020,1000153,37218
312,Dec 23$ 2020,1002263,37273
313,Dec 24$ 2020,1003982,37317
314,Dec 25$ 2020,1005546,37368
315,Dec 26$ 2020,1006318,37414
316,Dec 27$ 2020,1007657,37474
