,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,1,0
18,Mar 04$ 2020,1,0
19,Mar 05$ 2020,1,0
20,Mar 06$ 2020,1,0
21,Mar 07$ 2020,1,0
22,Mar 08$ 2020,1,0
23,Mar 09$ 2020,1,0
24,Mar 10$ 2020,1,0
25,Mar 11$ 2020,1,0
26,Mar 12$ 2020,3,0
27,Mar 13$ 2020,3,1
28,Mar 14$ 2020,3,1
29,Mar 15$ 2020,3,1
30,Mar 16$ 2020,7,1
31,Mar 17$ 2020,14,2
32,Mar 18$ 2020,16,2
33,Mar 19$ 2020,26,3
34,Mar 20$ 2020,41,3
35,Mar 21$ 2020,47,3
36,Mar 22$ 2020,73,3
37,Mar 23$ 2020,73,3
38,Mar 24$ 2020,102,3
39,Mar 25$ 2020,145,5
40,Mar 26$ 2020,196,5
41,Mar 27$ 2020,310,5
42,Mar 28$ 2020,356,9
43,Mar 29$ 2020,475,10
44,Mar 30$ 2020,548,13
45,Mar 31$ 2020,645,17
46,Apr 01$ 2020,794,20
47,Apr 02$ 2020,897,22
48,Apr 03$ 2020,1072,27
49,Apr 04$ 2020,1225,32
50,Apr 05$ 2020,1308,37
51,Apr 06$ 2020,1319,38
52,Apr 07$ 2020,1462,45
53,Apr 08$ 2020,1668,52
54,Apr 09$ 2020,1892,57
55,Apr 10$ 2020,2203,69
56,Apr 11$ 2020,2511,73
57,Apr 12$ 2020,2777,83
58,Apr 13$ 2020,3102,93
59,Apr 14$ 2020,3372,98
60,Apr 15$ 2020,3764,108
61,Apr 16$ 2020,4161,116
62,Apr 17$ 2020,4662,125
63,Apr 18$ 2020,5106,133
64,Apr 19$ 2020,5449,141
65,Apr 20$ 2020,5710,151
66,Apr 21$ 2020,6125,161
67,Apr 22$ 2020,6592,174
68,Apr 23$ 2020,7170,187
69,Apr 24$ 2020,7647,193
70,Apr 25$ 2020,8125,201
71,Apr 26$ 2020,8617,209
72,Apr 27$ 2020,9009,220
73,Apr 28$ 2020,9410,239
74,Apr 29$ 2020,9866,250
75,Apr 30$ 2020,10406,261
76,May 01$ 2020,10861,272
77,May 02$ 2020,11411,279
78,May 03$ 2020,11913,288
79,May 04$ 2020,12331,303
80,May 05$ 2020,12697,316
81,May 06$ 2020,13184,327
82,May 07$ 2020,13691,340
83,May 08$ 2020,14195,361
84,May 09$ 2020,14710,376
85,May 10$ 2020,15232,391
86,May 11$ 2020,15648,408
87,May 12$ 2020,16023,425
88,May 13$ 2020,16425,439
89,May 14$ 2020,16847,456
90,May 15$ 2020,17330,476
91,May 16$ 2020,17858,497
92,May 17$ 2020,18291,514
93,May 18$ 2020,18616,535
94,May 19$ 2020,18876,548
95,May 20$ 2020,19230,564
96,May 21$ 2020,19706,579
97,May 22$ 2020,20148,588
98,May 23$ 2020,20580,605
99,May 24$ 2020,20986,617
100,May 25$ 2020,21245,623
101,May 26$ 2020,21584,644
102,May 27$ 2020,21905,658
103,May 28$ 2020,22382,669
104,May 29$ 2020,22811,679
105,May 30$ 2020,23204,696
106,May 31$ 2020,23672,708
107,Jun 01$ 2020,24012,718
108,Jun 02$ 2020,24340,727
109,Jun 03$ 2020,24823,735
110,Jun 04$ 2020,25411,747
111,Jun 05$ 2020,25964,762
112,Jun 06$ 2020,26514,777
113,Jun 07$ 2020,26999,788
114,Jun 08$ 2020,27462,797
115,Jun 09$ 2020,27856,810
116,Jun 10$ 2020,28381,833
117,Jun 11$ 2020,29070,854
118,Jun 12$ 2020,29753,870
119,Jun 13$ 2020,30506,880
120,Jun 14$ 2020,31154,889
121,Jun 15$ 2020,31810,901
122,Jun 16$ 2020,32476,912
123,Jun 17$ 2020,33234,943
124,Jun 18$ 2020,34063,966
125,Jun 19$ 2020,34984,985
126,Jun 20$ 2020,35825,994
127,Jun 21$ 2020,36560,1002
128,Jun 22$ 2020,37241,1012
129,Jun 23$ 2020,38074,1035
130,Jun 24$ 2020,39014,1051
131,Jun 25$ 2020,40008,1067
132,Jun 26$ 2020,41117,1086
133,Jun 27$ 2020,42065,1110
134,Jun 28$ 2020,42982,1129
135,Jun 29$ 2020,43628,1147
136,Jun 30$ 2020,44334,1159
137,Jul 01$ 2020,44998,1173
138,Jul 02$ 2020,45887,1185
139,Jul 03$ 2020,46763,1212
140,Jul 04$ 2020,47677,1227
141,Jul 05$ 2020,48500,1249
142,Jul 06$ 2020,49043,1262
143,Jul 07$ 2020,49607,1283
144,Jul 08$ 2020,50414,1306
145,Jul 09$ 2020,51224,1327
146,Jul 10$ 2020,52043,1345
147,Jul 11$ 2020,52843,1372
148,Jul 12$ 2020,53521,1383
149,Jul 13$ 2020,54133,1398
150,Jul 14$ 2020,54771,1412
151,Jul 15$ 2020,55607,1427
152,Jul 16$ 2020,56455,1445
153,Jul 17$ 2020,57264,1456
154,Jul 18$ 2020,58111,1477
155,Jul 19$ 2020,58842,1485
156,Jul 20$ 2020,59493,1498
157,Jul 21$ 2020,60166,1518
158,Jul 22$ 2020,60995,1534
159,Jul 23$ 2020,61851,1551
160,Jul 24$ 2020,62823,1571
161,Jul 25$ 2020,63929,1590
162,Jul 26$ 2020,64849,1605
163,Jul 27$ 2020,65656,1616
164,Jul 28$ 2020,66575,1629
165,Jul 29$ 2020,67597,1650
166,Jul 30$ 2020,68794,1673
167,Jul 31$ 2020,69884,1693
168,Aug 01$ 2020,71056,1709
169,Aug 02$ 2020,72168,1725
170,Aug 03$ 2020,73158,1738
171,Aug 04$ 2020,74219,1764
172,Aug 05$ 2020,75490,1788
173,Aug 06$ 2020,76808,1819
174,Aug 07$ 2020,78261,1852
175,Aug 08$ 2020,79750,1879
176,Aug 09$ 2020,80949,1897
177,Aug 10$ 2020,81957,1922
178,Aug 11$ 2020,83115,1951
179,Aug 12$ 2020,84548,1970
180,Aug 13$ 2020,86140,1992
181,Aug 14$ 2020,87872,2011
182,Aug 15$ 2020,89719,2044
183,Aug 16$ 2020,91356,2070
184,Aug 17$ 2020,92820,2089
185,Aug 18$ 2020,94436,2116
186,Aug 19$ 2020,96403,2144
187,Aug 20$ 2020,98537,2184
188,Aug 21$ 2020,100643,2207
189,Aug 22$ 2020,102971,2244
190,Aug 23$ 2020,104955,2271
191,Aug 24$ 2020,106757,2293
192,Aug 25$ 2020,108415,2318
193,Aug 26$ 2020,110085,2354
194,Aug 27$ 2020,112059,2403
195,Aug 28$ 2020,114497,2451
196,Aug 29$ 2020,116978,2492
197,Aug 30$ 2020,119074,2527
198,Aug 31$ 2020,121215,2557
199,Sep 01$ 2020,123294,2605
200,Sep 02$ 2020,125798,2656
201,Sep 03$ 2020,128228,2710
202,Sep 04$ 2020,130951,2761
203,Sep 05$ 2020,133787,2811
204,Sep 06$ 2020,135894,2846
205,Sep 07$ 2020,138068,2877
206,Sep 08$ 2020,140479,2934
207,Sep 09$ 2020,143030,2979
208,Sep 10$ 2020,145612,3023
209,Sep 11$ 2020,148756,3076
210,Sep 12$ 2020,151859,3148
211,Sep 13$ 2020,154335,3178
212,Sep 14$ 2020,156797,3211
213,Sep 15$ 2020,159702,3264
214,Sep 16$ 2020,162660,3340
215,Sep 17$ 2020,166244,3400
216,Sep 18$ 2020,169472,3468
217,Sep 19$ 2020,172712,3516
218,Sep 20$ 2020,175678,3557
219,Sep 21$ 2020,178353,3583
220,Sep 22$ 2020,181237,3642
221,Sep 23$ 2020,184734,3705
222,Sep 24$ 2020,188106,3757
223,Sep 25$ 2020,191671,3827
224,Sep 26$ 2020,195504,3903
225,Sep 27$ 2020,198634,3959
226,Sep 28$ 2020,201305,3996
227,Sep 29$ 2020,204932,4065
228,Sep 30$ 2020,208959,4129
229,Oct 01$ 2020,213028,4193
230,Oct 02$ 2020,217661,4261
231,Oct 03$ 2020,222322,4353
232,Oct 04$ 2020,226462,4397
233,Oct 05$ 2020,230236,4430
234,Oct 06$ 2020,234584,4520
235,Oct 07$ 2020,239337,4597
236,Oct 08$ 2020,244734,4690
237,Oct 09$ 2020,250538,4779
238,Oct 10$ 2020,256266,4887
239,Oct 11$ 2020,261034,4972
240,Oct 12$ 2020,265454,5015
241,Oct 13$ 2020,270587,5122
242,Oct 14$ 2020,276177,5229
243,Oct 15$ 2020,281239,5302
244,Oct 16$ 2020,287231,5408
245,Oct 17$ 2020,293641,5517
246,Oct 18$ 2020,298872,5607
247,Oct 19$ 2020,303638,5673
248,Oct 20$ 2020,309107,5786
249,Oct 21$ 2020,315826,5927
250,Oct 22$ 2020,322879,6043
251,Oct 23$ 2020,330396,6164
252,Oct 24$ 2020,337410,6289
253,Oct 25$ 2020,343498,6391
254,Oct 26$ 2020,348924,6464
255,Oct 27$ 2020,355601,6590
256,Oct 28$ 2020,363075,6755
257,Oct 29$ 2020,370417,6868
258,Oct 30$ 2020,378729,7041
259,Oct 31$ 2020,387481,7196
260,Nov 01$ 2020,395440,7306
261,Nov 02$ 2020,402194,7375
262,Nov 03$ 2020,411093,7532
263,Nov 04$ 2020,420617,7731
264,Nov 05$ 2020,430467,7924
265,Nov 06$ 2020,440188,8125
266,Nov 07$ 2020,450934,8312
267,Nov 08$ 2020,460331,8450
268,Nov 09$ 2020,469018,8565
269,Nov 10$ 2020,479197,8756
270,Nov 11$ 2020,489808,8947
271,Nov 12$ 2020,500865,9145
272,Nov 13$ 2020,512652,9317
273,Nov 14$ 2020,525176,9508
274,Nov 15$ 2020,535857,9603
275,Nov 16$ 2020,545689,9697
276,Nov 17$ 2020,557657,9856
277,Nov 18$ 2020,570153,10112
278,Nov 19$ 2020,583510,10369
279,Nov 20$ 2020,598085,10598
280,Nov 21$ 2020,612665,10813
281,Nov 22$ 2020,624744,10951
282,Nov 23$ 2020,635689,11075
283,Nov 24$ 2020,647976,11263
284,Nov 25$ 2020,661858,11492
285,Nov 26$ 2020,677189,11717
286,Nov 27$ 2020,693407,11909
287,Nov 28$ 2020,709701,12093
288,Nov 29$ 2020,722679,12213
289,Nov 30$ 2020,732625,12327
290,Dec 01$ 2020,745123,12548
291,Dec 02$ 2020,758264,12717
292,Dec 03$ 2020,772760,12960
293,Dec 04$ 2020,787891,13195
294,Dec 05$ 2020,801716,13421
295,Dec 06$ 2020,813306,13588
296,Dec 07$ 2020,821947,13733
297,Dec 08$ 2020,832758,13928
298,Dec 09$ 2020,845343,14204
299,Dec 10$ 2020,858714,14470
300,Dec 11$ 2020,872228,14755
301,Dec 12$ 2020,885039,14998
302,Dec 13$ 2020,894215,15154
303,Dec 14$ 2020,900666,15247
304,Dec 15$ 2020,909082,15480
305,Dec 16$ 2020,919704,15744
306,Dec 17$ 2020,931751,15996
307,Dec 18$ 2020,944381,16256
308,Dec 19$ 2020,956123,16469
309,Dec 20$ 2020,964448,16585
310,Dec 21$ 2020,970993,16665
311,Dec 22$ 2020,979506,16897
312,Dec 23$ 2020,989642,17172
313,Dec 24$ 2020,1001132,17395
314,Dec 25$ 2020,1012167,17581
315,Dec 26$ 2020,1019876,17702
316,Dec 27$ 2020,1025989,17774
317,Dec 28$ 2020,1030374,17849
318,Dec 29$ 2020,1037362,18081
319,Dec 30$ 2020,1045348,18324
320,Dec 31$ 2020,1055047,18533
