,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,0,0
18,Mar 04$ 2020,0,0
19,Mar 05$ 2020,0,0
20,Mar 06$ 2020,0,0
21,Mar 07$ 2020,0,0
22,Mar 08$ 2020,0,0
23,Mar 09$ 2020,0,0
24,Mar 10$ 2020,0,0
25,Mar 11$ 2020,0,0
26,Mar 12$ 2020,0,0
27,Mar 13$ 2020,7,0
28,Mar 14$ 2020,11,0
29,Mar 15$ 2020,17,0
30,Mar 16$ 2020,19,0
31,Mar 17$ 2020,61,0
32,Mar 18$ 2020,67,0
33,Mar 19$ 2020,82,0
34,Mar 20$ 2020,97,0
35,Mar 21$ 2020,101,0
36,Mar 22$ 2020,112,0
37,Mar 23$ 2020,116,0
38,Mar 24$ 2020,134,0
39,Mar 25$ 2020,151,0
40,Mar 26$ 2020,210,1
41,Mar 27$ 2020,278,1
42,Mar 28$ 2020,421,1
43,Mar 29$ 2020,524,1
44,Mar 30$ 2020,557,1
45,Mar 31$ 2020,632,2
46,Apr 01$ 2020,700,3
47,Apr 02$ 2020,801,3
48,Apr 03$ 2020,854,3
49,Apr 04$ 2020,977,5
50,Apr 05$ 2020,1074,6
51,Apr 06$ 2020,1217,6
52,Apr 07$ 2020,1281,6
53,Apr 08$ 2020,1336,7
54,Apr 09$ 2020,1435,8
55,Apr 10$ 2020,1492,10
56,Apr 11$ 2020,1589,10
57,Apr 12$ 2020,1747,10
58,Apr 13$ 2020,2004,12
59,Apr 14$ 2020,2263,14
60,Apr 15$ 2020,2379,16
61,Apr 16$ 2020,2576,17
62,Apr 17$ 2020,2841,17
63,Apr 18$ 2020,2968,17
64,Apr 19$ 2020,3080,17
65,Apr 20$ 2020,3404,19
66,Apr 21$ 2020,3667,19
67,Apr 22$ 2020,3924,19
68,Apr 23$ 2020,4207,20
69,Apr 24$ 2020,4441,25
70,Apr 25$ 2020,4781,25
71,Apr 26$ 2020,4994,25
72,Apr 27$ 2020,5211,25
73,Apr 28$ 2020,5564,25
74,Apr 29$ 2020,5768,25
75,Apr 30$ 2020,6253,25
76,May 01$ 2020,6612,25
77,May 02$ 2020,7090,25
78,May 03$ 2020,7206,27
79,May 04$ 2020,7443,29
80,May 05$ 2020,7730,29
81,May 06$ 2020,8129,30
82,May 07$ 2020,8416,30
83,May 08$ 2020,8887,31
84,May 09$ 2020,9146,31
85,May 10$ 2020,9357,31
86,May 11$ 2020,9572,32
87,May 12$ 2020,9704,32
88,May 13$ 2020,9958,32
89,May 14$ 2020,10241,32
90,May 15$ 2020,10458,34
91,May 16$ 2020,10754,34
92,May 17$ 2020,11319,34
93,May 18$ 2020,11839,35
94,May 19$ 2020,12411,35
95,May 20$ 2020,12812,35
96,May 21$ 2020,13299,35
97,May 22$ 2020,13967,35
98,May 23$ 2020,14559,35
99,May 24$ 2020,15300,35
100,May 25$ 2020,15684,35
101,May 26$ 2020,16489,37
102,May 27$ 2020,17105,37
103,May 28$ 2020,17605,37
104,May 29$ 2020,18260,37
105,May 30$ 2020,19088,38
106,May 31$ 2020,19963,40
107,Jun 01$ 2020,20791,41
108,Jun 02$ 2020,21275,44
109,Jun 03$ 2020,21689,48
110,Jun 04$ 2020,22187,52
111,Jun 05$ 2020,22638,52
112,Jun 06$ 2020,23004,53
113,Jun 07$ 2020,23341,53
114,Jun 08$ 2020,23644,56
115,Jun 09$ 2020,24039,61
116,Jun 10$ 2020,24490,67
117,Jun 11$ 2020,24930,67
118,Jun 12$ 2020,25507,70
119,Jun 13$ 2020,26180,73
120,Jun 14$ 2020,26654,77
121,Jun 15$ 2020,27230,81
122,Jun 16$ 2020,27934,88
123,Jun 17$ 2020,28578,97
124,Jun 18$ 2020,29194,100
125,Jun 19$ 2020,30066,113
126,Jun 20$ 2020,30853,118
127,Jun 21$ 2020,31673,120
128,Jun 22$ 2020,32605,127
129,Jun 23$ 2020,33523,134
130,Jun 24$ 2020,34505,136
131,Jun 25$ 2020,35461,140
132,Jun 26$ 2020,36316,150
133,Jun 27$ 2020,37362,166
134,Jun 28$ 2020,38210,178
135,Jun 29$ 2020,39216,188
136,Jun 30$ 2020,40121,198
137,Jul 01$ 2020,41065,207
138,Jul 02$ 2020,42574,216
139,Jul 03$ 2020,44075,228
140,Jul 04$ 2020,45719,239
141,Jul 05$ 2020,47171,251
142,Jul 06$ 2020,48574,264
143,Jul 07$ 2020,49683,280
144,Jul 08$ 2020,51059,297
145,Jul 09$ 2020,53021,315
146,Jul 10$ 2020,54747,334
147,Jul 11$ 2020,56455,354
148,Jul 12$ 2020,58253,375
149,Jul 13$ 2020,59899,405
150,Jul 14$ 2020,61755,435
151,Jul 15$ 2020,63514,465
152,Jul 16$ 2020,65188,495
153,Jul 17$ 2020,66895,525
154,Jul 18$ 2020,68703,555
155,Jul 19$ 2020,70339,585
156,Jul 20$ 2020,71838,616
157,Jul 21$ 2020,73468,647
158,Jul 22$ 2020,75153,677
159,Jul 23$ 2020,76799,706
160,Jul 24$ 2020,78486,735
161,Jul 25$ 2020,80226,764
162,Jul 26$ 2020,81720,793
163,Jul 27$ 2020,83122,831
164,Jul 28$ 2020,84648,869
165,Jul 29$ 2020,86192,907
166,Jul 30$ 2020,87664,945
167,Jul 31$ 2020,89078,983
168,Aug 01$ 2020,90367,1021
169,Aug 02$ 2020,91593,1058
170,Aug 03$ 2020,92662,1082
171,Aug 04$ 2020,93820,1106
172,Aug 05$ 2020,94882,1130
173,Aug 06$ 2020,95942,1154
174,Aug 07$ 2020,96922,1177
175,Aug 08$ 2020,97829,1200
176,Aug 09$ 2020,98701,1223
177,Aug 10$ 2020,99442,1246
178,Aug 11$ 2020,100164,1269
179,Aug 12$ 2020,100855,1289
180,Aug 13$ 2020,101372,1310
181,Aug 14$ 2020,101848,1331
182,Aug 15$ 2020,102287,1352
183,Aug 16$ 2020,102696,1373
184,Aug 17$ 2020,103033,1394
185,Aug 18$ 2020,103300,1415
186,Aug 19$ 2020,103571,1433
187,Aug 20$ 2020,103815,1451
188,Aug 21$ 2020,104071,1469
189,Aug 22$ 2020,104313,1487
190,Aug 23$ 2020,104543,1505
191,Aug 24$ 2020,104718,1523
192,Aug 25$ 2020,104902,1523
193,Aug 26$ 2020,105075,1523
194,Aug 27$ 2020,105243,1523
195,Aug 28$ 2020,105408,1523
196,Aug 29$ 2020,105558,1523
197,Aug 30$ 2020,105684,1523
198,Aug 31$ 2020,105795,1523
199,Sep 01$ 2020,105872,1588
200,Sep 02$ 2020,105944,1596
201,Sep 03$ 2020,106032,1603
202,Sep 04$ 2020,106121,1610
203,Sep 05$ 2020,106225,1616
204,Sep 06$ 2020,106301,1622
205,Sep 07$ 2020,106361,1628
206,Sep 08$ 2020,106425,1634
207,Sep 09$ 2020,106498,1640
208,Sep 10$ 2020,106584,1646
209,Sep 11$ 2020,106661,1651
210,Sep 12$ 2020,106729,1656
211,Sep 13$ 2020,106803,1661
212,Sep 14$ 2020,106855,1666
213,Sep 15$ 2020,106920,1671
214,Sep 16$ 2020,106984,1675
215,Sep 17$ 2020,107056,1679
216,Sep 18$ 2020,107134,1683
217,Sep 19$ 2020,107199,1687
218,Sep 20$ 2020,107262,1691
219,Sep 21$ 2020,107307,1695
220,Sep 22$ 2020,107374,1699
221,Sep 23$ 2020,107450,1703
222,Sep 24$ 2020,107529,1707
223,Sep 25$ 2020,107590,1711
224,Sep 26$ 2020,107659,1715
225,Sep 27$ 2020,107723,1719
226,Sep 28$ 2020,107775,1722
227,Sep 29$ 2020,107833,1725
228,Sep 30$ 2020,107908,1728
229,Oct 01$ 2020,107979,1731
230,Oct 02$ 2020,108044,1734
231,Oct 03$ 2020,108106,1737
232,Oct 04$ 2020,108177,1740
233,Oct 05$ 2020,108236,1743
234,Oct 06$ 2020,108296,1746
235,Oct 07$ 2020,108362,1749
236,Oct 08$ 2020,108454,1753
237,Oct 09$ 2020,108561,1756
238,Oct 10$ 2020,108663,1759
239,Oct 11$ 2020,108757,1762
240,Oct 12$ 2020,108831,1765
241,Oct 13$ 2020,108901,1768
242,Oct 14$ 2020,108984,1772
243,Oct 15$ 2020,109094,1776
244,Oct 16$ 2020,109202,1780
245,Oct 17$ 2020,109302,1784
246,Oct 18$ 2020,109406,1788
247,Oct 19$ 2020,109508,1792
248,Oct 20$ 2020,109623,1796
249,Oct 21$ 2020,109766,1800
250,Oct 22$ 2020,109907,1804
251,Oct 23$ 2020,110086,1808
252,Oct 24$ 2020,110250,1812
253,Oct 25$ 2020,110402,1816
254,Oct 26$ 2020,110542,1820
255,Oct 27$ 2020,110684,1825
256,Oct 28$ 2020,110832,1830
257,Oct 29$ 2020,111100,1835
258,Oct 30$ 2020,111492,1840
259,Oct 31$ 2020,111953,1845
260,Nov 01$ 2020,112418,1851
261,Nov 02$ 2020,112860,1857
262,Nov 03$ 2020,113309,1863
263,Nov 04$ 2020,113741,1869
264,Nov 05$ 2020,114235,1875
265,Nov 06$ 2020,114826,1881
266,Nov 07$ 2020,115439,1887
267,Nov 08$ 2020,116162,1893
268,Nov 09$ 2020,116772,1899
269,Nov 10$ 2020,117336,1905
270,Nov 11$ 2020,117904,1911
271,Nov 12$ 2020,118491,1918
272,Nov 13$ 2020,119129,1925
273,Nov 14$ 2020,119833,1932
274,Nov 15$ 2020,120463,1939
275,Nov 16$ 2020,121051,1945
276,Nov 17$ 2020,121653,1951
277,Nov 18$ 2020,122335,1957
278,Nov 19$ 2020,123097,1963
279,Nov 20$ 2020,123888,1969
280,Nov 21$ 2020,124710,1976
281,Nov 22$ 2020,125466,1983
282,Nov 23$ 2020,126182,1990
283,Nov 24$ 2020,126860,1996
284,Nov 25$ 2020,127580,2002
285,Nov 26$ 2020,128400,2008
286,Nov 27$ 2020,129213,2014
287,Nov 28$ 2020,130039,2020
288,Nov 29$ 2020,130865,2027
289,Nov 30$ 2020,131659,2034
290,Dec 01$ 2020,132348,2041
291,Dec 02$ 2020,133118,2048
292,Dec 03$ 2020,133887,2056
293,Dec 04$ 2020,134706,2064
294,Dec 05$ 2020,135498,2072
295,Dec 06$ 2020,136271,2080
296,Dec 07$ 2020,136983,2088
297,Dec 08$ 2020,137653,2096
298,Dec 09$ 2020,138382,2104
299,Dec 10$ 2020,139159,2112
300,Dec 11$ 2020,139995,2120
301,Dec 12$ 2020,140784,2129
302,Dec 13$ 2020,141578,2138
303,Dec 14$ 2020,142325,2147
304,Dec 15$ 2020,142986,2154
305,Dec 16$ 2020,143735,2161
306,Dec 17$ 2020,144523,2168
307,Dec 18$ 2020,145213,2175
308,Dec 19$ 2020,145932,2182
309,Dec 20$ 2020,146584,2189
310,Dec 21$ 2020,147236,2196
311,Dec 22$ 2020,147975,2205
312,Dec 23$ 2020,148708,2214
313,Dec 24$ 2020,149462,2223
314,Dec 25$ 2020,150198,2232
315,Dec 26$ 2020,150951,2242
316,Dec 27$ 2020,151727,2252
317,Dec 28$ 2020,152460,2262
318,Dec 29$ 2020,153199,2270
319,Dec 30$ 2020,153925,2278
320,Dec 31$ 2020,154720,2286
321,Jan 01$ 2021,155473,2294
322,Jan 02$ 2021,156220,2302
