,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,0,0
18,Mar 04$ 2020,0,0
19,Mar 05$ 2020,0,0
20,Mar 06$ 2020,0,0
21,Mar 07$ 2020,0,0
22,Mar 08$ 2020,0,0
23,Mar 09$ 2020,0,0
24,Mar 10$ 2020,3,0
25,Mar 11$ 2020,3,0
26,Mar 12$ 2020,3,0
27,Mar 13$ 2020,14,0
28,Mar 14$ 2020,17,0
29,Mar 15$ 2020,50,0
30,Mar 16$ 2020,129,0
31,Mar 17$ 2020,268,1
32,Mar 18$ 2020,521,2
33,Mar 19$ 2020,978,4
34,Mar 20$ 2020,1824,9
35,Mar 21$ 2020,2577,21
36,Mar 22$ 2020,3363,30
37,Mar 23$ 2020,4160,37
38,Mar 24$ 2020,5093,44
39,Mar 25$ 2020,6619,59
40,Mar 26$ 2020,9872,75
41,Mar 27$ 2020,15500,92
42,Mar 28$ 2020,20135,108
43,Mar 29$ 2020,25072,131
44,Mar 30$ 2020,29451,168
45,Mar 31$ 2020,36806,214
46,Apr 01$ 2020,42649,277
47,Apr 02$ 2020,49329,356
48,Apr 03$ 2020,56907,425
49,Apr 04$ 2020,65103,501
50,Apr 05$ 2020,73630,574
51,Apr 06$ 2020,82193,649
52,Apr 07$ 2020,92779,725
53,Apr 08$ 2020,103977,812
54,Apr 09$ 2020,115010,908
55,Apr 10$ 2020,127922,1006
56,Apr 11$ 2020,141898,1101
57,Apr 12$ 2020,154924,1198
58,Apr 13$ 2020,166057,1296
59,Apr 14$ 2020,177106,1403
60,Apr 15$ 2020,188751,1518
61,Apr 16$ 2020,201810,1643
62,Apr 17$ 2020,213650,1769
63,Apr 18$ 2020,223940,1890
64,Apr 19$ 2020,234758,2017
65,Apr 20$ 2020,247472,2140
66,Apr 21$ 2020,260014,2259
67,Apr 22$ 2020,268400,2376
68,Apr 23$ 2020,276876,2491
69,Apr 24$ 2020,285368,2600
70,Apr 25$ 2020,293150,2706
71,Apr 26$ 2020,299561,2805
72,Apr 27$ 2020,305357,2900
73,Apr 28$ 2020,311863,2992
74,Apr 29$ 2020,319849,3081
75,Apr 30$ 2020,326962,3174
76,May 01$ 2020,332913,3258
77,May 02$ 2020,338307,3336
78,May 03$ 2020,342849,3397
79,May 04$ 2020,347239,3461
80,May 05$ 2020,352222,3520
81,May 06$ 2020,358350,3584
82,May 07$ 2020,363728,3641
83,May 08$ 2020,368755,3689
84,May 09$ 2020,372960,3739
85,May 10$ 2020,377154,3786
86,May 11$ 2020,380184,3841
87,May 12$ 2020,384819,3894
88,May 13$ 2020,389277,3952
89,May 14$ 2020,393724,4007
90,May 15$ 2020,398370,4055
91,May 16$ 2020,402749,4096
92,May 17$ 2020,406470,4140
93,May 18$ 2020,409620,4171
94,May 19$ 2020,412400,4199
95,May 20$ 2020,415044,4222
96,May 21$ 2020,417658,4249
97,May 22$ 2020,420247,4276
98,May 23$ 2020,423473,4308
99,May 24$ 2020,426577,4340
100,May 25$ 2020,429262,4369
101,May 26$ 2020,431841,4397
102,May 27$ 2020,434656,4431
103,May 28$ 2020,437871,4461
104,May 29$ 2020,440975,4489
105,May 30$ 2020,443649,4515
106,May 31$ 2020,445931,4540
107,Jun 01$ 2020,448180,4563
108,Jun 02$ 2020,450318,4585
109,Jun 03$ 2020,452676,4609
110,Jun 04$ 2020,455363,4630
111,Jun 05$ 2020,457893,4648
112,Jun 06$ 2020,460281,4669
113,Jun 07$ 2020,462767,4692
114,Jun 08$ 2020,465457,4711
115,Jun 09$ 2020,468158,4729
116,Jun 10$ 2020,470666,4746
117,Jun 11$ 2020,473351,4763
118,Jun 12$ 2020,476601,4778
119,Jun 13$ 2020,480570,4792
120,Jun 14$ 2020,484819,4807
121,Jun 15$ 2020,489149,4825
122,Jun 16$ 2020,493139,4842
123,Jun 17$ 2020,497026,4861
124,Jun 18$ 2020,500573,4882
125,Jun 19$ 2020,503875,4905
126,Jun 20$ 2020,507270,4927
127,Jun 21$ 2020,510512,4950
128,Jun 22$ 2020,513809,4974
129,Jun 23$ 2020,517258,5001
130,Jun 24$ 2020,521316,5025
131,Jun 25$ 2020,525282,5046
132,Jun 26$ 2020,529079,5065
133,Jun 27$ 2020,532811,5082
134,Jun 28$ 2020,536499,5097
135,Jun 29$ 2020,540236,5115
136,Jun 30$ 2020,543753,5131
137,Jul 01$ 2020,546995,5150
138,Jul 02$ 2020,550221,5167
139,Jul 03$ 2020,553409,5186
140,Jul 04$ 2020,556548,5206
141,Jul 05$ 2020,559671,5225
142,Jul 06$ 2020,562625,5241
143,Jul 07$ 2020,565489,5260
144,Jul 08$ 2020,568321,5282
145,Jul 09$ 2020,571106,5300
146,Jul 10$ 2020,573834,5323
147,Jul 11$ 2020,576598,5344
148,Jul 12$ 2020,579351,5363
149,Jul 13$ 2020,582093,5382
150,Jul 14$ 2020,584791,5402
151,Jul 15$ 2020,587367,5419
152,Jul 16$ 2020,589905,5440
153,Jul 17$ 2020,592424,5458
154,Jul 18$ 2020,594921,5475
155,Jul 19$ 2020,597434,5491
156,Jul 20$ 2020,599966,5508
157,Jul 21$ 2020,602490,5526
158,Jul 22$ 2020,604943,5545
159,Jul 23$ 2020,607426,5563
160,Jul 24$ 2020,609975,5580
161,Jul 25$ 2020,612480,5596
162,Jul 26$ 2020,615001,5613
163,Jul 27$ 2020,617501,5630
164,Jul 28$ 2020,620120,5645
165,Jul 29$ 2020,622682,5659
166,Jul 30$ 2020,625312,5674
167,Jul 31$ 2020,627983,5691
168,Aug 01$ 2020,630692,5710
169,Aug 02$ 2020,633377,5728
170,Aug 03$ 2020,636083,5747
171,Aug 04$ 2020,639029,5765
172,Aug 05$ 2020,642233,5784
173,Aug 06$ 2020,645369,5798
174,Aug 07$ 2020,648592,5813
175,Aug 08$ 2020,651780,5829
176,Aug 09$ 2020,654995,5844
177,Aug 10$ 2020,658240,5858
178,Aug 11$ 2020,661458,5873
179,Aug 12$ 2020,664755,5891
180,Aug 13$ 2020,668136,5912
181,Aug 14$ 2020,671471,5934
182,Aug 15$ 2020,674887,5955
183,Aug 16$ 2020,678129,5974
184,Aug 17$ 2020,681483,5996
185,Aug 18$ 2020,684918,6016
186,Aug 19$ 2020,688462,6039
187,Aug 20$ 2020,692303,6058
188,Aug 21$ 2020,695575,6080
189,Aug 22$ 2020,699136,6102
190,Aug 23$ 2020,702446,6121
191,Aug 24$ 2020,706371,6139
192,Aug 25$ 2020,710457,6163
193,Aug 26$ 2020,714028,6183
194,Aug 27$ 2020,718084,6209
195,Aug 28$ 2020,722210,6245
196,Aug 29$ 2020,726423,6284
197,Aug 30$ 2020,730454,6326
198,Aug 31$ 2020,734771,6370
199,Sep 01$ 2020,739047,6417
200,Sep 02$ 2020,743388,6462
201,Sep 03$ 2020,747854,6511
202,Sep 04$ 2020,752239,6564
203,Sep 05$ 2020,756790,6620
204,Sep 06$ 2020,761082,6673
205,Sep 07$ 2020,765714,6730
206,Sep 08$ 2020,770504,6782
207,Sep 09$ 2020,775055,6837
208,Sep 10$ 2020,779168,6895
209,Sep 11$ 2020,783713,6951
210,Sep 12$ 2020,787818,6999
211,Sep 13$ 2020,791972,7056
212,Sep 14$ 2020,796640,7119
213,Sep 15$ 2020,801378,7186
214,Sep 16$ 2020,806195,7249
215,Sep 17$ 2020,810678,7315
216,Sep 18$ 2020,815495,7377
217,Sep 19$ 2020,819678,7445
218,Sep 20$ 2020,823810,7506
219,Sep 21$ 2020,828551,7574
220,Sep 22$ 2020,833153,7639
221,Sep 23$ 2020,837959,7711
222,Sep 24$ 2020,842640,7785
223,Sep 25$ 2020,847169,7858
224,Sep 26$ 2020,851279,7929
225,Sep 27$ 2020,855269,7997
226,Sep 28$ 2020,859110,8062
227,Sep 29$ 2020,862992,8130
228,Sep 30$ 2020,866776,8195
229,Oct 01$ 2020,870603,8262
230,Oct 02$ 2020,874525,8325
231,Oct 03$ 2020,878611,8384
232,Oct 04$ 2020,882498,8441
233,Oct 05$ 2020,886858,8498
234,Oct 06$ 2020,890968,8553
235,Oct 07$ 2020,895268,8609
236,Oct 08$ 2020,899661,8667
237,Oct 09$ 2020,904092,8722
238,Oct 10$ 2020,908577,8778
239,Oct 11$ 2020,912663,8837
240,Oct 12$ 2020,917053,8895
241,Oct 13$ 2020,921492,8957
242,Oct 14$ 2020,926037,9014
243,Oct 15$ 2020,930642,9080
244,Oct 16$ 2020,935571,9153
245,Oct 17$ 2020,940258,9224
246,Oct 18$ 2020,945195,9296
247,Oct 19$ 2020,950706,9371
248,Oct 20$ 2020,955858,9445
249,Oct 21$ 2020,961333,9513
250,Oct 22$ 2020,967051,9584
251,Oct 23$ 2020,972940,9658
252,Oct 24$ 2020,978628,9727
253,Oct 25$ 2020,984114,9799
254,Oct 26$ 2020,990093,9874
255,Oct 27$ 2020,996102,9950
256,Oct 28$ 2020,1002372,10027
257,Oct 29$ 2020,1008680,10099
258,Oct 30$ 2020,1014996,10177
259,Oct 31$ 2020,1021015,10252
260,Nov 01$ 2020,1026743,10326
261,Nov 02$ 2020,1033005,10402
262,Nov 03$ 2020,1039378,10481
263,Nov 04$ 2020,1045882,10558
264,Nov 05$ 2020,1052168,10639
265,Nov 06$ 2020,1058794,10722
266,Nov 07$ 2020,1065548,10803
267,Nov 08$ 2020,1072392,10887
268,Nov 09$ 2020,1079399,10972
269,Nov 10$ 2020,1086278,11059
270,Nov 11$ 2020,1093603,11145
271,Nov 12$ 2020,1101331,11233
272,Nov 13$ 2020,1109614,11326
273,Nov 14$ 2020,1118090,11418
274,Nov 15$ 2020,1126857,11507
275,Nov 16$ 2020,1135877,11601
276,Nov 17$ 2020,1146265,11704
277,Nov 18$ 2020,1157730,11820
278,Nov 19$ 2020,1170084,11943
279,Nov 20$ 2020,1183964,12084
280,Nov 21$ 2020,1199011,12219
281,Nov 22$ 2020,1215378,12358
282,Nov 23$ 2020,1233638,12511
283,Nov 24$ 2020,1253717,12672
284,Nov 25$ 2020,1282068,12840
285,Nov 26$ 2020,1311200,13014
286,Nov 27$ 2020,1341045,13191
287,Nov 28$ 2020,1371148,13373
288,Nov 29$ 2020,1400429,13558
289,Nov 30$ 2020,1431648,13746
290,Dec 01$ 2020,1461758,13936
291,Dec 02$ 2020,1493681,14129
292,Dec 03$ 2020,1526062,14316
293,Dec 04$ 2020,1558798,14509
294,Dec 05$ 2020,1590694,14705
295,Dec 06$ 2020,1621096,14900
296,Dec 07$ 2020,1653233,15103
297,Dec 08$ 2020,1686431,15314
298,Dec 09$ 2020,1718143,15531
299,Dec 10$ 2020,1748567,15751
300,Dec 11$ 2020,1780673,15977
301,Dec 12$ 2020,1809809,16199
302,Dec 13$ 2020,1836728,16417
303,Dec 14$ 2020,1866345,16646
304,Dec 15$ 2020,1898447,16881
305,Dec 16$ 2020,1928165,17121
306,Dec 17$ 2020,1955680,17364
307,Dec 18$ 2020,1982090,17610
308,Dec 19$ 2020,2004285,17851
309,Dec 20$ 2020,2024601,18097
310,Dec 21$ 2020,2043704,18351
311,Dec 22$ 2020,2062960,18602
312,Dec 23$ 2020,2082610,18861
