,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,2,0
17,Mar 03$ 2020,2,0
18,Mar 04$ 2020,2,0
19,Mar 05$ 2020,2,0
20,Mar 06$ 2020,4,0
21,Mar 07$ 2020,4,0
22,Mar 08$ 2020,6,0
23,Mar 09$ 2020,19,0
24,Mar 10$ 2020,27,0
25,Mar 11$ 2020,34,1
26,Mar 12$ 2020,34,1
27,Mar 13$ 2020,69,4
28,Mar 14$ 2020,96,5
29,Mar 15$ 2020,117,5
30,Mar 16$ 2020,134,5
31,Mar 17$ 2020,172,7
32,Mar 18$ 2020,227,19
33,Mar 19$ 2020,309,25
34,Mar 20$ 2020,369,32
35,Mar 21$ 2020,450,38
36,Mar 22$ 2020,514,48
37,Mar 23$ 2020,579,49
38,Mar 24$ 2020,686,55
39,Mar 25$ 2020,790,58
40,Mar 26$ 2020,893,78
41,Mar 27$ 2020,1046,87
42,Mar 28$ 2020,1155,102
43,Mar 29$ 2020,1285,114
44,Mar 30$ 2020,1414,122
45,Mar 31$ 2020,1528,136
46,Apr 01$ 2020,1677,157
47,Apr 02$ 2020,1790,170
48,Apr 03$ 2020,1986,181
49,Apr 04$ 2020,2092,191
50,Apr 05$ 2020,2273,198
51,Apr 06$ 2020,2491,209
52,Apr 07$ 2020,2738,221
53,Apr 08$ 2020,2956,240
54,Apr 09$ 2020,3293,280
55,Apr 10$ 2020,3512,306
56,Apr 11$ 2020,3842,327
57,Apr 12$ 2020,4241,373
58,Apr 13$ 2020,4557,399
59,Apr 14$ 2020,4839,459
60,Apr 15$ 2020,5136,469
61,Apr 16$ 2020,5516,496
62,Apr 17$ 2020,5923,520
63,Apr 18$ 2020,6248,535
64,Apr 19$ 2020,6575,582
65,Apr 20$ 2020,6760,590
66,Apr 21$ 2020,7135,616
67,Apr 22$ 2020,7418,635
68,Apr 23$ 2020,7775,647
69,Apr 24$ 2020,8211,689
70,Apr 25$ 2020,8607,720
71,Apr 26$ 2020,8882,743
72,Apr 27$ 2020,9096,765
73,Apr 28$ 2020,9511,773
74,Apr 29$ 2020,9771,784
75,Apr 30$ 2020,10118,792
76,May 01$ 2020,10551,800
77,May 02$ 2020,10843,831
78,May 03$ 2020,11192,845
79,May 04$ 2020,11587,864
80,May 05$ 2020,12071,872
81,May 06$ 2020,12438,895
82,May 07$ 2020,12776,930
83,May 08$ 2020,13112,943
84,May 09$ 2020,13645,959
85,May 10$ 2020,14032,973
86,May 11$ 2020,14265,991
87,May 12$ 2020,14749,1007
88,May 13$ 2020,15438,1028
89,May 14$ 2020,16006,1043
90,May 15$ 2020,16496,1076
91,May 16$ 2020,17025,1089
92,May 17$ 2020,17514,1148
93,May 18$ 2020,18010,1191
94,May 19$ 2020,18496,1221
95,May 20$ 2020,19189,1242
96,May 21$ 2020,20162,1278
97,May 22$ 2020,20796,1326
98,May 23$ 2020,21745,1351
99,May 24$ 2020,22271,1372
100,May 25$ 2020,22750,1391
101,May 26$ 2020,23165,1418
102,May 27$ 2020,23851,1473
103,May 28$ 2020,24538,1496
104,May 29$ 2020,25216,1520
105,May 30$ 2020,25773,1573
106,May 31$ 2020,26473,1613
107,Jun 01$ 2020,26940,1641
108,Jun 02$ 2020,27549,1663
109,Jun 03$ 2020,28233,1698
110,Jun 04$ 2020,28818,1721
111,Jun 05$ 2020,29521,1770
112,Jun 06$ 2020,30514,1801
113,Jun 07$ 2020,31186,1851
114,Jun 08$ 2020,32033,1883
115,Jun 09$ 2020,33076,1923
116,Jun 10$ 2020,34316,1959
117,Jun 11$ 2020,35295,2000
118,Jun 12$ 2020,36406,2048
119,Jun 13$ 2020,37420,2091
120,Jun 14$ 2020,38277,2134
121,Jun 15$ 2020,39294,2198
122,Jun 16$ 2020,40400,2231
123,Jun 17$ 2020,41431,2276
124,Jun 18$ 2020,42762,2339
125,Jun 19$ 2020,43803,2373
126,Jun 20$ 2020,45029,2429
127,Jun 21$ 2020,45891,2465
128,Jun 22$ 2020,46845,2500
129,Jun 23$ 2020,47896,2535
130,Jun 24$ 2020,49009,2573
131,Jun 25$ 2020,50187,2620
132,Jun 26$ 2020,51427,2683
133,Jun 27$ 2020,52812,2720
134,Jun 28$ 2020,54010,2754
135,Jun 29$ 2020,55092,2805
136,Jun 30$ 2020,56385,2876
137,Jul 01$ 2020,57770,2934
138,Jul 02$ 2020,59394,2987
139,Jul 03$ 2020,60695,3036
140,Jul 04$ 2020,62142,3089
141,Jul 05$ 2020,63749,3171
142,Jul 06$ 2020,64958,3241
143,Jul 07$ 2020,66226,3309
144,Jul 08$ 2020,68079,3359
145,Jul 09$ 2020,70736,3417
146,Jul 10$ 2020,72347,3469
147,Jul 11$ 2020,74018,3535
148,Jul 12$ 2020,75699,3606
149,Jul 13$ 2020,76981,3656
150,Jul 14$ 2020,78572,3710
151,Jul 15$ 2020,80094,3797
152,Jul 16$ 2020,81668,3873
153,Jul 17$ 2020,83130,3957
154,Jul 18$ 2020,84882,4016
155,Jul 19$ 2020,86521,4143
156,Jul 20$ 2020,88214,4239
157,Jul 21$ 2020,89869,4320
158,Jul 22$ 2020,91751,4459
159,Jul 23$ 2020,93657,4576
160,Jul 24$ 2020,95418,4665
161,Jul 25$ 2020,97286,4714
162,Jul 26$ 2020,98778,4781
163,Jul 27$ 2020,100303,4838
164,Jul 28$ 2020,102051,4901
165,Jul 29$ 2020,104432,4975
166,Jul 30$ 2020,106336,5058
167,Jul 31$ 2020,108376,5131
168,Aug 01$ 2020,109936,5193
169,Aug 02$ 2020,111455,5236
170,Aug 03$ 2020,113134,5302
171,Aug 04$ 2020,115056,5388
172,Aug 05$ 2020,116871,5452
173,Aug 06$ 2020,118753,5521
174,Aug 07$ 2020,121226,5593
175,Aug 08$ 2020,123503,5658
176,Aug 09$ 2020,125396,5723
177,Aug 10$ 2020,127083,5765
178,Aug 11$ 2020,128776,5824
179,Aug 12$ 2020,130718,5903
180,Aug 13$ 2020,132816,5968
181,Aug 14$ 2020,135123,6021
182,Aug 15$ 2020,137468,6071
183,Aug 16$ 2020,139549,6150
184,Aug 17$ 2020,141370,6207
185,Aug 18$ 2020,143043,6277
186,Aug 19$ 2020,144945,6346
187,Aug 20$ 2020,147211,6418
188,Aug 21$ 2020,149408,6500
189,Aug 22$ 2020,151498,6594
190,Aug 23$ 2020,153535,6680
191,Aug 24$ 2020,155412,6759
192,Aug 25$ 2020,157859,6858
193,Aug 26$ 2020,160165,6944
194,Aug 27$ 2020,162884,7064
195,Aug 28$ 2020,165887,7169
196,Aug 29$ 2020,169195,7261
197,Aug 30$ 2020,172053,7343
198,Aug 31$ 2020,174796,7417
199,Sep 01$ 2020,177571,7505
200,Sep 02$ 2020,180646,7616
201,Sep 03$ 2020,184268,7750
202,Sep 04$ 2020,187537,7832
203,Sep 05$ 2020,190665,7940
204,Sep 06$ 2020,194109,8025
205,Sep 07$ 2020,196989,8130
206,Sep 08$ 2020,200035,8230
207,Sep 09$ 2020,203342,8336
208,Sep 10$ 2020,207203,8456
209,Sep 11$ 2020,210940,8544
210,Sep 12$ 2020,214746,8650
211,Sep 13$ 2020,218382,8723
212,Sep 14$ 2020,221523,8841
213,Sep 15$ 2020,225030,8965
214,Sep 16$ 2020,228993,9100
215,Sep 17$ 2020,232628,9222
216,Sep 18$ 2020,236519,9336
217,Sep 19$ 2020,240687,9448
218,Sep 20$ 2020,244676,9553
219,Sep 21$ 2020,248852,9677
220,Sep 22$ 2020,252923,9837
221,Sep 23$ 2020,257388,9977
222,Sep 24$ 2020,262022,10105
223,Sep 25$ 2020,266845,10218
224,Sep 26$ 2020,271339,10308
225,Sep 27$ 2020,275213,10386
226,Sep 28$ 2020,278722,10473
227,Sep 29$ 2020,282724,10601
228,Sep 30$ 2020,287008,10740
229,Oct 01$ 2020,291182,10856
230,Oct 02$ 2020,295499,10972
231,Oct 03$ 2020,299506,11055
232,Oct 04$ 2020,303498,11151
233,Oct 05$ 2020,307120,11253
234,Oct 06$ 2020,311176,11374
235,Oct 07$ 2020,315714,11472
236,Oct 08$ 2020,320564,11580
237,Oct 09$ 2020,324658,11677
238,Oct 10$ 2020,328952,11765
239,Oct 11$ 2020,333449,11844
240,Oct 12$ 2020,336716,11935
241,Oct 13$ 2020,340622,12027
242,Oct 14$ 2020,344749,12156
243,Oct 15$ 2020,349160,12268
244,Oct 16$ 2020,353461,12347
245,Oct 17$ 2020,357762,12431
246,Oct 18$ 2020,361867,12511
247,Oct 19$ 2020,365240,12617
248,Oct 20$ 2020,368842,12734
249,Oct 21$ 2020,373109,12857
250,Oct 22$ 2020,377541,12959
251,Oct 23$ 2020,381910,13077
252,Oct 24$ 2020,385980,13205
253,Oct 25$ 2020,389712,13299
254,Oct 26$ 2020,392934,13411
255,Oct 27$ 2020,396454,13512
256,Oct 28$ 2020,400483,13612
257,Oct 29$ 2020,404048,13701
258,Oct 30$ 2020,406945,13782
259,Oct 31$ 2020,410088,13869
260,Nov 01$ 2020,412784,13943
261,Nov 02$ 2020,415402,14044
262,Nov 03$ 2020,418375,14146
263,Nov 04$ 2020,421731,14259
264,Nov 05$ 2020,425796,14348
265,Nov 06$ 2020,429574,14442
266,Nov 07$ 2020,433836,14540
267,Nov 08$ 2020,437716,14614
268,Nov 09$ 2020,440569,14689
269,Nov 10$ 2020,444348,14761
270,Nov 11$ 2020,448118,14836
271,Nov 12$ 2020,452291,14933
272,Nov 13$ 2020,457735,15037
273,Nov 14$ 2020,463007,15148
274,Nov 15$ 2020,467113,15211
275,Nov 16$ 2020,470648,15296
276,Nov 17$ 2020,474455,15393
277,Nov 18$ 2020,478720,15503
278,Nov 19$ 2020,483518,15600
279,Nov 20$ 2020,488310,15678
280,Nov 21$ 2020,493308,15774
281,Nov 22$ 2020,497668,15884
282,Nov 23$ 2020,502110,16002
283,Nov 24$ 2020,506302,16111
284,Nov 25$ 2020,511836,16225
285,Nov 26$ 2020,516753,16352
286,Nov 27$ 2020,522581,16521
287,Nov 28$ 2020,527999,16646
288,Nov 29$ 2020,534266,16815
289,Nov 30$ 2020,538883,16945
290,Dec 01$ 2020,543975,17081
291,Dec 02$ 2020,549508,17199
292,Dec 03$ 2020,557877,17355
293,Dec 04$ 2020,563680,17479
294,Dec 05$ 2020,569707,17589
295,Dec 06$ 2020,575796,17740
296,Dec 07$ 2020,581550,17867
297,Dec 08$ 2020,586842,18000
298,Dec 09$ 2020,592900,18171
299,Dec 10$ 2020,598933,18336
300,Dec 11$ 2020,605243,18511
301,Dec 12$ 2020,611631,18653
302,Dec 13$ 2020,617820,18819
303,Dec 14$ 2020,623309,18956
304,Dec 15$ 2020,629429,19111
305,Dec 16$ 2020,636154,19248
306,Dec 17$ 2020,643508,19390
307,Dec 18$ 2020,650197,19514
308,Dec 19$ 2020,657948,19659
309,Dec 20$ 2020,664930,19880
310,Dec 21$ 2020,671778,20085
311,Dec 22$ 2020,678125,20257
312,Dec 23$ 2020,685639,20408
313,Dec 24$ 2020,692838,20589
314,Dec 25$ 2020,700097,20847
315,Dec 26$ 2020,706837,20994
316,Dec 27$ 2020,713365,21237
317,Dec 28$ 2020,719219,21452
