,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,0,0
18,Mar 04$ 2020,0,0
19,Mar 05$ 2020,0,0
20,Mar 06$ 2020,0,0
21,Mar 07$ 2020,0,0
22,Mar 08$ 2020,0,0
23,Mar 09$ 2020,0,0
24,Mar 10$ 2020,2,0
25,Mar 11$ 2020,2,0
26,Mar 12$ 2020,3,0
27,Mar 13$ 2020,10,0
28,Mar 14$ 2020,10,0
29,Mar 15$ 2020,10,0
30,Mar 16$ 2020,11,0
31,Mar 17$ 2020,12,0
32,Mar 18$ 2020,12,0
33,Mar 19$ 2020,15,0
34,Mar 20$ 2020,16,0
35,Mar 21$ 2020,19,0
36,Mar 22$ 2020,24,0
37,Mar 23$ 2020,27,0
38,Mar 24$ 2020,29,0
39,Mar 25$ 2020,32,0
40,Mar 26$ 2020,61,0
41,Mar 27$ 2020,61,0
42,Mar 28$ 2020,74,0
43,Mar 29$ 2020,81,1
44,Mar 30$ 2020,97,5
45,Mar 31$ 2020,107,8
46,Apr 01$ 2020,115,9
47,Apr 02$ 2020,123,10
48,Apr 03$ 2020,132,11
49,Apr 04$ 2020,139,12
50,Apr 05$ 2020,157,12
51,Apr 06$ 2020,183,13
52,Apr 07$ 2020,194,17
53,Apr 08$ 2020,210,18
54,Apr 09$ 2020,264,22
55,Apr 10$ 2020,268,23
56,Apr 11$ 2020,275,24
57,Apr 12$ 2020,300,29
58,Apr 13$ 2020,330,33
59,Apr 14$ 2020,354,34
60,Apr 15$ 2020,397,34
61,Apr 16$ 2020,441,35
62,Apr 17$ 2020,465,38
63,Apr 18$ 2020,493,38
64,Apr 19$ 2020,520,39
65,Apr 20$ 2020,564,40
66,Apr 21$ 2020,598,41
67,Apr 22$ 2020,609,45
68,Apr 23$ 2020,672,49
69,Apr 24$ 2020,703,53
70,Apr 25$ 2020,807,54
71,Apr 26$ 2020,866,57
72,Apr 27$ 2020,950,62
73,Apr 28$ 2020,1014,66
74,Apr 29$ 2020,1053,69
75,Apr 30$ 2020,1110,74
76,May 01$ 2020,1167,78
77,May 02$ 2020,1229,83
78,May 03$ 2020,1470,89
79,May 04$ 2020,1594,95
80,May 05$ 2020,1681,103
81,May 06$ 2020,1802,108
82,May 07$ 2020,1886,114
83,May 08$ 2020,2081,128
84,May 09$ 2020,2266,133
85,May 10$ 2020,2437,143
86,May 11$ 2020,2556,148
87,May 12$ 2020,2831,153
88,May 13$ 2020,2964,161
89,May 14$ 2020,3148,179
90,May 15$ 2020,3372,192
91,May 16$ 2020,3577,207
92,May 17$ 2020,3826,208
93,May 18$ 2020,4088,213
94,May 19$ 2020,4263,219
95,May 20$ 2020,4481,238
96,May 21$ 2020,4919,251
97,May 22$ 2020,5187,272
98,May 23$ 2020,5579,291
99,May 24$ 2020,5915,304
100,May 25$ 2020,6263,317
101,May 26$ 2020,6660,331
102,May 27$ 2020,7136,348
103,May 28$ 2020,7768,356
104,May 29$ 2020,8387,373
105,May 30$ 2020,8731,382
106,May 31$ 2020,9592,395
107,Jun 01$ 2020,9982,399
108,Jun 02$ 2020,10531,438
109,Jun 03$ 2020,10991,481
110,Jun 04$ 2020,11638,512
111,Jun 05$ 2020,12245,531
112,Jun 06$ 2020,12728,546
113,Jun 07$ 2020,13358,581
114,Jun 08$ 2020,13643,595
115,Jun 09$ 2020,13949,608
116,Jun 10$ 2020,14644,623
117,Jun 11$ 2020,15281,655
118,Jun 12$ 2020,16165,682
119,Jun 13$ 2020,16929,716
120,Jun 14$ 2020,17842,750
121,Jun 15$ 2020,18459,784
122,Jun 16$ 2020,19073,811
123,Jun 17$ 2020,19883,846
124,Jun 18$ 2020,20685,872
125,Jun 19$ 2020,21499,895
126,Jun 20$ 2020,22476,918
127,Jun 21$ 2020,23512,950
128,Jun 22$ 2020,24388,993
129,Jun 23$ 2020,25493,1054
130,Jun 24$ 2020,26389,1088
131,Jun 25$ 2020,27487,1127
132,Jun 26$ 2020,28503,1175
133,Jun 27$ 2020,29423,1202
134,Jun 28$ 2020,30676,1248
135,Jun 29$ 2020,31524,1305
136,Jun 30$ 2020,32125,1379
137,Jul 01$ 2020,33219,1446
138,Jul 02$ 2020,34227,1547
139,Jul 03$ 2020,35528,1637
140,Jul 04$ 2020,36818,1700
141,Jul 05$ 2020,38071,1775
142,Jul 06$ 2020,39297,1847
143,Jul 07$ 2020,40509,1901
144,Jul 08$ 2020,41545,1971
145,Jul 09$ 2020,42984,2032
146,Jul 10$ 2020,44113,2111
147,Jul 11$ 2020,45565,2194
148,Jul 12$ 2020,47200,2261
149,Jul 13$ 2020,48187,2329
150,Jul 14$ 2020,49250,2405
151,Jul 15$ 2020,50867,2446
152,Jul 16$ 2020,52218,2503
153,Jul 17$ 2020,54156,2557
154,Jul 18$ 2020,56102,2641
155,Jul 19$ 2020,58138,2715
156,Jul 20$ 2020,59582,2773
157,Jul 21$ 2020,60991,2859
158,Jul 22$ 2020,62357,2930
159,Jul 23$ 2020,64135,3001
160,Jul 24$ 2020,65252,3103
161,Jul 25$ 2020,66456,3188
162,Jul 26$ 2020,68281,3268
163,Jul 27$ 2020,69429,3330
164,Jul 28$ 2020,71181,3413
165,Jul 29$ 2020,72327,3507
166,Jul 30$ 2020,73534,3621
167,Jul 31$ 2020,75234,3732
168,Aug 01$ 2020,76789,3839
169,Aug 02$ 2020,78793,3951
170,Aug 03$ 2020,80153,4066
171,Aug 04$ 2020,81846,4163
172,Aug 05$ 2020,83361,4282
173,Aug 06$ 2020,85141,4366
174,Aug 07$ 2020,86423,4469
175,Aug 08$ 2020,87891,4545
176,Aug 09$ 2020,89055,4626
177,Aug 10$ 2020,89999,4694
178,Aug 11$ 2020,91635,4787
179,Aug 12$ 2020,93328,4850
180,Aug 13$ 2020,95071,4935
181,Aug 14$ 2020,96459,5009
182,Aug 15$ 2020,97950,5080
183,Aug 16$ 2020,99146,5163
184,Aug 17$ 2020,100344,5234
185,Aug 18$ 2020,101223,5318
186,Aug 19$ 2020,103019,5381
187,Aug 20$ 2020,105050,5460
188,Aug 21$ 2020,106065,5553
189,Aug 22$ 2020,107435,5632
190,Aug 23$ 2020,108427,5730
191,Aug 24$ 2020,109149,5816
192,Aug 25$ 2020,110148,5905
193,Aug 26$ 2020,110999,6016
194,Aug 27$ 2020,112094,6096
195,Aug 28$ 2020,113129,6180
196,Aug 29$ 2020,114409,6251
197,Aug 30$ 2020,115354,6370
198,Aug 31$ 2020,115968,6409
199,Sep 01$ 2020,116598,6488
200,Sep 02$ 2020,117267,6584
201,Sep 03$ 2020,117928,6716
202,Sep 04$ 2020,118781,6826
203,Sep 05$ 2020,119580,6897
204,Sep 06$ 2020,120241,6968
205,Sep 07$ 2020,120769,7008
206,Sep 08$ 2020,121604,7054
207,Sep 09$ 2020,122308,7097
208,Sep 10$ 2020,123345,7146
209,Sep 11$ 2020,124205,7193
210,Sep 12$ 2020,125172,7250
211,Sep 13$ 2020,125982,7297
212,Sep 14$ 2020,126791,7344
213,Sep 15$ 2020,127619,7394
214,Sep 16$ 2020,128286,7447
215,Sep 17$ 2020,128872,7478
216,Sep 18$ 2020,129419,7511
217,Sep 19$ 2020,130051,7550
218,Sep 20$ 2020,130470,7586
219,Sep 21$ 2020,130676,7617
220,Sep 22$ 2020,130986,7654
221,Sep 23$ 2020,131453,7693
222,Sep 24$ 2020,131990,7731
223,Sep 25$ 2020,132618,7765
224,Sep 26$ 2020,133222,7800
225,Sep 27$ 2020,133592,7828
226,Sep 28$ 2020,133901,7858
227,Sep 29$ 2020,134223,7900
228,Sep 30$ 2020,134641,7931
229,Oct 01$ 2020,135311,7965
230,Oct 02$ 2020,135716,8001
231,Oct 03$ 2020,136219,8045
232,Oct 04$ 2020,136569,8073
233,Oct 05$ 2020,136868,8101
234,Oct 06$ 2020,137107,8129
235,Oct 07$ 2020,137468,8156
236,Oct 08$ 2020,137706,8192
237,Oct 09$ 2020,137969,8228
238,Oct 10$ 2020,138226,8262
239,Oct 11$ 2020,138463,8292
240,Oct 12$ 2020,138574,8308
241,Oct 13$ 2020,138695,8326
242,Oct 14$ 2020,138922,8351
243,Oct 15$ 2020,139141,8377
244,Oct 16$ 2020,139319,8407
245,Oct 17$ 2020,139562,8439
246,Oct 18$ 2020,139710,8463
247,Oct 19$ 2020,139771,8481
248,Oct 20$ 2020,139890,8502
249,Oct 21$ 2020,140037,8526
250,Oct 22$ 2020,140228,8558
251,Oct 23$ 2020,140445,8584
252,Oct 24$ 2020,140612,8608
253,Oct 25$ 2020,140779,8627
254,Oct 26$ 2020,140853,8645
255,Oct 27$ 2020,140952,8658
256,Oct 28$ 2020,141124,8672
257,Oct 29$ 2020,141321,8694
258,Oct 30$ 2020,141484,8705
259,Oct 31$ 2020,141631,8715
260,Nov 01$ 2020,141757,8725
261,Nov 02$ 2020,141833,8731
262,Nov 03$ 2020,141867,8741
263,Nov 04$ 2020,141936,8751
264,Nov 05$ 2020,142062,8758
265,Nov 06$ 2020,142201,8768
266,Nov 07$ 2020,142343,8781
267,Nov 08$ 2020,142427,8790
268,Nov 09$ 2020,142475,8795
269,Nov 10$ 2020,142561,8802
270,Nov 11$ 2020,142664,8808
271,Nov 12$ 2020,142776,8818
272,Nov 13$ 2020,142889,8825
273,Nov 14$ 2020,143069,8835
274,Nov 15$ 2020,143181,8841
275,Nov 16$ 2020,143246,8849
276,Nov 17$ 2020,143371,8859
277,Nov 18$ 2020,143473,8866
278,Nov 19$ 2020,143569,8875
279,Nov 20$ 2020,143756,8889
280,Nov 21$ 2020,143854,8900
281,Nov 22$ 2020,143922,8904
282,Nov 23$ 2020,143978,8907
283,Nov 24$ 2020,144034,8916
284,Nov 25$ 2020,144147,8928
285,Nov 26$ 2020,144276,8933
286,Nov 27$ 2020,144390,8939
287,Nov 28$ 2020,144494,8943
288,Nov 29$ 2020,144592,8949
289,Nov 30$ 2020,144622,8952
290,Dec 01$ 2020,144708,8957
291,Dec 02$ 2020,144810,8963
292,Dec 03$ 2020,144994,8972
293,Dec 04$ 2020,145186,8982
294,Dec 05$ 2020,145325,8987
295,Dec 06$ 2020,145492,8992
296,Dec 07$ 2020,145560,8995
297,Dec 08$ 2020,145657,8997
298,Dec 09$ 2020,145846,9002
299,Dec 10$ 2020,146060,9004
300,Dec 11$ 2020,146385,9008
301,Dec 12$ 2020,146697,9013
302,Dec 13$ 2020,147030,9014
303,Dec 14$ 2020,147150,9018
304,Dec 15$ 2020,147345,9024
305,Dec 16$ 2020,147716,9026
306,Dec 17$ 2020,148214,9029
307,Dec 18$ 2020,148665,9031
308,Dec 19$ 2020,149149,9033
309,Dec 20$ 2020,149770,9035
310,Dec 21$ 2020,150023,9036
311,Dec 22$ 2020,150385,9043
312,Dec 23$ 2020,151059,9052
313,Dec 24$ 2020,152064,9065
314,Dec 25$ 2020,153121,9076
315,Dec 26$ 2020,153590,9083
316,Dec 27$ 2020,154349,9093
317,Dec 28$ 2020,154843,9098
318,Dec 29$ 2020,155594,9106
319,Dec 30$ 2020,156887,9135
320,Dec 31$ 2020,158372,9149
321,Jan 01$ 2021,160124,9165
