,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,16,0
1,Feb 16$ 2020,16,0
2,Feb 17$ 2020,16,0
3,Feb 18$ 2020,16,0
4,Feb 19$ 2020,16,0
5,Feb 20$ 2020,16,0
6,Feb 21$ 2020,16,0
7,Feb 22$ 2020,16,0
8,Feb 23$ 2020,16,0
9,Feb 24$ 2020,16,0
10,Feb 25$ 2020,18,0
11,Feb 26$ 2020,26,0
12,Feb 27$ 2020,48,0
13,Feb 28$ 2020,74,0
14,Feb 29$ 2020,79,0
15,Mar 01$ 2020,130,0
16,Mar 02$ 2020,165,0
17,Mar 03$ 2020,203,0
18,Mar 04$ 2020,262,0
19,Mar 05$ 2020,545,0
20,Mar 06$ 2020,670,0
21,Mar 07$ 2020,800,0
22,Mar 08$ 2020,1040,0
23,Mar 09$ 2020,1224,2
24,Mar 10$ 2020,1565,2
25,Mar 11$ 2020,1966,3
26,Mar 12$ 2020,2745,6
27,Mar 13$ 2020,3675,8
28,Mar 14$ 2020,4599,9
29,Mar 15$ 2020,5813,13
30,Mar 16$ 2020,7272,17
31,Mar 17$ 2020,9367,26
32,Mar 18$ 2020,12327,28
33,Mar 19$ 2020,15320,44
34,Mar 20$ 2020,19848,68
35,Mar 21$ 2020,22364,84
36,Mar 22$ 2020,24873,94
37,Mar 23$ 2020,29056,123
38,Mar 24$ 2020,32991,159
39,Mar 25$ 2020,37323,206
40,Mar 26$ 2020,43938,267
41,Mar 27$ 2020,50871,351
42,Mar 28$ 2020,57695,433
43,Mar 29$ 2020,62435,541
44,Mar 30$ 2020,66885,645
45,Mar 31$ 2020,71808,775
46,Apr 01$ 2020,77981,931
47,Apr 02$ 2020,84794,1107
48,Apr 03$ 2020,91159,1275
49,Apr 04$ 2020,96092,1444
50,Apr 05$ 2020,100123,1584
51,Apr 06$ 2020,103375,1810
52,Apr 07$ 2020,107663,2016
53,Apr 08$ 2020,113296,2349
54,Apr 09$ 2020,118235,2607
55,Apr 10$ 2020,122171,2736
56,Apr 11$ 2020,125452,2871
57,Apr 12$ 2020,127854,3022
58,Apr 13$ 2020,130072,3194
59,Apr 14$ 2020,132210,3495
60,Apr 15$ 2020,134753,3804
61,Apr 16$ 2020,137698,4052
62,Apr 17$ 2020,141397,4352
63,Apr 18$ 2020,143724,4538
64,Apr 19$ 2020,145742,4642
65,Apr 20$ 2020,147065,4862
66,Apr 21$ 2020,148453,5086
67,Apr 22$ 2020,150648,5315
68,Apr 23$ 2020,153129,5575
69,Apr 24$ 2020,154999,5760
70,Apr 25$ 2020,156513,5877
71,Apr 26$ 2020,157770,5976
72,Apr 27$ 2020,158758,6126
73,Apr 28$ 2020,159912,6314
74,Apr 29$ 2020,161539,6467
75,Apr 30$ 2020,163009,6623
76,May 01$ 2020,164077,6736
77,May 02$ 2020,164967,6812
78,May 03$ 2020,165664,6866
79,May 04$ 2020,166152,6993
80,May 05$ 2020,167007,6993
81,May 06$ 2020,168162,7275
82,May 07$ 2020,169430,7392
83,May 08$ 2020,170588,7510
84,May 09$ 2020,171324,7549
85,May 10$ 2020,171879,7569
86,May 11$ 2020,172576,7661
87,May 12$ 2020,173171,7738
88,May 13$ 2020,174098,7861
89,May 14$ 2020,174975,7928
90,May 15$ 2020,175699,8001
91,May 16$ 2020,176244,8027
92,May 17$ 2020,176651,8049
93,May 18$ 2020,177289,8123
94,May 19$ 2020,177827,8193
95,May 20$ 2020,178531,8270
96,May 21$ 2020,179021,8309
97,May 22$ 2020,179713,8352
98,May 23$ 2020,179986,8366
99,May 24$ 2020,180328,8371
100,May 25$ 2020,180789,8428
101,May 26$ 2020,181288,8498
102,May 27$ 2020,181895,8533
103,May 28$ 2020,182452,8570
104,May 29$ 2020,183019,8594
105,May 30$ 2020,183294,8600
106,May 31$ 2020,183494,8605
107,Jun 01$ 2020,183765,8618
108,Jun 02$ 2020,184091,8674
109,Jun 03$ 2020,184425,8699
110,Jun 04$ 2020,184923,8736
