,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,2,2
5,Feb 20$ 2020,5,2
6,Feb 21$ 2020,18,4
7,Feb 22$ 2020,29,6
8,Feb 23$ 2020,43,8
9,Feb 24$ 2020,61,12
10,Feb 25$ 2020,95,16
11,Feb 26$ 2020,139,19
12,Feb 27$ 2020,245,26
13,Feb 28$ 2020,388,34
14,Feb 29$ 2020,593,43
15,Mar 01$ 2020,978,54
16,Mar 02$ 2020,1501,66
17,Mar 03$ 2020,2336,77
18,Mar 04$ 2020,2922,92
19,Mar 05$ 2020,3513,108
20,Mar 06$ 2020,4747,124
21,Mar 07$ 2020,5823,145
22,Mar 08$ 2020,6566,194
23,Mar 09$ 2020,7161,237
24,Mar 10$ 2020,8042,291
25,Mar 11$ 2020,9000,354
26,Mar 12$ 2020,10075,429
27,Mar 13$ 2020,11364,514
28,Mar 14$ 2020,12729,611
29,Mar 15$ 2020,13938,724
30,Mar 16$ 2020,14991,853
31,Mar 17$ 2020,16169,988
32,Mar 18$ 2020,17361,1135
33,Mar 19$ 2020,18407,1284
34,Mar 20$ 2020,19644,1433
35,Mar 21$ 2020,20610,1556
36,Mar 22$ 2020,21638,1685
37,Mar 23$ 2020,23049,1812
38,Mar 24$ 2020,24811,1934
39,Mar 25$ 2020,27017,2077
40,Mar 26$ 2020,29406,2234
41,Mar 27$ 2020,32332,2378
42,Mar 28$ 2020,35408,2517
43,Mar 29$ 2020,38309,2640
44,Mar 30$ 2020,41495,2757
45,Mar 31$ 2020,44605,2898
46,Apr 01$ 2020,47593,3036
47,Apr 02$ 2020,50468,3160
48,Apr 03$ 2020,53183,3294
49,Apr 04$ 2020,55743,3452
50,Apr 05$ 2020,58226,3603
51,Apr 06$ 2020,60500,3739
52,Apr 07$ 2020,62589,3872
53,Apr 08$ 2020,64586,3993
54,Apr 09$ 2020,66220,4110
55,Apr 10$ 2020,68192,4232
56,Apr 11$ 2020,70029,4357
57,Apr 12$ 2020,71686,4474
58,Apr 13$ 2020,73303,4585
59,Apr 14$ 2020,74877,4683
60,Apr 15$ 2020,76389,4777
61,Apr 16$ 2020,77995,4869
62,Apr 17$ 2020,79494,4958
63,Apr 18$ 2020,80868,5031
64,Apr 19$ 2020,82211,5118
65,Apr 20$ 2020,83505,5209
66,Apr 21$ 2020,84802,5297
67,Apr 22$ 2020,85996,5391
68,Apr 23$ 2020,87026,5481
69,Apr 24$ 2020,88194,5574
70,Apr 25$ 2020,89328,5650
71,Apr 26$ 2020,90481,5710
72,Apr 27$ 2020,91472,5806
73,Apr 28$ 2020,92584,5877
74,Apr 29$ 2020,93657,5957
75,Apr 30$ 2020,94640,6028
76,May 01$ 2020,95646,6091
77,May 02$ 2020,96448,6156
78,May 03$ 2020,97424,6203
79,May 04$ 2020,98647,6277
80,May 05$ 2020,99970,6340
81,May 06$ 2020,101650,6418
82,May 07$ 2020,103135,6486
83,May 08$ 2020,104691,6541
84,May 09$ 2020,106220,6589
85,May 10$ 2020,107603,6640
86,May 11$ 2020,109286,6685
87,May 12$ 2020,110767,6733
88,May 13$ 2020,112725,6783
89,May 14$ 2020,114533,6854
90,May 15$ 2020,116635,6902
91,May 16$ 2020,118392,6937
92,May 17$ 2020,120198,6988
93,May 18$ 2020,122492,7057
94,May 19$ 2020,124603,7119
95,May 20$ 2020,126949,7183
96,May 21$ 2020,129341,7249
97,May 22$ 2020,131652,7300
98,May 23$ 2020,133521,7359
99,May 24$ 2020,135701,7417
100,May 25$ 2020,137724,7451
101,May 26$ 2020,139511,7508
102,May 27$ 2020,141591,7564
103,May 28$ 2020,143849,7627
104,May 29$ 2020,146668,7677
105,May 30$ 2020,148950,7734
106,May 31$ 2020,151466,7797
107,Jun 01$ 2020,154445,7878
108,Jun 02$ 2020,157562,7942
109,Jun 03$ 2020,160696,8012
110,Jun 04$ 2020,164270,8071
111,Jun 05$ 2020,167156,8134
112,Jun 06$ 2020,169425,8209
113,Jun 07$ 2020,171789,8281
114,Jun 08$ 2020,173832,8351
115,Jun 09$ 2020,175927,8425
116,Jun 10$ 2020,177938,8506
117,Jun 11$ 2020,180156,8584
118,Jun 12$ 2020,182545,8659
119,Jun 13$ 2020,184955,8730
120,Jun 14$ 2020,187427,8837
121,Jun 15$ 2020,189876,8950
122,Jun 16$ 2020,192439,9065
123,Jun 17$ 2020,195051,9185
124,Jun 18$ 2020,197647,9272
125,Jun 19$ 2020,200262,9392
126,Jun 20$ 2020,202584,9507
127,Jun 21$ 2020,204952,9623
128,Jun 22$ 2020,207525,9742
129,Jun 23$ 2020,209970,9863
130,Jun 24$ 2020,212501,9996
131,Jun 25$ 2020,215096,10130
132,Jun 26$ 2020,217724,10239
133,Jun 27$ 2020,220180,10364
134,Jun 28$ 2020,222669,10508
135,Jun 29$ 2020,225205,10670
136,Jun 30$ 2020,227662,10817
137,Jul 01$ 2020,230211,10958
138,Jul 02$ 2020,232863,11106
139,Jul 03$ 2020,235429,11260
140,Jul 04$ 2020,237878,11408
141,Jul 05$ 2020,240438,11571
142,Jul 06$ 2020,243051,11731
143,Jul 07$ 2020,245688,11931
144,Jul 08$ 2020,248379,12084
145,Jul 09$ 2020,250458,12305
146,Jul 10$ 2020,252720,12447
147,Jul 11$ 2020,255117,12635
148,Jul 12$ 2020,257303,12829
149,Jul 13$ 2020,259652,13032
150,Jul 14$ 2020,262173,13211
151,Jul 15$ 2020,264561,13410
152,Jul 16$ 2020,267061,13608
153,Jul 17$ 2020,269440,13791
154,Jul 18$ 2020,271606,13979
155,Jul 19$ 2020,273788,14188
156,Jul 20$ 2020,276202,14405
157,Jul 21$ 2020,278827,14634
158,Jul 22$ 2020,281413,14853
159,Jul 23$ 2020,284034,15074
160,Jul 24$ 2020,286523,15289
161,Jul 25$ 2020,288839,15484
162,Jul 26$ 2020,291172,15700
163,Jul 27$ 2020,293606,15912
164,Jul 28$ 2020,296273,16147
165,Jul 29$ 2020,298909,16343
166,Jul 30$ 2020,301530,16569
167,Jul 31$ 2020,304204,16766
168,Aug 01$ 2020,306752,16982
169,Aug 02$ 2020,309437,17190
170,Aug 03$ 2020,312035,17405
171,Aug 04$ 2020,314786,17617
172,Aug 05$ 2020,317483,17802
173,Aug 06$ 2020,320117,17976
174,Aug 07$ 2020,322567,18132
175,Aug 08$ 2020,324692,18264
176,Aug 09$ 2020,326712,18427
177,Aug 10$ 2020,328844,18616
178,Aug 11$ 2020,331189,18800
179,Aug 12$ 2020,333699,18988
180,Aug 13$ 2020,336324,19162
181,Aug 14$ 2020,338825,19331
182,Aug 15$ 2020,341070,19492
183,Aug 16$ 2020,343203,19639
184,Aug 17$ 2020,345450,19804
185,Aug 18$ 2020,347835,19972
186,Aug 19$ 2020,350279,20125
187,Aug 20$ 2020,352558,20264
188,Aug 21$ 2020,354764,20376
189,Aug 22$ 2020,356792,20502
190,Aug 23$ 2020,358905,20643
191,Aug 24$ 2020,361150,20776
192,Aug 25$ 2020,363363,20901
193,Aug 26$ 2020,365606,21020
194,Aug 27$ 2020,367796,21137
195,Aug 28$ 2020,369911,21249
196,Aug 29$ 2020,371816,21359
197,Aug 30$ 2020,373570,21462
198,Aug 31$ 2020,375212,21571
199,Sep 01$ 2020,376894,21672
200,Sep 02$ 2020,378752,21797
201,Sep 03$ 2020,380746,21926
202,Sep 04$ 2020,382772,22044
203,Sep 05$ 2020,384666,22154
204,Sep 06$ 2020,386658,22293
205,Sep 07$ 2020,388810,22410
206,Sep 08$ 2020,391112,22542
207,Sep 09$ 2020,393425,22669
208,Sep 10$ 2020,395488,22798
209,Sep 11$ 2020,397801,22913
210,Sep 12$ 2020,399940,23029
211,Sep 13$ 2020,402029,23157
212,Sep 14$ 2020,404648,23313
213,Sep 15$ 2020,407353,23453
214,Sep 16$ 2020,410334,23632
215,Sep 17$ 2020,413149,23808
216,Sep 18$ 2020,416198,23952
217,Sep 19$ 2020,419043,24118
218,Sep 20$ 2020,422140,24301
219,Sep 21$ 2020,425481,24478
220,Sep 22$ 2020,429193,24656
221,Sep 23$ 2020,432798,24840
222,Sep 24$ 2020,436319,25015
223,Sep 25$ 2020,439882,25222
224,Sep 26$ 2020,443086,25394
225,Sep 27$ 2020,446448,25589
226,Sep 28$ 2020,449960,25779
227,Sep 29$ 2020,453637,25986
228,Sep 30$ 2020,457219,26169
229,Oct 01$ 2020,461044,26380
230,Oct 02$ 2020,464596,26567
231,Oct 03$ 2020,468119,26746
232,Oct 04$ 2020,471772,26957
233,Oct 05$ 2020,475674,27192
234,Oct 06$ 2020,479825,27419
235,Oct 07$ 2020,483844,27658
236,Oct 08$ 2020,488236,27888
237,Oct 09$ 2020,492378,28098
238,Oct 10$ 2020,496253,28293
239,Oct 11$ 2020,500075,28544
240,Oct 12$ 2020,504281,28816
241,Oct 13$ 2020,508389,29070
242,Oct 14$ 2020,513219,29349
243,Oct 15$ 2020,517835,29605
244,Oct 16$ 2020,522387,29870
245,Oct 17$ 2020,526490,30123
246,Oct 18$ 2020,530380,30375
247,Oct 19$ 2020,534631,30712
248,Oct 20$ 2020,539670,31034
249,Oct 21$ 2020,545286,31346
250,Oct 22$ 2020,550757,31650
251,Oct 23$ 2020,556891,31985
252,Oct 24$ 2020,562705,32320
253,Oct 25$ 2020,568896,32616
254,Oct 26$ 2020,574856,32953
255,Oct 27$ 2020,581824,33299
256,Oct 28$ 2020,588648,33714
257,Oct 29$ 2020,596941,34113
258,Oct 30$ 2020,604952,34478
259,Oct 31$ 2020,612772,34864
260,Nov 01$ 2020,620491,35298
261,Nov 02$ 2020,628780,35738
262,Nov 03$ 2020,637712,36160
263,Nov 04$ 2020,646164,36579
264,Nov 05$ 2020,654936,36985
265,Nov 06$ 2020,663800,37409
266,Nov 07$ 2020,673250,37832
267,Nov 08$ 2020,682486,38291
268,Nov 09$ 2020,692949,38749
269,Nov 10$ 2020,703288,39202
270,Nov 11$ 2020,715068,39664
271,Nov 12$ 2020,726585,40121
272,Nov 13$ 2020,738322,40582
273,Nov 14$ 2020,749525,41034
274,Nov 15$ 2020,762068,41493
275,Nov 16$ 2020,775121,41979
276,Nov 17$ 2020,788473,42461
277,Nov 18$ 2020,801894,42941
278,Nov 19$ 2020,815117,43417
279,Nov 20$ 2020,828377,43896
280,Nov 21$ 2020,841308,44327
281,Nov 22$ 2020,854361,44802
282,Nov 23$ 2020,866821,45255
283,Nov 24$ 2020,880542,45738
284,Nov 25$ 2020,894385,46207
285,Nov 26$ 2020,908346,46689
286,Nov 27$ 2020,922397,47095
287,Nov 28$ 2020,935799,47485
288,Nov 29$ 2020,948749,47875
289,Nov 30$ 2020,962070,48246
290,Dec 01$ 2020,975951,48628
291,Dec 02$ 2020,989572,48990
292,Dec 03$ 2020,1003494,49348
293,Dec 04$ 2020,1016835,49695
294,Dec 05$ 2020,1028986,50016
295,Dec 06$ 2020,1040547,50310
296,Dec 07$ 2020,1051374,50594
297,Dec 08$ 2020,1062397,50917
298,Dec 09$ 2020,1072620,51212
299,Dec 10$ 2020,1083023,51495
300,Dec 11$ 2020,1092617,51728
301,Dec 12$ 2020,1100818,51949
302,Dec 13$ 2020,1108269,52196
303,Dec 14$ 2020,1115770,52447
304,Dec 15$ 2020,1123474,52670
305,Dec 16$ 2020,1131077,52883
306,Dec 17$ 2020,1138530,53095
307,Dec 18$ 2020,1145651,53273
308,Dec 19$ 2020,1152072,53448
309,Dec 20$ 2020,1158384,53625
310,Dec 21$ 2020,1164535,53816
311,Dec 22$ 2020,1170743,54003
312,Dec 23$ 2020,1177004,54156
