,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,0,0
18,Mar 04$ 2020,0,0
19,Mar 05$ 2020,0,0
20,Mar 06$ 2020,0,0
21,Mar 07$ 2020,0,0
22,Mar 08$ 2020,3,0
23,Mar 09$ 2020,3,0
24,Mar 10$ 2020,3,0
25,Mar 11$ 2020,3,0
26,Mar 12$ 2020,3,0
27,Mar 13$ 2020,3,0
28,Mar 14$ 2020,5,0
29,Mar 15$ 2020,5,0
30,Mar 16$ 2020,8,0
31,Mar 17$ 2020,10,0
32,Mar 18$ 2020,14,1
33,Mar 19$ 2020,18,1
34,Mar 20$ 2020,20,1
35,Mar 21$ 2020,24,2
36,Mar 22$ 2020,27,2
37,Mar 23$ 2020,33,3
38,Mar 24$ 2020,39,4
39,Mar 25$ 2020,39,5
40,Mar 26$ 2020,44,5
41,Mar 27$ 2020,48,5
42,Mar 28$ 2020,48,5
43,Mar 29$ 2020,48,5
44,Mar 30$ 2020,49,5
45,Mar 31$ 2020,51,5
46,Apr 01$ 2020,54,6
47,Apr 02$ 2020,56,6
48,Apr 03$ 2020,61,6
49,Apr 04$ 2020,70,8
50,Apr 05$ 2020,88,9
51,Apr 06$ 2020,123,12
52,Apr 07$ 2020,164,17
53,Apr 08$ 2020,218,20
54,Apr 09$ 2020,330,21
55,Apr 10$ 2020,424,27
56,Apr 11$ 2020,482,30
57,Apr 12$ 2020,621,34
58,Apr 13$ 2020,803,39
59,Apr 14$ 2020,1012,46
60,Apr 15$ 2020,1231,50
61,Apr 16$ 2020,1572,60
62,Apr 17$ 2020,1838,75
63,Apr 18$ 2020,2144,84
64,Apr 19$ 2020,2456,91
65,Apr 20$ 2020,2948,101
66,Apr 21$ 2020,3382,110
67,Apr 22$ 2020,3772,120
68,Apr 23$ 2020,4186,127
69,Apr 24$ 2020,4689,131
70,Apr 25$ 2020,4998,140
71,Apr 26$ 2020,5416,145
72,Apr 27$ 2020,5913,152
73,Apr 28$ 2020,6462,155
74,Apr 29$ 2020,7103,163
75,Apr 30$ 2020,7667,168
76,May 01$ 2020,8238,170
77,May 02$ 2020,8790,175
78,May 03$ 2020,9455,177
79,May 04$ 2020,10143,182
80,May 05$ 2020,10929,183
81,May 06$ 2020,11719,186
82,May 07$ 2020,12425,199
83,May 08$ 2020,13134,206
84,May 09$ 2020,13770,214
85,May 10$ 2020,14657,228
86,May 11$ 2020,15691,239
87,May 12$ 2020,16660,250
88,May 13$ 2020,17822,269
89,May 14$ 2020,18863,283
90,May 15$ 2020,20065,298
91,May 16$ 2020,20995,314
92,May 17$ 2020,22268,328
93,May 18$ 2020,23870,349
94,May 19$ 2020,25121,370
95,May 20$ 2020,26738,386
96,May 21$ 2020,28511,408
97,May 22$ 2020,30205,432
98,May 23$ 2020,32078,452
99,May 24$ 2020,33610,480
100,May 25$ 2020,35585,501
101,May 26$ 2020,36751,522
102,May 27$ 2020,38292,544
103,May 28$ 2020,40321,559
104,May 29$ 2020,42844,582
105,May 30$ 2020,44608,610
106,May 31$ 2020,47153,650
107,Jun 01$ 2020,49534,672
108,Jun 02$ 2020,52445,709
109,Jun 03$ 2020,55140,746
110,Jun 04$ 2020,57563,781
111,Jun 05$ 2020,60391,811
112,Jun 06$ 2020,63026,846
113,Jun 07$ 2020,65769,888
114,Jun 08$ 2020,68504,930
115,Jun 09$ 2020,71675,975
116,Jun 10$ 2020,74865,1012
117,Jun 11$ 2020,78052,1049
118,Jun 12$ 2020,81523,1095
119,Jun 13$ 2020,84379,1139
120,Jun 14$ 2020,87520,1171
121,Jun 15$ 2020,90619,1209
122,Jun 16$ 2020,94481,1262
123,Jun 17$ 2020,98489,1305
124,Jun 18$ 2020,102292,1343
125,Jun 19$ 2020,105535,1388
126,Jun 20$ 2020,108775,1425
127,Jun 21$ 2020,112306,1464
128,Jun 22$ 2020,115786,1502
129,Jun 23$ 2020,119198,1545
130,Jun 24$ 2020,122660,1582
131,Jun 25$ 2020,126606,1621
132,Jun 26$ 2020,130474,1661
133,Jun 27$ 2020,133978,1695
134,Jun 28$ 2020,137787,1738
135,Jun 29$ 2020,141801,1783
136,Jun 30$ 2020,145483,1847
137,Jul 01$ 2020,149258,1888
138,Jul 02$ 2020,153277,1926
139,Jul 03$ 2020,156391,1968
140,Jul 04$ 2020,159679,1997
141,Jul 05$ 2020,162417,2052
142,Jul 06$ 2020,165618,2096
143,Jul 07$ 2020,168645,2151
144,Jul 08$ 2020,172134,2197
145,Jul 09$ 2020,175494,2238
146,Jul 10$ 2020,178443,2275
147,Jul 11$ 2020,181129,2305
148,Jul 12$ 2020,183795,2352
149,Jul 13$ 2020,186894,2391
150,Jul 14$ 2020,190057,2424
151,Jul 15$ 2020,193590,2457
152,Jul 16$ 2020,196323,2496
153,Jul 17$ 2020,199357,2547
154,Jul 18$ 2020,202066,2581
155,Jul 19$ 2020,204525,2618
156,Jul 20$ 2020,207453,2668
157,Jul 21$ 2020,210510,2709
158,Jul 22$ 2020,213254,2751
159,Jul 23$ 2020,216110,2801
160,Jul 24$ 2020,218658,2836
161,Jul 25$ 2020,221178,2874
162,Jul 26$ 2020,223453,2928
163,Jul 27$ 2020,226225,2965
164,Jul 28$ 2020,229185,3000
165,Jul 29$ 2020,232194,3035
166,Jul 30$ 2020,234889,3083
167,Jul 31$ 2020,237661,3111
168,Aug 01$ 2020,239860,3132
169,Aug 02$ 2020,240746,3154
170,Aug 03$ 2020,242102,3184
171,Aug 04$ 2020,244020,3234
172,Aug 05$ 2020,246674,3267
173,Aug 06$ 2020,249651,3306
174,Aug 07$ 2020,252502,3333
175,Aug 08$ 2020,255113,3365
176,Aug 09$ 2020,257600,3399
177,Aug 10$ 2020,260507,3438
178,Aug 11$ 2020,263503,3471
179,Aug 12$ 2020,266498,3513
180,Aug 13$ 2020,269115,3557
181,Aug 14$ 2020,271881,3591
182,Aug 15$ 2020,274525,3625
183,Aug 16$ 2020,276549,3657
184,Aug 17$ 2020,279144,3694
185,Aug 18$ 2020,282344,3740
186,Aug 19$ 2020,285091,3781
187,Aug 20$ 2020,287959,3822
188,Aug 21$ 2020,290360,3861
189,Aug 22$ 2020,292625,3907
190,Aug 23$ 2020,294598,3941
191,Aug 24$ 2020,297083,3983
192,Aug 25$ 2020,299628,4028
193,Aug 26$ 2020,302147,4082
194,Aug 27$ 2020,304583,4127
195,Aug 28$ 2020,306794,4174
196,Aug 29$ 2020,308925,4206
197,Aug 30$ 2020,310822,4248
198,Aug 31$ 2020,312996,4281
199,Sep 01$ 2020,314946,4316
200,Sep 02$ 2020,317528,4351
201,Sep 03$ 2020,319686,4383
202,Sep 04$ 2020,321615,4412
203,Sep 05$ 2020,323565,4447
204,Sep 06$ 2020,325157,4479
205,Sep 07$ 2020,327359,4516
206,Sep 08$ 2020,329251,4552
207,Sep 09$ 2020,331078,4593
208,Sep 10$ 2020,332970,4634
209,Sep 11$ 2020,334762,4668
210,Sep 12$ 2020,336044,4702
211,Sep 13$ 2020,337520,4733
212,Sep 14$ 2020,339332,4759
213,Sep 15$ 2020,341056,4802
214,Sep 16$ 2020,342671,4823
215,Sep 17$ 2020,344264,4859
216,Sep 18$ 2020,345805,4881
217,Sep 19$ 2020,347374,4913
218,Sep 20$ 2020,348916,4939
219,Sep 21$ 2020,350621,4979
220,Sep 22$ 2020,352178,5007
221,Sep 23$ 2020,353844,5044
222,Sep 24$ 2020,355384,5072
223,Sep 25$ 2020,356767,5093
224,Sep 26$ 2020,357873,5129
225,Sep 27$ 2020,359148,5161
226,Sep 28$ 2020,360555,5193
227,Sep 29$ 2020,362043,5219
228,Sep 30$ 2020,363479,5251
229,Oct 01$ 2020,364987,5272
230,Oct 02$ 2020,366383,5305
231,Oct 03$ 2020,367565,5325
232,Oct 04$ 2020,368690,5348
233,Oct 05$ 2020,370132,5375
234,Oct 06$ 2020,371631,5405
235,Oct 07$ 2020,373151,5440
236,Oct 08$ 2020,374592,5460
237,Oct 09$ 2020,375870,5477
238,Oct 10$ 2020,377073,5500
239,Oct 11$ 2020,378266,5524
240,Oct 12$ 2020,379738,5555
241,Oct 13$ 2020,381275,5577
242,Oct 14$ 2020,382959,5593
243,Oct 15$ 2020,384559,5608
244,Oct 16$ 2020,386086,5623
245,Oct 17$ 2020,387295,5646
246,Oct 18$ 2020,388569,5660
247,Oct 19$ 2020,390206,5681
248,Oct 20$ 2020,391586,5699
249,Oct 21$ 2020,393131,5723
250,Oct 22$ 2020,394827,5747
251,Oct 23$ 2020,396413,5761
252,Oct 24$ 2020,397507,5780
253,Oct 25$ 2020,398815,5803
254,Oct 26$ 2020,400251,5818
255,Oct 27$ 2020,401586,5838
256,Oct 28$ 2020,403079,5861
257,Oct 29$ 2020,404760,5886
258,Oct 30$ 2020,406364,5905
259,Oct 31$ 2020,407684,5923
260,Nov 01$ 2020,409252,5941
261,Nov 02$ 2020,410988,5966
262,Nov 03$ 2020,412647,5983
263,Nov 04$ 2020,414164,6004
264,Nov 05$ 2020,416006,6021
265,Nov 06$ 2020,417475,6036
266,Nov 07$ 2020,418764,6049
267,Nov 08$ 2020,420238,6067
268,Nov 09$ 2020,421921,6092
269,Nov 10$ 2020,423620,6108
270,Nov 11$ 2020,425353,6127
271,Nov 12$ 2020,427198,6140
272,Nov 13$ 2020,428965,6159
273,Nov 14$ 2020,430496,6173
274,Nov 15$ 2020,432333,6194
275,Nov 16$ 2020,434472,6215
276,Nov 17$ 2020,436684,6254
277,Nov 18$ 2020,438795,6275
278,Nov 19$ 2020,441159,6305
279,Nov 20$ 2020,443434,6322
280,Nov 21$ 2020,445281,6350
281,Nov 22$ 2020,447341,6388
282,Nov 23$ 2020,449760,6416
283,Nov 24$ 2020,451990,6448
284,Nov 25$ 2020,454146,6487
285,Nov 26$ 2020,456438,6524
286,Nov 27$ 2020,458711,6544
287,Nov 28$ 2020,460619,6580
288,Nov 29$ 2020,462407,6609
289,Nov 30$ 2020,464932,6644
290,Dec 01$ 2020,467225,6675
291,Dec 02$ 2020,469403,6713
292,Dec 03$ 2020,471739,6748
293,Dec 04$ 2020,473901,6772
294,Dec 05$ 2020,475879,6807
295,Dec 06$ 2020,477545,6838
296,Dec 07$ 2020,479743,6874
297,Dec 08$ 2020,481945,6906
298,Dec 09$ 2020,484104,6930
299,Dec 10$ 2020,485965,6967
300,Dec 11$ 2020,487849,6986
301,Dec 12$ 2020,489178,7020
302,Dec 13$ 2020,490533,7052
303,Dec 14$ 2020,492332,7089
304,Dec 15$ 2020,494209,7129
305,Dec 16$ 2020,495838,7156
306,Dec 17$ 2020,496975,7192
307,Dec 18$ 2020,498293,7217
308,Dec 19$ 2020,499560,7242
309,Dec 20$ 2020,500713,7280
310,Dec 21$ 2020,502183,7312
311,Dec 22$ 2020,503501,7329
312,Dec 23$ 2020,504868,7359
313,Dec 24$ 2020,506102,7378
314,Dec 25$ 2020,507265,7398
315,Dec 26$ 2020,508099,7428
316,Dec 27$ 2020,509148,7452
317,Dec 28$ 2020,510080,7479
318,Dec 29$ 2020,511261,7509
319,Dec 30$ 2020,512496,7531
320,Dec 31$ 2020,513510,7559
