,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,0,0
18,Mar 04$ 2020,0,0
19,Mar 05$ 2020,1,0
20,Mar 06$ 2020,1,0
21,Mar 07$ 2020,2,0
22,Mar 08$ 2020,3,0
23,Mar 09$ 2020,7,0
24,Mar 10$ 2020,7,0
25,Mar 11$ 2020,13,0
26,Mar 12$ 2020,16,0
27,Mar 13$ 2020,24,0
28,Mar 14$ 2020,38,0
29,Mar 15$ 2020,61,0
30,Mar 16$ 2020,64,0
31,Mar 17$ 2020,85,0
32,Mar 18$ 2020,116,0
33,Mar 19$ 2020,150,0
34,Mar 20$ 2020,202,0
35,Mar 21$ 2020,240,0
36,Mar 22$ 2020,274,0
37,Mar 23$ 2020,402,0
38,Mar 24$ 2020,554,0
39,Mar 25$ 2020,709,0
40,Mar 26$ 2020,927,0
41,Mar 27$ 2020,1170,1
42,Mar 28$ 2020,1187,1
43,Mar 29$ 2020,1280,1
44,Mar 30$ 2020,1326,1
45,Mar 31$ 2020,1353,2
46,Apr 01$ 2020,1380,2
47,Apr 02$ 2020,1462,2
48,Apr 03$ 2020,1505,3
49,Apr 04$ 2020,1585,3
50,Apr 05$ 2020,1655,4
51,Apr 06$ 2020,1686,5
52,Apr 07$ 2020,1749,7
53,Apr 08$ 2020,1845,8
54,Apr 09$ 2020,1934,9
55,Apr 10$ 2020,2003,9
56,Apr 11$ 2020,2028,10
57,Apr 12$ 2020,2173,10
58,Apr 13$ 2020,2272,11
59,Apr 14$ 2020,2415,12
60,Apr 15$ 2020,2506,13
61,Apr 16$ 2020,2605,13
62,Apr 17$ 2020,2783,13
63,Apr 18$ 2020,3034,15
64,Apr 19$ 2020,3158,16
65,Apr 20$ 2020,3300,17
66,Apr 21$ 2020,3465,17
67,Apr 22$ 2020,3635,24
68,Apr 23$ 2020,3953,28
69,Apr 24$ 2020,4220,30
70,Apr 25$ 2020,4361,32
71,Apr 26$ 2020,4546,33
72,Apr 27$ 2020,4793,35
73,Apr 28$ 2020,4996,38
74,Apr 29$ 2020,5350,42
75,Apr 30$ 2020,5647,42
76,May 01$ 2020,5951,55
77,May 02$ 2020,6336,56
78,May 03$ 2020,6783,58
79,May 04$ 2020,7220,64
80,May 05$ 2020,7572,71
81,May 06$ 2020,7808,73
82,May 07$ 2020,8232,79
83,May 08$ 2020,8895,88
84,May 09$ 2020,9420,95
85,May 10$ 2020,10015,98
86,May 11$ 2020,10652,106
87,May 12$ 2020,11350,106
88,May 13$ 2020,12074,117
89,May 14$ 2020,12739,129
90,May 15$ 2020,13524,137
91,May 16$ 2020,14355,149
92,May 17$ 2020,15515,149
93,May 18$ 2020,16433,166
94,May 19$ 2020,17200,187
95,May 20$ 2020,18003,210
96,May 21$ 2020,19137,235
97,May 22$ 2020,20125,257
98,May 23$ 2020,21343,261
99,May 24$ 2020,22583,281
100,May 25$ 2020,23615,330
101,May 26$ 2020,24264,363
102,May 27$ 2020,25937,391
103,May 28$ 2020,27403,406
104,May 29$ 2020,29240,437
105,May 30$ 2020,30967,465
106,May 31$ 2020,32683,503
107,Jun 01$ 2020,34357,525
108,Jun 02$ 2020,35812,568
109,Jun 03$ 2020,37525,597
110,Jun 04$ 2020,40792,651
111,Jun 05$ 2020,43434,704
112,Jun 06$ 2020,45973,729
113,Jun 07$ 2020,48285,774
114,Jun 08$ 2020,50879,829
115,Jun 09$ 2020,52991,890
116,Jun 10$ 2020,55421,927
117,Jun 11$ 2020,58568,966
118,Jun 12$ 2020,61927,1005
119,Jun 13$ 2020,65736,1041
120,Jun 14$ 2020,70038,1083
121,Jun 15$ 2020,73533,1156
122,Jun 16$ 2020,76334,1200
123,Jun 17$ 2020,80412,1243
124,Jun 18$ 2020,83890,1300
125,Jun 19$ 2020,87715,1360
126,Jun 20$ 2020,92681,1392
127,Jun 21$ 2020,97302,1419
128,Jun 22$ 2020,101590,1458
129,Jun 23$ 2020,106108,1536
130,Jun 24$ 2020,111796,1599
131,Jun 25$ 2020,118375,1652
132,Jun 26$ 2020,124590,1692
133,Jun 27$ 2020,131800,1732
134,Jun 28$ 2020,138134,1764
135,Jun 29$ 2020,144264,1807
136,Jun 30$ 2020,151209,1859
137,Jul 01$ 2020,159333,1896
138,Jul 02$ 2020,168061,1925
139,Jul 03$ 2020,177124,1983
140,Jul 04$ 2020,187977,2026
141,Jul 05$ 2020,196750,2066
142,Jul 06$ 2020,205721,2101
143,Jul 07$ 2020,215855,2145
144,Jul 08$ 2020,224665,2192
145,Jul 09$ 2020,238339,2229
146,Jul 10$ 2020,250687,2295
147,Jul 11$ 2020,264184,2333
148,Jul 12$ 2020,276242,2348
149,Jul 13$ 2020,287796,2385
150,Jul 14$ 2020,298292,2429
151,Jul 15$ 2020,311049,2467
152,Jul 16$ 2020,324221,2514
153,Jul 17$ 2020,337594,2550
154,Jul 18$ 2020,350879,2593
155,Jul 19$ 2020,364328,2619
156,Jul 20$ 2020,373628,2669
157,Jul 21$ 2020,381798,2717
158,Jul 22$ 2020,394948,2752
159,Jul 23$ 2020,408052,2780
160,Jul 24$ 2020,421996,2827
161,Jul 25$ 2020,434200,2845
162,Jul 26$ 2020,445433,2875
163,Jul 27$ 2020,452529,2911
164,Jul 28$ 2020,459761,2960
165,Jul 29$ 2020,471123,2983
166,Jul 30$ 2020,482169,3017
167,Jul 31$ 2020,493183,3050
168,Aug 01$ 2020,503290,3074
169,Aug 02$ 2020,511485,3117
170,Aug 03$ 2020,516862,3148
171,Aug 04$ 2020,521318,3185
172,Aug 05$ 2020,529877,3219
173,Aug 06$ 2020,538184,3265
174,Aug 07$ 2020,545476,3294
175,Aug 08$ 2020,553188,3316
176,Aug 09$ 2020,559859,3339
177,Aug 10$ 2020,563598,3369
178,Aug 11$ 2020,566109,3394
179,Aug 12$ 2020,568919,3425
180,Aug 13$ 2020,572865,3446
181,Aug 14$ 2020,579140,3474
182,Aug 15$ 2020,583653,3500
183,Aug 16$ 2020,587345,3520
184,Aug 17$ 2020,589886,3552
185,Aug 18$ 2020,592144,3586
186,Aug 19$ 2020,596060,3615
187,Aug 20$ 2020,599940,3628
188,Aug 21$ 2020,603338,3653
189,Aug 22$ 2020,607045,3658
190,Aug 23$ 2020,609773,3666
191,Aug 24$ 2020,611450,3685
192,Aug 25$ 2020,613017,3703
193,Aug 26$ 2020,615701,3763
194,Aug 27$ 2020,618286,3783
195,Aug 28$ 2020,620132,3793
196,Aug 29$ 2020,622551,3802
197,Aug 30$ 2020,625056,3809
198,Aug 31$ 2020,627041,3833
199,Sep 01$ 2020,628259,3853
200,Sep 02$ 2020,630595,3869
201,Sep 03$ 2020,633015,3886
202,Sep 04$ 2020,635078,3890
203,Sep 05$ 2020,636884,3900
204,Sep 06$ 2020,638517,3901
205,Sep 07$ 2020,639362,3914
206,Sep 08$ 2020,640441,3934
207,Sep 09$ 2020,642431,3956
208,Sep 10$ 2020,644438,3962
209,Sep 11$ 2020,646398,3980
210,Sep 12$ 2020,648214,3993
211,Sep 13$ 2020,649793,3999
212,Sep 14$ 2020,650749,4006
213,Sep 15$ 2020,651521,4019
214,Sep 16$ 2020,653444,4028
215,Sep 17$ 2020,655572,4040
216,Sep 18$ 2020,657627,4047
217,Sep 19$ 2020,659656,4051
218,Sep 20$ 2020,661211,4057
219,Sep 21$ 2020,661936,4061
220,Sep 22$ 2020,663282,4078
221,Sep 23$ 2020,665188,4091
222,Sep 24$ 2020,667049,4095
223,Sep 25$ 2020,668529,4099
224,Sep 26$ 2020,669498,4100
225,Sep 27$ 2020,670766,4103
226,Sep 28$ 2020,671669,4107
227,Sep 29$ 2020,672572,4113
228,Sep 30$ 2020,674339,4122
229,Oct 01$ 2020,676084,4128
230,Oct 02$ 2020,677833,4136
231,Oct 03$ 2020,679716,4143
232,Oct 04$ 2020,681289,4144
233,Oct 05$ 2020,682215,4148
234,Oct 06$ 2020,683242,4163
235,Oct 07$ 2020,685155,4171
236,Oct 08$ 2020,686891,4179
237,Oct 09$ 2020,688352,4184
238,Oct 10$ 2020,690896,4192
239,Oct 11$ 2020,692471,4193
240,Oct 12$ 2020,693359,4200
241,Oct 13$ 2020,694537,4211
242,Oct 14$ 2020,696414,4216
243,Oct 15$ 2020,698184,4220
244,Oct 16$ 2020,700203,4220
245,Oct 17$ 2020,702131,4220
246,Oct 18$ 2020,703793,4220
247,Oct 19$ 2020,705254,4228
248,Oct 20$ 2020,706304,4236
249,Oct 21$ 2020,708359,4241
250,Oct 22$ 2020,710515,4256
251,Oct 23$ 2020,712412,4257
252,Oct 24$ 2020,714246,4263
253,Oct 25$ 2020,715868,4265
254,Oct 26$ 2020,716759,4272
255,Oct 27$ 2020,717851,4283
256,Oct 28$ 2020,719714,4293
257,Oct 29$ 2020,721770,4293
258,Oct 30$ 2020,723682,4297
259,Oct 31$ 2020,725452,4301
260,Nov 01$ 2020,726823,4305
261,Nov 02$ 2020,727595,4309
262,Nov 03$ 2020,728836,4320
263,Nov 04$ 2020,730548,4324
264,Nov 05$ 2020,732414,4329
265,Nov 06$ 2020,734175,4333
266,Nov 07$ 2020,735906,4337
267,Nov 08$ 2020,737278,4337
268,Nov 09$ 2020,738525,4343
269,Nov 10$ 2020,740254,4358
270,Nov 11$ 2020,742394,4362
271,Nov 12$ 2020,744732,4370
272,Nov 13$ 2020,746945,4381
273,Nov 14$ 2020,749182,4389
274,Nov 15$ 2020,751024,4393
275,Nov 16$ 2020,752269,4404
276,Nov 17$ 2020,754256,4415
277,Nov 18$ 2020,757144,4427
278,Nov 19$ 2020,759658,4442
279,Nov 20$ 2020,762763,4445
280,Nov 21$ 2020,765409,4454
281,Nov 22$ 2020,767679,4463
282,Nov 23$ 2020,769759,4470
283,Nov 24$ 2020,772252,4486
284,Nov 25$ 2020,775502,4516
285,Nov 26$ 2020,778571,4534
286,Nov 27$ 2020,781941,4541
287,Nov 28$ 2020,785139,4556
288,Nov 29$ 2020,787702,4569
289,Nov 30$ 2020,790004,4584
290,Dec 01$ 2020,792299,4611
291,Dec 02$ 2020,796472,4641
292,Dec 03$ 2020,800872,4669
293,Dec 04$ 2020,805804,4700
294,Dec 05$ 2020,810449,4720
295,Dec 06$ 2020,814565,4734
296,Dec 07$ 2020,817878,4760
297,Dec 08$ 2020,821889,4810
298,Dec 09$ 2020,828598,4858
299,Dec 10$ 2020,836764,4910
300,Dec 11$ 2020,845083,4952
301,Dec 12$ 2020,852965,4983
302,Dec 13$ 2020,860964,5037
303,Dec 14$ 2020,866127,5069
304,Dec 15$ 2020,873679,5139
305,Dec 16$ 2020,883687,5170
306,Dec 17$ 2020,892813,5228
307,Dec 18$ 2020,901538,5329
308,Dec 19$ 2020,912477,5403
309,Dec 20$ 2020,921922,5433
310,Dec 21$ 2020,930711,5517
311,Dec 22$ 2020,940212,5659
312,Dec 23$ 2020,954258,5830
313,Dec 24$ 2020,968563,5940
314,Dec 25$ 2020,983359,6047
315,Dec 26$ 2020,994911,6102
316,Dec 27$ 2020,100441,6158
317,Dec 28$ 2020,101187,6306
318,Dec 29$ 2020,1021451,6464
319,Dec 30$ 2020,1039161,6629
