,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,1,0
18,Mar 04$ 2020,1,0
19,Mar 05$ 2020,2,0
20,Mar 06$ 2020,8,0
21,Mar 07$ 2020,9,1
22,Mar 08$ 2020,12,2
23,Mar 09$ 2020,17,2
24,Mar 10$ 2020,19,2
25,Mar 11$ 2020,21,3
26,Mar 12$ 2020,31,3
27,Mar 13$ 2020,34,6
28,Mar 14$ 2020,45,6
29,Mar 15$ 2020,56,6
30,Mar 16$ 2020,65,6
31,Mar 17$ 2020,79,6
32,Mar 18$ 2020,97,6
33,Mar 19$ 2020,128,9
34,Mar 20$ 2020,158,9
35,Mar 21$ 2020,158,12
36,Mar 22$ 2020,266,12
37,Mar 23$ 2020,301,12
38,Mar 24$ 2020,387,17
39,Mar 25$ 2020,502,22
40,Mar 26$ 2020,589,32
41,Mar 27$ 2020,589,35
42,Mar 28$ 2020,745,51
43,Mar 29$ 2020,820,54
44,Mar 30$ 2020,820,62
45,Mar 31$ 2020,1054,72
46,Apr 01$ 2020,1133,85
47,Apr 02$ 2020,1265,95
48,Apr 03$ 2020,1353,111
49,Apr 04$ 2020,1451,114
50,Apr 05$ 2020,1554,122
51,Apr 06$ 2020,1628,140
52,Apr 07$ 2020,1715,158
53,Apr 08$ 2020,1795,171
54,Apr 09$ 2020,1894,208
55,Apr 10$ 2020,1975,216
56,Apr 11$ 2020,2142,234
57,Apr 12$ 2020,2142,237
58,Apr 13$ 2020,2277,258
59,Apr 14$ 2020,2277,268
60,Apr 15$ 2020,2571,294
61,Apr 16$ 2020,2669,320
62,Apr 17$ 2020,2669,323
63,Apr 18$ 2020,2839,347
64,Apr 19$ 2020,2941,352
65,Apr 20$ 2020,3031,373
66,Apr 21$ 2020,3144,397
67,Apr 22$ 2020,3288,418
68,Apr 23$ 2020,3435,434
69,Apr 24$ 2020,3607,463
70,Apr 25$ 2020,3780,487
71,Apr 26$ 2020,3892,505
72,Apr 27$ 2020,4003,518
73,Apr 28$ 2020,4127,544
74,Apr 29$ 2020,4285,562
75,Apr 30$ 2020,4428,572
76,May 01$ 2020,4532,590
77,May 02$ 2020,4681,621
78,May 03$ 2020,4783,645
79,May 04$ 2020,4887,682
80,May 05$ 2020,5020,692
81,May 06$ 2020,5208,716
82,May 07$ 2020,5371,740
83,May 08$ 2020,5611,769
84,May 09$ 2020,5776,787
85,May 10$ 2020,6034,800
86,May 11$ 2020,6278,824
87,May 12$ 2020,6563,837
88,May 13$ 2020,6879,863
89,May 14$ 2020,7134,926
90,May 15$ 2020,7479,934
91,May 16$ 2020,7805,952
92,May 17$ 2020,8068,978
93,May 18$ 2020,8371,1002
94,May 19$ 2020,8809,1031
95,May 20$ 2020,9283,1057
96,May 21$ 2020,9931,1091
97,May 22$ 2020,10649,1136
98,May 23$ 2020,11353,1167
99,May 24$ 2020,12076,1185
100,May 25$ 2020,12628,1224
101,May 26$ 2020,13228,1269
102,May 27$ 2020,13933,1311
103,May 28$ 2020,14702,1332
104,May 29$ 2020,15419,1363
105,May 30$ 2020,16214,1384
106,May 31$ 2020,16851,1413
107,Jun 01$ 2020,17415,1458
108,Jun 02$ 2020,18319,1492
109,Jun 03$ 2020,19268,1529
110,Jun 04$ 2020,20197,1595
111,Jun 05$ 2020,21037,1658
112,Jun 06$ 2020,22020,1700
113,Jun 07$ 2020,22794,1742
114,Jun 08$ 2020,23620,1818
115,Jun 09$ 2020,24761,1881
116,Jun 10$ 2020,25987,1928
117,Jun 11$ 2020,27373,2007
118,Jun 12$ 2020,28764,2059
119,Jun 13$ 2020,30295,2138
120,Jun 14$ 2020,31577,2185
121,Jun 15$ 2020,32785,2240
122,Jun 16$ 2020,34159,2303
123,Jun 17$ 2020,35552,2395
124,Jun 18$ 2020,37510,2487
125,Jun 19$ 2020,39570,2568
126,Jun 20$ 2020,41204,2602
127,Jun 21$ 2020,42785,2652
128,Jun 22$ 2020,44931,2736
129,Jun 23$ 2020,47203,2828
130,Jun 24$ 2020,49851,2928
131,Jun 25$ 2020,52457,3017
132,Jun 26$ 2020,55343,3106
133,Jun 27$ 2020,57744,3166
134,Jun 28$ 2020,59933,3232
135,Jun 29$ 2020,62268,3358
136,Jun 30$ 2020,64530,3429
137,Jul 01$ 2020,67197,3476
138,Jul 02$ 2020,69941,3561
139,Jul 03$ 2020,72786,3682
140,Jul 04$ 2020,75376,3808
141,Jul 05$ 2020,77815,3923
142,Jul 06$ 2020,80447,4019
143,Jul 07$ 2020,83426,4173
144,Jul 08$ 2020,87030,4332
145,Jul 09$ 2020,90693,4511
146,Jul 10$ 2020,94060,4643
147,Jul 11$ 2020,97509,4770
148,Jul 12$ 2020,100166,4935
149,Jul 13$ 2020,103265,5055
150,Jul 14$ 2020,106910,5262
151,Jul 15$ 2020,111146,5455
152,Jul 16$ 2020,114783,5636
153,Jul 17$ 2020,119301,5847
154,Jul 18$ 2020,122524,6039
155,Jul 19$ 2020,126755,6159
156,Jul 20$ 2020,130774,6311
157,Jul 21$ 2020,136118,6523
158,Jul 22$ 2020,141900,6767
159,Jul 23$ 2020,148027,6985
160,Jul 24$ 2020,153520,7231
161,Jul 25$ 2020,158334,7420
162,Jul 26$ 2020,162526,7559
163,Jul 27$ 2020,167416,7721
164,Jul 28$ 2020,173355,7927
165,Jul 29$ 2020,178996,8117
166,Jul 30$ 2020,185373,8310
167,Jul 31$ 2020,191302,8506
168,Aug 01$ 2020,196543,8717
169,Aug 02$ 2020,201919,8854
170,Aug 03$ 2020,206743,9037
171,Aug 04$ 2020,213535,9303
172,Aug 05$ 2020,220682,9568
173,Aug 06$ 2020,228195,9844
174,Aug 07$ 2020,235677,10119
175,Aug 08$ 2020,241811,10318
176,Aug 09$ 2020,246499,10451
177,Aug 10$ 2020,253868,10605
178,Aug 11$ 2020,260911,10820
179,Aug 12$ 2020,268574,11069
180,Aug 13$ 2020,276072,11288
181,Aug 14$ 2020,282437,11531
182,Aug 15$ 2020,289100,11761
183,Aug 16$ 2020,294569,11920
184,Aug 17$ 2020,299126,12091
185,Aug 18$ 2020,305966,12270
186,Aug 19$ 2020,312659,12551
187,Aug 20$ 2020,320884,12812
188,Aug 21$ 2020,329043,13085
189,Aug 22$ 2020,336802,13314
190,Aug 23$ 2020,342154,13672
191,Aug 24$ 2020,350867,14004
192,Aug 25$ 2020,359638,14286
193,Aug 26$ 2020,370188,14610
194,Aug 27$ 2020,380292,14910
195,Aug 28$ 2020,392009,15200
196,Aug 29$ 2020,401239,15381
197,Aug 30$ 2020,408426,15558
198,Aug 31$ 2020,417735,15860
199,Sep 01$ 2020,428239,16161
200,Sep 02$ 2020,439172,16428
201,Sep 03$ 2020,451198,16675
202,Sep 04$ 2020,461882,16927
203,Sep 05$ 2020,471806,17098
204,Sep 06$ 2020,478792,17234
205,Sep 07$ 2020,488007,17515
206,Sep 08$ 2020,500034,17746
207,Sep 09$ 2020,512293,17968
208,Sep 10$ 2020,524198,18216
209,Sep 11$ 2020,535705,18409
210,Sep 12$ 2020,546481,18583
211,Sep 13$ 2020,555537,18689
212,Sep 14$ 2020,565446,18883
213,Sep 15$ 2020,577338,19051
214,Sep 16$ 2020,589012,19201
215,Sep 17$ 2020,601713,19359
216,Sep 18$ 2020,613658,19530
217,Sep 19$ 2020,622934,19630
218,Sep 20$ 2020,631365,19694
219,Sep 21$ 2020,640147,19796
220,Sep 22$ 2020,652174,19885
221,Sep 23$ 2020,664799,19994
222,Sep 24$ 2020,678266,20061
223,Sep 25$ 2020,691235,20122
224,Sep 26$ 2020,702484,20162
225,Sep 27$ 2020,711325,20185
226,Sep 28$ 2020,723132,20234
227,Sep 29$ 2020,736609,20267
228,Sep 30$ 2020,751001,20282
229,Oct 01$ 2020,765002,20288
230,Oct 02$ 2020,779689,20599
231,Oct 03$ 2020,790818,20795
232,Oct 04$ 2020,798486,21018
233,Oct 05$ 2020,809728,21468
234,Oct 06$ 2020,824468,21827
235,Oct 07$ 2020,840915,22226
236,Oct 08$ 2020,856369,22710
237,Oct 09$ 2020,871468,23225
238,Oct 10$ 2020,883882,23581
239,Oct 11$ 2020,894206,23868
240,Oct 12$ 2020,903730,24186
241,Oct 13$ 2020,917035,24572
242,Oct 14$ 2020,931967,24921
243,Oct 15$ 2020,949063,25342
244,Oct 16$ 2020,965609,25723
245,Oct 17$ 2020,979119,26107
246,Oct 18$ 2020,989680,26267
247,Oct 19$ 2020,1002662,26716
248,Oct 20$ 2020,1018999,27100
249,Oct 21$ 2020,1037325,27519
250,Oct 22$ 2020,1053650,27957
251,Oct 23$ 2020,1069368,28338
252,Oct 24$ 2020,1081336,28613
253,Oct 25$ 2020,1090589,28896
254,Oct 26$ 2020,1102301,29301
255,Oct 27$ 2020,1116609,29730
256,Oct 28$ 2020,1130533,30071
257,Oct 29$ 2020,1143800,30442
258,Oct 30$ 2020,1157179,30792
259,Oct 31$ 2020,1166924,31002
260,Nov 01$ 2020,1173533,31140
261,Nov 02$ 2020,1183131,31623
262,Nov 03$ 2020,1195276,32052
263,Nov 04$ 2020,1205928,32520
264,Nov 05$ 2020,1217028,32766
265,Nov 06$ 2020,1228814,33136
266,Nov 07$ 2020,1236851,33348
267,Nov 08$ 2020,1242182,33560
268,Nov 09$ 2020,1250499,33907
269,Nov 10$ 2020,1262476,34183
270,Nov 11$ 2020,1273356,34531
271,Nov 12$ 2020,1284519,34782
272,Nov 13$ 2020,1296378,35045
273,Nov 14$ 2020,1304846,35307
274,Nov 15$ 2020,1310491,35436
275,Nov 16$ 2020,1318384,35727
276,Nov 17$ 2020,1329005,36106
277,Nov 18$ 2020,1339337,36347
278,Nov 19$ 2020,1349434,36532
279,Nov 20$ 2020,1359042,36790
280,Nov 21$ 2020,1366182,36902
281,Nov 22$ 2020,1370366,37002
282,Nov 23$ 2020,1374631,37122
283,Nov 24$ 2020,1381795,37432
284,Nov 25$ 2020,1390388,37714
285,Nov 26$ 2020,1399431,37941
286,Nov 27$ 2020,1407277,38216
287,Nov 28$ 2020,1413375,38322
288,Nov 29$ 2020,1418807,38473
289,Nov 30$ 2020,1424533,38730
290,Dec 01$ 2020,1432570,38928
291,Dec 02$ 2020,1440103,39156
292,Dec 03$ 2020,1447732,39305
293,Dec 04$ 2020,1454631,39512
294,Dec 05$ 2020,1459832,39632
295,Dec 06$ 2020,1463110,39770
296,Dec 07$ 2020,1466309,39888
297,Dec 08$ 2020,1469919,40009
298,Dec 09$ 2020,1475222,40222
299,Dec 10$ 2020,1482216,40431
300,Dec 11$ 2020,1489328,40606
301,Dec 12$ 2020,1494602,40668
302,Dec 13$ 2020,1498160,40766
303,Dec 14$ 2020,1503222,41041
304,Dec 15$ 2020,1510203,41204
305,Dec 16$ 2020,1517046,41365
306,Dec 17$ 2020,1524372,41534
307,Dec 18$ 2020,1531374,41672
308,Dec 19$ 2020,1537169,41763
309,Dec 20$ 2020,1541285,41813
310,Dec 21$ 2020,1547138,41997
311,Dec 22$ 2020,1555279,42254
312,Dec 23$ 2020,1563865,42314
313,Dec 24$ 2020,1571680,42392
314,Dec 25$ 2020,1574554,42422
