,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,1,0
7,Feb 22$ 2020,1,0
8,Feb 23$ 2020,2,0
9,Feb 24$ 2020,2,0
10,Feb 25$ 2020,2,0
11,Feb 26$ 2020,2,0
12,Feb 27$ 2020,3,0
13,Feb 28$ 2020,7,0
14,Feb 29$ 2020,7,0
15,Mar 01$ 2020,10,0
16,Mar 02$ 2020,12,0
17,Mar 03$ 2020,12,0
18,Mar 04$ 2020,15,0
19,Mar 05$ 2020,17,0
20,Mar 06$ 2020,21,0
21,Mar 07$ 2020,25,0
22,Mar 08$ 2020,39,0
23,Mar 09$ 2020,50,0
24,Mar 10$ 2020,75,0
25,Mar 11$ 2020,97,0
26,Mar 12$ 2020,109,0
27,Mar 13$ 2020,143,0
28,Mar 14$ 2020,193,0
29,Mar 15$ 2020,213,0
30,Mar 16$ 2020,298,0
31,Mar 17$ 2020,337,0
32,Mar 18$ 2020,433,0
33,Mar 19$ 2020,677,0
34,Mar 20$ 2020,705,1
35,Mar 21$ 2020,883,1
36,Mar 22$ 2020,1071,1
37,Mar 23$ 2020,1442,1
38,Mar 24$ 2020,1930,3
39,Mar 25$ 2020,2369,5
40,Mar 26$ 2020,2693,8
41,Mar 27$ 2020,3035,12
42,Mar 28$ 2020,3619,12
43,Mar 29$ 2020,4247,15
44,Mar 30$ 2020,4695,16
45,Mar 31$ 2020,5358,20
46,Apr 01$ 2020,6092,26
47,Apr 02$ 2020,6857,36
48,Apr 03$ 2020,7428,40
49,Apr 04$ 2020,7851,44
50,Apr 05$ 2020,8430,49
51,Apr 06$ 2020,8904,57
52,Apr 07$ 2020,9248,65
53,Apr 08$ 2020,9404,73
54,Apr 09$ 2020,9968,86
55,Apr 10$ 2020,10408,95
56,Apr 11$ 2020,10743,101
57,Apr 12$ 2020,11145,103
58,Apr 13$ 2020,11586,116
59,Apr 14$ 2020,12046,123
60,Apr 15$ 2020,12501,130
61,Apr 16$ 2020,12758,142
62,Apr 17$ 2020,12982,151
63,Apr 18$ 2020,13265,164
64,Apr 19$ 2020,13491,172
65,Apr 20$ 2020,13713,177
66,Apr 21$ 2020,13942,184
67,Apr 22$ 2020,14498,189
68,Apr 23$ 2020,14803,192
69,Apr 24$ 2020,15058,194
70,Apr 25$ 2020,15298,199
71,Apr 26$ 2020,15443,201
72,Apr 27$ 2020,15555,204
73,Apr 28$ 2020,15728,210
74,Apr 29$ 2020,15834,215
75,Apr 30$ 2020,15946,222
76,May 01$ 2020,16101,225
77,May 02$ 2020,16185,229
78,May 03$ 2020,16208,232
79,May 04$ 2020,16246,235
80,May 05$ 2020,16289,238
81,May 06$ 2020,16310,239
82,May 07$ 2020,16381,240
83,May 08$ 2020,16436,245
84,May 09$ 2020,16454,247
85,May 10$ 2020,16477,252
86,May 11$ 2020,16506,258
87,May 12$ 2020,16529,260
88,May 13$ 2020,16548,264
89,May 14$ 2020,16579,265
90,May 15$ 2020,16589,266
91,May 16$ 2020,16607,268
92,May 17$ 2020,16617,272
93,May 18$ 2020,16643,276
94,May 19$ 2020,16659,278
95,May 20$ 2020,16667,279
96,May 21$ 2020,16683,279
97,May 22$ 2020,16690,279
98,May 23$ 2020,16712,279
99,May 24$ 2020,16717,279
100,May 25$ 2020,16734,281
101,May 26$ 2020,16757,281
102,May 27$ 2020,16793,281
103,May 28$ 2020,16872,284
104,May 29$ 2020,16987,284
105,May 30$ 2020,17012,284
106,May 31$ 2020,17071,285
107,Jun 01$ 2020,17169,285
108,Jun 02$ 2020,17285,290
109,Jun 03$ 2020,17377,291
110,Jun 04$ 2020,17495,291
111,Jun 05$ 2020,17562,291
112,Jun 06$ 2020,17752,295
113,Jun 07$ 2020,17863,298
114,Jun 08$ 2020,18032,298
115,Jun 09$ 2020,18180,299
116,Jun 10$ 2020,18355,299
117,Jun 11$ 2020,18569,300
118,Jun 12$ 2020,18795,300
119,Jun 13$ 2020,18972,300
120,Jun 14$ 2020,19055,300
121,Jun 15$ 2020,19237,302
122,Jun 16$ 2020,19495,302
123,Jun 17$ 2020,19783,303
124,Jun 18$ 2020,20036,303
125,Jun 19$ 2020,20339,304
126,Jun 20$ 2020,20633,305
127,Jun 21$ 2020,20778,306
128,Jun 22$ 2020,21082,307
129,Jun 23$ 2020,21512,308
130,Jun 24$ 2020,22044,308
131,Jun 25$ 2020,22400,309
132,Jun 26$ 2020,22800,314
133,Jun 27$ 2020,23421,317
134,Jun 28$ 2020,23755,318
135,Jun 29$ 2020,24441,319
136,Jun 30$ 2020,25244,320
137,Jul 01$ 2020,26257,322
138,Jul 02$ 2020,27047,324
139,Jul 03$ 2020,28055,326
140,Jul 04$ 2020,29170,330
141,Jul 05$ 2020,29958,331
142,Jul 06$ 2020,30749,334
143,Jul 07$ 2020,32222,342
144,Jul 08$ 2020,33557,344
145,Jul 09$ 2020,34825,348
146,Jul 10$ 2020,36266,351
147,Jul 11$ 2020,37464,354
148,Jul 12$ 2020,38670,362
149,Jul 13$ 2020,40632,365
150,Jul 14$ 2020,42360,371
151,Jul 15$ 2020,44188,376
152,Jul 16$ 2020,46059,384
153,Jul 17$ 2020,47459,392
154,Jul 18$ 2020,49365,401
155,Jul 19$ 2020,50289,409
156,Jul 20$ 2020,52003,415
157,Jul 21$ 2020,54042,425
158,Jul 22$ 2020,56085,430
159,Jul 23$ 2020,57982,442
160,Jul 24$ 2020,59475,448
161,Jul 25$ 2020,60678,457
162,Jul 26$ 2020,61956,470
163,Jul 27$ 2020,63985,474
164,Jul 28$ 2020,66293,486
165,Jul 29$ 2020,68299,491
166,Jul 30$ 2020,70036,500
167,Jul 31$ 2020,70970,512
168,Aug 01$ 2020,72218,526
169,Aug 02$ 2020,72815,536
170,Aug 03$ 2020,74430,546
171,Aug 04$ 2020,76198,561
172,Aug 05$ 2020,77919,565
173,Aug 06$ 2020,79559,576
174,Aug 07$ 2020,80991,581
175,Aug 08$ 2020,82324,593
176,Aug 09$ 2020,83002,600
177,Aug 10$ 2020,84722,613
178,Aug 11$ 2020,86593,622
179,Aug 12$ 2020,88151,639
180,Aug 13$ 2020,89822,651
181,Aug 14$ 2020,91080,665
182,Aug 15$ 2020,92233,674
183,Aug 16$ 2020,92680,685
184,Aug 17$ 2020,94751,692
185,Aug 18$ 2020,96409,708
186,Aug 19$ 2020,97969,781
187,Aug 20$ 2020,99599,795
188,Aug 21$ 2020,100716,809
189,Aug 22$ 2020,101933,819
190,Aug 23$ 2020,102663,834
191,Aug 24$ 2020,104472,847
192,Aug 25$ 2020,106460,859
193,Aug 26$ 2020,108403,875
194,Aug 27$ 2020,110403,884
195,Aug 28$ 2020,112000,894
196,Aug 29$ 2020,113465,906
197,Aug 30$ 2020,114020,919
198,Aug 31$ 2020,116596,939
199,Sep 01$ 2020,118538,957
200,Sep 02$ 2020,121464,969
201,Sep 03$ 2020,124455,985
202,Sep 04$ 2020,126419,993
203,Sep 05$ 2020,128936,1007
204,Sep 06$ 2020,130644,1019
205,Sep 07$ 2020,133975,1026
206,Sep 08$ 2020,137565,1040
207,Sep 09$ 2020,141097,1054
208,Sep 10$ 2020,145526,1077
209,Sep 11$ 2020,148564,1090
210,Sep 12$ 2020,152722,1103
211,Sep 13$ 2020,155604,1119
212,Sep 14$ 2020,160368,1136
213,Sep 15$ 2020,164402,1147
214,Sep 16$ 2020,170465,1161
215,Sep 17$ 2020,175256,1169
216,Sep 18$ 2020,179071,1196
217,Sep 19$ 2020,183602,1226
218,Sep 20$ 2020,187902,1256
219,Sep 21$ 2020,190929,1273
220,Sep 22$ 2020,193374,1285
221,Sep 23$ 2020,204690,1325
222,Sep 24$ 2020,212115,1378
223,Sep 25$ 2020,217899,1412
224,Sep 26$ 2020,227100,1441
225,Sep 27$ 2020,231026,1466
226,Sep 28$ 2020,233265,1507
227,Sep 29$ 2020,236926,1528
228,Sep 30$ 2020,245494,1569
229,Oct 01$ 2020,253490,1622
230,Oct 02$ 2020,258920,1633
231,Oct 03$ 2020,264443,1682
232,Oct 04$ 2020,266775,1719
233,Oct 05$ 2020,272309,1757
234,Oct 06$ 2020,277026,1797
235,Oct 07$ 2020,281481,1824
236,Oct 08$ 2020,285336,1864
237,Oct 09$ 2020,287858,1886
238,Oct 10$ 2020,289875,1941
239,Oct 11$ 2020,290493,1980
240,Oct 12$ 2020,294031,2021
241,Oct 13$ 2020,296652,2055
242,Oct 14$ 2020,298500,2098
243,Oct 15$ 2020,300201,2127
244,Oct 16$ 2020,301896,2141
245,Oct 17$ 2020,302770,2190
246,Oct 18$ 2020,303109,2209
247,Oct 19$ 2020,304876,2263
248,Oct 20$ 2020,306162,2278
249,Oct 21$ 2020,307335,2291
250,Oct 22$ 2020,308247,2319
251,Oct 23$ 2020,308840,2329
252,Oct 24$ 2020,309413,2372
253,Oct 25$ 2020,309946,2397
254,Oct 26$ 2020,310851,2452
255,Oct 27$ 2020,311724,2483
256,Oct 28$ 2020,312550,2494
257,Oct 29$ 2020,313114,2508
258,Oct 30$ 2020,313701,2514
259,Oct 31$ 2020,314422,2539
260,Nov 01$ 2020,314943,2554
261,Nov 02$ 2020,315636,2580
262,Nov 03$ 2020,316528,2592
263,Nov 04$ 2020,317332,2597
264,Nov 05$ 2020,317863,2639
265,Nov 06$ 2020,318402,2644
266,Nov 07$ 2020,318949,2664
267,Nov 08$ 2020,319241,2674
268,Nov 09$ 2020,319888,2678
269,Nov 10$ 2020,320661,2684
270,Nov 11$ 2020,321326,2700
271,Nov 12$ 2020,322159,2706
272,Nov 13$ 2020,322695,2716
273,Nov 14$ 2020,323339,2721
274,Nov 15$ 2020,323741,2732
275,Nov 16$ 2020,324755,2735
276,Nov 17$ 2020,325537,2736
277,Nov 18$ 2020,326331,2739
278,Nov 19$ 2020,327049,2742
279,Nov 20$ 2020,327748,2744
280,Nov 21$ 2020,328397,2757
281,Nov 22$ 2020,328918,2799
282,Nov 23$ 2020,329998,2811
283,Nov 24$ 2020,330935,2822
284,Nov 25$ 2020,331915,2826
285,Nov 26$ 2020,333084,2834
286,Nov 27$ 2020,333802,2839
287,Nov 28$ 2020,334789,2854
288,Nov 29$ 2020,335598,2864
289,Nov 30$ 2020,336846,2865
290,Dec 01$ 2020,338127,2877
291,Dec 02$ 2020,339619,2883
292,Dec 03$ 2020,341042,2891
293,Dec 04$ 2020,342101,2896
294,Dec 05$ 2020,343826,2909
295,Dec 06$ 2020,344906,2917
296,Dec 07$ 2020,346797,2924
297,Dec 08$ 2020,348285,2932
298,Dec 09$ 2020,350271,2934
299,Dec 10$ 2020,352397,2961
300,Dec 11$ 2020,353269,2969
301,Dec 12$ 2020,355786,2983
302,Dec 13$ 2020,357176,2999
303,Dec 14$ 2020,359506,3004
304,Dec 15$ 2020,360630,3014
305,Dec 16$ 2020,365042,3034
306,Dec 17$ 2020,367975,3050
307,Dec 18$ 2020,370152,3057
308,Dec 19$ 2020,372886,3074
309,Dec 20$ 2020,374760,3099
310,Dec 21$ 2020,378259,3111
311,Dec 22$ 2020,382487,3136
312,Dec 23$ 2020,385022,3150
313,Dec 24$ 2020,389678,3171
314,Dec 25$ 2020,394391,3186
315,Dec 26$ 2020,398664,3210
316,Dec 27$ 2020,401470,3226
317,Dec 28$ 2020,407285,3256
318,Dec 29$ 2020,412398,3292
319,Dec 30$ 2020,416584,3307
320,Dec 31$ 2020,423262,3325
321,Jan 01$ 2021,428510,3356
322,Jan 02$ 2021,434799,3392
323,Jan 03$ 2021,438869,3416
